Date,S&P Global Luxury
05/2014,10000
06/2014,9902.47796963735
07/2014,9584.210308872458
08/2014,9746.962020266625
09/2014,9717.028186616759
10/2014,9969.506163234348
11/2014,10532.475868572223
12/2014,10372.696915529834
01/2015,11007.542094630537
02/2015,11625.279395865462
03/2015,11896.800095596587
04/2015,11419.913861584859
05/2015,11557.965780434502
06/2015,11323.985075592576
07/2015,11938.50666530066
08/2015,10661.564981195153
09/2015,10368.72236289783
10/2015,11411.884189275392
11/2015,11476.782930211677
12/2015,10827.718392769457
01/2016,10068.047021357643
02/2016,10228.663887437868
03/2016,10485.64481116853
04/2016,10155.830414178972
05/2016,10035.209303939817
06/2016,9713.492282195668
07/2016,10445.93340979983
08/2016,10332.421565947454
09/2016,10404.784208355859
10/2016,10594.033294853456
11/2016,10966.037909531793
12/2016,11192.136309626296
01/2017,11494.692254680856
02/2017,11716.333467451337
03/2017,12181.464000789438
04/2017,12428.180678183762
05/2017,12410.598967123156
06/2017,12413.846295264366
07/2017,12224.43169017827
08/2017,12423.959347099026
09/2017,12745.964020438758
10/2017,13420.725545093434
11/2017,13449.016489727646
12/2017,13729.527637515135
01/2018,14012.986486539785
02/2018,13763.342418588405
03/2018,13586.994145513647
04/2018,14468.531216068552
05/2018,15083.56339560511
06/2018,14818.83412086157
07/2018,14737.129625628066
08/2018,14910.399354931375
09/2018,14816.266719597183
10/2018,13573.782862989648
11/2018,13363.08117837205
12/2018,12759.15971841869
01/2019,13720.940225562761
02/2019,14486.566409714917
03/2019,14753.435075128664
04/2019,15420.569920525551
05/2019,14117.213981595341
06/2019,15081.800391425364
07/2019,15261.174940542047
08/2019,14650.796193803755
09/2019,15125.808868142902
10/2019,15656.707128497852
11/2019,16358.902044799192
12/2019,16818.15169240439
01/2020,16543.313512778437
02/2020,15174.705057046493
03/2020,12330.24383067462
04/2020,14066.136779030878
05/2020,14575.218615250798
06/2020,15305.841305958453
07/2020,15439.360847237556
08/2020,17261.921561321822
09/2020,17284.216864799408
10/2020,16877.708117960905
11/2020,20175.56450358681
12/2020,21082.336499713863
01/2021,20832.002530117847
02/2021,22191.70859221829
03/2021,23520.696196223656
04/2021,24242.47304459663
05/2021,24827.176808926866
06/2021,25458.927216118827
07/2021,25545.555607957685
08/2021,24763.2108012248
09/2021,24496.839584628633
10/2021,26946.822650808976
11/2021,27703.18902230801
12/2021,28153.952859514433
01/2022,26245.200015110706
02/2022,25469.815460797567
03/2022,25249.077100060164
04/2022,24416.592627169903
05/2022,22836.11651450828
06/2022,21381.685550866157
07/2022,24536.46485194018
08/2022,23737.36519834637
09/2022,22092.847163755585
10/2022,22405.192212275775
11/2022,24657.144245597236
12/2022,22933.698090325623
01/2023,26177.59531054228
02/2023,26110.959064367562
03/2023,26607.157960032582
04/2023,26698.689907050473
05/2023,25749.65902105691
06/2023,27756.017730158397
07/2023,27861.198828529836
08/2023,26103.84879886318
09/2023,24489.098250449482
10/2023,23111.36450600549
11/2023,24295.489804436504
12/2023,25700.275552536743
01/2024,25469.19261738519
02/2024,27990.06663843303
03/2024,27728.822450464293
04/2024,26048.54542262652
05/2024,25932.559046790877
06/2024,25503.148264085456
07/2024,24698.860845071482
08/2024,24703.800408114792
09/2024,25716.747124101883
