Date,S&P Global Mining Reduced Coal
09/2017,10000
10/2017,10256.510880630387
11/2017,10018.636077689522
12/2017,10979.83343222408
01/2018,11157.519493452312
02/2018,10848.539266077887
03/2018,10298.700692657214
04/2018,10856.10692824037
05/2018,11306.832660490969
06/2018,11111.234618478655
07/2018,10952.707185887315
08/2018,9936.019275792907
09/2018,10550.463273411136
10/2018,10249.13231214836
11/2018,9897.173481270624
12/2018,10093.823923593316
01/2019,11019.617226050177
02/2019,11318.428667641705
03/2019,11839.278229259571
04/2019,11447.977542365628
05/2019,11045.501108843158
06/2019,12195.785245496065
07/2019,12107.250826758387
08/2019,11776.021091516475
09/2019,11911.511308148845
10/2019,12031.955260682433
11/2019,12307.80330867426
12/2019,13196.955917193976
01/2020,12629.77645366411
02/2020,11277.668095531746
03/2020,9667.970828854703
04/2020,12048.883316812336
05/2020,12606.773196000064
06/2020,13340.035656163109
07/2020,14270.626533818127
08/2020,14418.487803771684
09/2020,13817.591814277026
10/2020,13495.800612135135
11/2020,14436.103003052922
12/2020,15843.392180516415
01/2021,15811.016409815264
02/2021,16854.15892794816
03/2021,17257.283712149292
04/2021,18086.611413632196
05/2021,19272.0529369437
06/2021,18285.971547411857
07/2021,18918.53794109763
08/2021,17843.58924962899
09/2021,16349.384095526131
10/2021,17064.967559189026
11/2021,17231.96336429269
12/2021,18477.524978577036
01/2022,18630.793397513506
02/2022,20933.4916561286
03/2022,23194.25851063934
04/2022,21739.842262012768
05/2022,21136.382879244557
06/2022,17823.42501762534
07/2022,17949.69523063919
08/2022,17897.5193249361
09/2022,17696.282622161623
10/2022,17522.34498528579
11/2022,20333.038390122398
12/2022,19739.861516898378
01/2023,21651.59535865413
02/2023,19571.692217452674
03/2023,20037.069517144155
04/2023,19614.96802716099
05/2023,18273.119037021206
06/2023,18902.499697356518
07/2023,19781.346034634866
08/2023,18566.815701060186
09/2023,18736.083080971723
10/2023,18009.129671753963
11/2023,18969.712372534617
12/2023,20154.06930226127
01/2024,19023.874513805014
02/2024,17760.275641012184
03/2024,19803.23282246126
04/2024,21311.628776167
05/2024,21931.975601361595
06/2024,20922.014840600794
07/2024,20835.342978942073
08/2024,20336.918443255
09/2024,22072.573716413026
