Date,S&P Global Water
03/2007,10000
04/2007,10342.195000119824
05/2007,10735.11222627785
06/2007,10681.54614874107
07/2007,10233.433349947712
08/2007,10321.432101838138
09/2007,10381.338151252257
10/2007,10381.784038677304
11/2007,9825.183424864632
12/2007,9982.622037264957
01/2008,8997.852935656525
02/2008,9110.084876764591
03/2008,8529.238507315267
04/2008,9050.593178502233
05/2008,9506.600624419687
06/2008,8588.56001530361
07/2008,8543.036302255221
08/2008,9074.154458222258
09/2008,8019.519120050185
10/2008,7251.019809489917
11/2008,6651.386149027075
12/2008,6437.858573198727
01/2009,6328.414647340307
02/2009,5869.779921063287
03/2009,5740.452733295319
04/2009,6586.92070835154
05/2009,6763.272440596688
06/2009,6962.415341459541
07/2009,7295.548120246007
08/2009,7499.99958114648
09/2009,7685.359465602536
10/2009,7392.59842432976
11/2009,7610.348286909182
12/2009,8203.614934577097
01/2010,8139.886301488614
02/2010,8345.477402719538
03/2010,8811.51314838432
04/2010,8983.522504500437
05/2010,8777.440586422375
06/2010,8741.374946270867
07/2010,8939.20457142749
08/2010,8675.519075474569
09/2010,8797.032339705514
10/2010,9072.1172133676
11/2010,9642.552076111908
12/2010,10209.389106078877
01/2011,9760.293569814772
02/2011,9855.664470726388
03/2011,9821.029818737064
04/2011,9849.243922817142
05/2011,10075.041819668484
06/2011,9859.818267817056
07/2011,9786.67556291079
08/2011,9121.751324153605
09/2011,9005.372504884404
10/2011,9346.205158497052
11/2011,9583.02745709628
12/2011,9784.210688875537
01/2012,10150.843279732086
02/2012,10391.328156987433
03/2012,10657.784012455786
04/2012,10864.729453444465
05/2012,10726.924510161374
06/2012,10953.341787056535
07/2012,11426.077334174463
08/2012,11269.718699344086
09/2012,11364.690536949056
10/2012,11087.520139686927
11/2012,11428.89253988585
12/2012,11582.779918263428
01/2013,11798.038481281586
02/2013,12416.528548335551
03/2013,12886.455846355382
04/2013,12808.837936614282
05/2013,12931.617320839723
06/2013,12294.024957181266
07/2013,12734.395033410348
08/2013,12486.168121026149
09/2013,13151.921508092251
10/2013,13496.406904125899
11/2013,13749.09370805313
12/2013,14039.679426839157
01/2014,13969.384598211904
02/2014,14733.880797679936
03/2014,14770.19135802786
04/2014,14644.435255159593
05/2014,15226.575254041247
06/2014,15504.730175560939
07/2014,14984.670116072437
08/2014,15491.52465334231
09/2014,15451.81918031821
10/2014,15880.04885222133
11/2014,16173.761277475764
12/2014,16598.913058741902
01/2015,17593.474725809894
02/2015,18124.43905959205
03/2015,18793.493330915833
04/2015,18718.200727005187
05/2015,19176.013725001558
06/2015,18288.032763688945
07/2015,18589.073320048974
08/2015,17077.608895979705
09/2015,16920.854808822656
10/2015,18509.44479765534
11/2015,19498.468920595275
12/2015,18232.575933693293
01/2016,17719.488912014585
02/2016,17637.18581986619
03/2016,18114.82392411862
04/2016,18795.258718317775
05/2016,19314.500903870376
06/2016,19675.4558084713
07/2016,19974.772474912905
08/2016,19897.832098010753
09/2016,20201.39978194675
10/2016,19592.423627769756
11/2016,19917.551460478036
12/2016,20117.246737739
01/2017,20456.296463217306
02/2017,21164.66071315866
03/2017,21602.14159700285
04/2017,21813.254247916568
05/2017,21705.33595606633
06/2017,21196.269491695817
07/2017,21198.193839832413
08/2017,21044.333101919725
09/2017,21699.25996931579
10/2017,22543.02611233284
11/2017,22793.769198222504
12/2017,22472.149701192986
01/2018,21800.912028165072
02/2018,20950.21035590073
03/2018,20968.418711788545
04/2018,21477.428426370327
05/2018,22166.31194588137
06/2018,21897.349203125494
07/2018,22847.005739605287
08/2018,23044.87394536498
09/2018,22978.980155982106
10/2018,21743.394158750605
11/2018,22520.05506771313
12/2018,21227.239674854874
01/2019,22795.434360539854
02/2019,23925.980066670712
03/2019,24550.83302729117
04/2019,25256.398183647194
05/2019,24412.774934110254
06/2019,25653.807104102394
07/2019,25966.606908983405
08/2019,26314.858646981178
09/2019,27363.837646735425
10/2019,27669.220561280752
11/2019,28355.825856712483
12/2019,28961.51661231035
01/2020,29974.866771773868
02/2020,27644.500138216812
03/2020,24095.01390501758
04/2020,26027.10109022265
05/2020,26397.867289313654
06/2020,26516.14606520202
07/2020,26690.03637036971
08/2020,27261.97193146466
09/2020,28026.812830538314
10/2020,28132.099202626126
11/2020,30016.325347182465
12/2020,30787.14756908155
01/2021,31212.268036339352
02/2021,31418.165663816242
03/2021,33785.99005790161
04/2021,34754.84239176093
05/2021,35410.85303814821
06/2021,36331.64341911548
07/2021,38759.18362437612
08/2021,40531.08704919337
09/2021,38940.12143143817
10/2021,40924.634655363174
11/2021,41423.0550291349
12/2021,43970.781686915514
01/2022,39639.46316473421
02/2022,38119.8568975612
03/2022,39021.02487552356
04/2022,37882.736958607806
05/2022,36892.378066436926
06/2022,34944.86066473314
07/2022,39425.78016437232
08/2022,37938.168443941366
09/2022,34795.51316909185
10/2022,37988.74998726304
11/2022,38765.0067601434
12/2022,36663.14756556457
01/2023,38947.375756048
02/2023,38577.22564761498
03/2023,38403.46009541715
04/2023,37919.917644840876
05/2023,37933.886889944995
06/2023,39633.3339900459
07/2023,40243.642346102286
08/2023,38846.58020172177
09/2023,36861.065838276634
10/2023,35749.93327824383
11/2023,38559.68935948787
12/2023,40633.267230925514
01/2024,39900.61070413992
02/2024,41679.35498367344
03/2024,43422.98664266515
04/2024,43475.4870794204
05/2024,44766.5963276288
06/2024,44030.96560955177
07/2024,46723.101340403
08/2024,45935.64867357281
09/2024,46552.63154566414
