Date,S&P High Yield Dividend Aristocrats
08/2013,10000
09/2013,10143.657538830657
10/2013,10537.805282173076
11/2013,10654.006489277232
12/2013,10697.209773515939
01/2014,10587.396262834824
02/2014,10738.095665644349
03/2014,10889.91695314332
04/2014,11000.370911132184
05/2014,11311.017767033094
06/2014,11497.59886597961
07/2014,11305.897072217318
08/2014,11954.569182900072
09/2014,12272.206273624295
10/2014,12925.266978363043
11/2014,13338.955227309409
12/2014,13772.065799292212
01/2015,14426.942979351092
02/2015,14966.677433291
03/2015,15487.953538430851
04/2015,14766.064770543335
05/2015,15235.235974289342
06/2015,14594.050545725184
07/2015,15144.039684449352
08/2015,14057.555315366437
09/2015,13872.765432805698
10/2015,15192.54775470319
11/2015,15849.16984954264
12/2015,15168.311462795324
01/2016,14838.971136870177
02/2016,15336.458280403916
03/2016,15838.340315614296
04/2016,15959.500039878514
05/2016,16541.454605977957
06/2016,17138.68676998254
07/2016,17608.4506902612
08/2016,17433.578911431166
09/2016,17221.655260097756
10/2016,16935.536524520154
11/2016,18230.530830857708
12/2016,18742.474808936367
01/2017,18516.36694614431
02/2017,19351.59175786151
03/2017,19143.917675429984
04/2017,18829.259400531137
05/2017,18344.34198052149
06/2017,18171.9121285489
07/2017,17879.32606841819
08/2017,17560.969788610317
09/2017,18123.936800788953
10/2017,18620.885261467432
11/2017,19036.47416586844
12/2017,19012.478577564405
01/2018,18669.463568003383
02/2018,18102.74674993926
03/2018,17957.034948110395
04/2018,18251.396582155736
05/2018,19070.522364533972
06/2018,19388.987866986343
07/2018,20028.757283488103
08/2018,20563.768412637066
09/2018,20741.638185452794
10/2018,20197.21526676944
11/2018,21121.130650292274
12/2018,19267.682999573717
01/2019,20411.36287689652
02/2019,21411.926877594
03/2019,21919.633717342702
04/2019,22409.601105489663
05/2019,21266.54521745037
06/2019,22085.109683009305
07/2019,22724.344694525287
08/2019,22402.59097245577
09/2019,23577.151216525766
10/2019,23392.83960122537
11/2019,24183.19757180634
12/2019,24116.45346165932
01/2020,23811.934694303098
02/2020,21783.801422073993
03/2020,18484.2184661073
04/2020,20487.516095204643
05/2020,20667.25476834653
06/2020,20767.99478278371
07/2020,20106.177169621013
08/2020,20567.782553481433
09/2020,20228.800546188806
10/2020,20239.547448803958
11/2020,22186.40080822772
12/2020,22301.37331485789
01/2021,22428.629303433165
02/2021,23594.047999199025
03/2021,26130.386586737415
04/2021,26384.251841837573
05/2021,26681.441373744554
06/2021,26879.59222239257
07/2021,27034.123264656864
08/2021,27510.677500612455
09/2021,26659.400777674186
10/2021,27821.852086679635
11/2021,27859.722528492304
12/2021,30138.74589221708
01/2022,29903.511799898308
02/2022,29478.55915300404
03/2022,30632.599266945923
04/2022,31253.37071247746
05/2022,31478.440892366925
06/2022,30510.49698006113
07/2022,33141.34593670529
08/2022,32996.02777027168
09/2022,30674.136802438883
10/2022,33274.34667484146
11/2022,33933.83522665823
12/2022,31658.763590827068
01/2023,32230.028255982405
02/2023,31972.936798044313
03/2023,30831.978165164375
04/2023,30847.5990519881
05/2023,29735.469979281148
06/2023,30731.811977762718
07/2023,31339.77019967096
08/2023,30625.620700701027
09/2023,29716.595407096338
10/2023,28858.031102299577
11/2023,29921.26872540188
12/2023,31135.973137546156
01/2024,31389.50155315098
02/2024,31982.522917215574
03/2024,33646.75103077643
04/2024,32845.09626617066
05/2024,33170.97513703619
06/2024,33022.98483689733
07/2024,34637.08492944831
08/2024,35095.481911497605
09/2024,35462.28887728361
