Date,S&P Listed Private Equity
03/2007,10000
04/2007,9998.690028038194
05/2007,10210.998005250734
06/2007,9911.926178455727
07/2007,9183.134728577523
08/2007,8960.110920901574
09/2007,8918.45685711361
10/2007,9115.742727580622
11/2007,8106.601398958283
12/2007,7663.379138134878
01/2008,6980.795186078287
02/2008,6952.60431110612
03/2008,6508.961071649769
04/2008,6822.351851061319
05/2008,6863.558128899602
06/2008,5824.684596261834
07/2008,6078.345307308943
08/2008,6225.145838110373
09/2008,5817.96119606175
10/2008,4544.297024248987
11/2008,3367.4008574390346
12/2008,2906.086468982692
01/2009,2589.9590780269436
02/2009,2124.618733911623
03/2009,2478.4009389278826
04/2009,3243.306417168535
05/2009,3583.2272933389245
06/2009,3645.889062178532
07/2009,4091.6578302299317
08/2009,4276.061090373973
09/2009,4568.691308911009
10/2009,4208.371083617299
11/2009,4244.741852637873
12/2009,4537.774084731876
01/2010,4798.132013280977
02/2010,5024.777426362635
03/2010,5545.246873438668
04/2010,5787.329849285126
05/2010,5444.423885654866
06/2010,5112.504149511574
07/2010,5359.1941181952725
08/2010,5213.518843473273
09/2010,5502.874042884317
10/2010,5789.565457732747
11/2010,6041.759338699711
12/2010,6433.728920153269
01/2011,6344.185776847892
02/2011,6724.056216614219
03/2011,6419.050282675867
04/2011,6420.92450970744
05/2011,6356.394709652797
06/2011,6108.17132548534
07/2011,5873.251225987323
08/2011,5163.630237771527
09/2011,4769.297518951488
10/2011,5303.151751222455
11/2011,5308.094768894839
12/2011,5391.753500370886
01/2012,5780.296836499553
02/2012,5944.853210698412
03/2012,6116.062115568638
04/2012,6076.438992871736
05/2012,5937.024988537082
06/2012,6322.567747284128
07/2012,6576.768136602197
08/2012,6604.926585102769
09/2012,6678.829299685362
10/2012,6734.061356332218
11/2012,6762.9421568913785
12/2012,6944.712212893248
01/2013,7348.071790297018
02/2013,7879.638131122438
03/2013,8124.914331326505
04/2013,8333.338048059159
05/2013,8149.669384790265
06/2013,8007.542191350422
07/2013,8354.578363868824
08/2013,8185.361700162036
09/2013,8744.631488924151
10/2013,8749.066012529262
11/2013,9034.718565816696
12/2013,9115.08813233013
01/2014,9152.235345752966
02/2014,9350.950413649236
03/2014,9239.122949150948
04/2014,8984.68291724121
05/2014,9298.819946920408
06/2014,9603.386925375382
07/2014,9430.003270110843
08/2014,9801.61275791475
09/2014,9707.437957128655
10/2014,9832.210291518555
11/2014,10208.966011112287
12/2014,10339.079092979337
01/2015,11087.231416721079
02/2015,11770.041641275982
03/2015,12206.534614594688
04/2015,12077.07702562017
05/2015,12453.959600782959
06/2015,11918.797136929366
07/2015,12341.153264765877
08/2015,11374.80591957164
09/2015,10706.609152860523
10/2015,11565.758546476505
11/2015,12200.535126902156
12/2015,11338.852984875903
01/2016,10431.934525723897
02/2016,10495.28467035712
03/2016,11068.52490585376
04/2016,11181.063740404392
05/2016,11551.721974473712
06/2016,11219.130923071869
07/2016,11989.356980083618
08/2016,12198.074860644505
09/2016,12255.47297012517
10/2016,12318.47589746487
11/2016,13117.411192229421
12/2016,13513.858073450698
01/2017,13753.902626182053
02/2017,14324.547989618846
03/2017,14407.750056004217
04/2017,14745.977827702394
05/2017,14564.482434752079
06/2017,14627.535094869261
07/2017,14651.528237707325
08/2017,14291.358185656403
09/2017,14919.515455735043
10/2017,15091.6866293106
11/2017,14864.176840687105
12/2017,14977.50440056244
01/2018,15148.002113985855
02/2018,14561.260021943524
03/2018,14119.276547830079
04/2018,14630.253736133067
05/2018,15266.920819019697
06/2018,15382.42932336176
07/2018,16037.893785932913
08/2018,16098.997737738047
09/2018,16405.334018211437
10/2018,15347.779458259034
11/2018,15175.402720976517
12/2018,13690.999338263426
01/2019,15216.848433856114
02/2019,15916.648046777873
03/2019,16256.549340504222
04/2019,17292.135181895243
05/2019,16745.06548435278
06/2019,17685.315142663956
07/2019,18287.971322319223
08/2019,18472.984384941137
09/2019,19279.640298899543
10/2019,19218.209651468183
11/2019,20255.51367214074
12/2019,20450.2050523845
01/2020,21312.664697009426
02/2020,19275.979938491244
03/2020,13794.819014047458
04/2020,15881.757358558536
05/2020,16784.96044462004
06/2020,17207.910883430646
07/2020,16709.62733037127
08/2020,17266.232535435705
09/2020,16941.141169619023
10/2020,16293.835751862744
11/2020,19090.74352062816
12/2020,19851.631768191924
01/2021,19882.55928612582
02/2021,21273.522383849748
03/2021,23069.73358265415
04/2021,24584.92119714701
05/2021,25068.55892531249
06/2021,25826.118945401577
07/2021,27368.222374793033
08/2021,28024.32957139718
09/2021,27635.922679324034
10/2021,30232.47030451597
11/2021,29804.226901316713
12/2021,30810.704549593876
01/2022,29422.08408856058
02/2022,28121.939448924637
03/2022,28465.54356855336
04/2022,26825.101901394213
05/2022,26678.096580484333
06/2022,24033.482428475672
07/2022,27498.39175954128
08/2022,26396.126276131192
09/2022,23011.120484275856
10/2022,24719.214860360662
11/2022,25884.17318004062
12/2022,23533.167586190713
01/2023,25874.457022937386
02/2023,26262.71033646301
03/2023,24359.457606252156
04/2023,24649.272017600564
05/2023,25043.01488986076
06/2023,26270.498599077062
07/2023,27518.08913156665
08/2023,27748.724327721942
09/2023,28236.434036217648
10/2023,26179.88380616762
11/2023,29852.11970082232
12/2023,32020.577819183625
01/2024,32919.664405183226
02/2024,34058.04086153686
03/2024,35121.53039779297
04/2024,34515.48150340618
05/2024,35478.65571508704
06/2024,35735.59049302359
07/2024,38012.406693964236
08/2024,37104.05899700427
09/2024,38387.53857470301
