Date,S&P MidCap 400
07/1991,10000
08/1991,10136.101786298814
09/1991,9824.600314242272
10/1991,10196.005740081635
11/1991,9483.94758974902
12/1991,10268.24518680186
01/1992,10523.506497169556
02/1992,10927.009840860317
03/1992,10796.591465885285
04/1992,10571.421392701646
05/1992,10467.538376206316
06/1992,9877.645289905136
07/1992,9874.862765156297
08/1992,9395.64256042166
09/1992,9747.19416716519
10/1992,10395.805212952106
11/1992,11695.847668353697
12/1992,12080.382663861365
01/1993,12470.31018642478
02/1993,12602.21100609361
03/1993,13101.491019659767
04/1993,12324.57750211586
05/1993,12917.763710776062
06/1993,13361.396661599852
07/1993,13901.338868376384
08/1993,14585.992067517891
09/1993,14154.016680960085
10/1993,14366.923193233175
11/1993,14426.441886671408
12/1993,15089.48855011658
01/1994,15649.86125306796
02/1994,15368.487594934002
03/1994,14353.605941395732
04/1994,14502.341865670558
05/1994,14056.293366259391
06/1994,13351.816347947019
07/1994,13378.481205119073
08/1994,14095.336775652766
09/1994,13684.083700090743
10/1994,13569.304298641286
11/1994,13149.937454418148
12/1994,13542.066220756771
01/1995,13403.980206145943
02/1995,13952.217674522562
03/1995,13642.772712125552
04/1995,13650.404328358662
05/1995,14195.725324282477
06/1995,14650.323274216975
07/1995,15235.50716429455
08/1995,15987.076175116295
09/1995,16584.708894471252
10/1995,15906.629019969134
11/1995,16637.199572762573
12/1995,16858.610184152807
01/1996,17310.84984951167
02/1996,18002.064148513793
03/1996,18206.185094947527
04/1996,18922.202458574346
05/1996,19410.730593651977
06/1996,18971.195899904953
07/1996,17418.976368661013
08/1996,18256.52990343222
09/1996,19217.672982430653
10/1996,19333.49858285281
11/1996,20160.39674884357
12/1996,20629.42946980494
01/1997,21986.052343618343
02/1997,22755.28782065559
03/1997,22037.995089379856
04/1997,22732.51956419518
05/1997,24644.534223708735
06/1997,25621.580797065533
07/1997,28941.78569852324
08/1997,29731.167088849474
09/1997,30615.50749086108
10/1997,28751.840145324906
11/1997,28577.518198631285
12/1997,30487.598451275964
01/1998,30595.153513868947
02/1998,33056.95959518662
03/1998,34675.26920043376
04/1998,35068.992528401344
05/1998,32981.31658338117
06/1998,33429.59163320431
07/1998,32209.61758405538
08/1998,26107.12642552272
09/1998,27212.50578453939
10/1998,28549.273641457057
11/1998,30841.341229157828
12/1998,34347.139478037665
01/1999,34088.68471914797
02/1999,33376.78123597055
03/1999,35190.84826861619
04/1999,38486.03157020337
05/1999,39173.99005091215
06/1999,41783.0721088404
07/1999,39495.56946331204
08/1999,38578.154191168025
09/1999,37064.57394884709
10/1999,39743.33587607088
11/1999,43304.093573381855
12/1999,46110.418716288805
01/2000,45979.26226837191
02/2000,49587.08224435865
03/2000,54642.79017302907
04/2000,55451.331989504695
05/2000,53476.23912394367
06/2000,52825.04978965861
07/2000,55476.61895533369
08/2000,64004.291985529286
09/2000,64588.71094545908
10/2000,64978.24649516061
11/2000,58226.490903565755
12/2000,58497.7015139249
01/2001,59877.72982253661
02/2001,56735.326157715535
03/2001,54990.84871944218
04/2001,60754.5143401338
05/2001,65072.62932512449
06/2001,64809.88298239893
07/2001,61839.04684416847
08/2001,57184.23574324584
09/2001,50219.31510916027
10/2001,52956.911102646845
11/2001,57817.14906516692
12/2001,61390.35512565937
01/2002,62315.94587995733
02/2002,62291.653062810845
03/2002,66186.02200843387
04/2002,63799.70183897222
05/2002,60191.22336107836
06/2002,52497.323974807485
07/2002,48342.57794003453
08/2002,48338.732050231505
09/2002,44322.61132377698
10/2002,46224.38790368713
11/2002,48588.38141187785
12/2002,44103.72031302936
01/2003,41512.50834179618
02/2003,40651.72796690304
03/2003,40569.18937862367
04/2003,42592.02373459436
05/2003,43425.96573902564
06/2003,45499.75573754178
07/2003,47567.893388335564
08/2003,51504.949248538716
09/2003,47560.79353959737
10/2003,51289.090068478086
11/2003,51429.784947642394
12/2003,49664.135220353215
01/2004,51748.319606943776
02/2004,52845.84933716881
03/2004,53912.48153469547
04/2004,53351.83733557097
05/2004,53337.96399945984
06/2004,54744.910486667766
07/2004,52693.25344517045
08/2004,52242.863860258185
09/2004,52498.30044966392
10/2004,51964.69951898347
11/2004,52748.37250065342
12/2004,53641.76555572906
01/2005,54622.56379139215
02/2005,55509.56404897392
03/2005,56135.69483549776
04/2005,53983.104206761745
05/2005,60139.736832774106
06/2005,62750.254181723285
07/2005,66040.67946333869
08/2005,64742.463439565276
09/2005,66085.36928688585
10/2005,64767.53538760003
11/2005,69398.45613056734
12/2005,69712.23434167092
01/2006,71864.13880918233
02/2006,72719.9566985092
03/2006,73125.69717651785
04/2006,71593.5708993106
05/2006,66605.97637502752
06/2006,67433.29183625411
07/2006,65233.07867157113
08/2006,65547.3679398299
09/2006,66983.99298551523
10/2006,69570.69056260932
11/2006,69067.34965855206
12/2006,68887.88633030301
01/2007,72581.39699352706
02/2007,71691.17400125442
03/2007,72072.39516982426
04/2007,72698.03668377017
05/2007,77203.59214720178
06/2007,75226.45548734466
07/2007,70926.38529322036
08/2007,71590.17010878828
09/2007,71027.43022041032
10/2007,71544.17899676863
11/2007,66494.67308603109
12/2007,66547.41312620699
01/2008,61821.83050424629
02/2008,59483.8399914492
03/2008,56472.893895627625
04/2008,61889.355367754186
05/2008,65298.28016261417
06/2008,59719.26108853659
07/2008,59186.35487250315
08/2008,63778.677068749545
09/2008,58667.414984148636
10/2008,51477.95916447258
11/2008,46816.272230631424
12/2008,44888.468153854774
01/2009,45208.948768419
02/2009,41386.84853445444
03/2009,42879.61290897608
04/2009,49378.07219426469
05/2009,47767.78364735144
06/2009,47942.37586284697
07/2009,52117.394878562256
08/2009,53882.84290214501
09/2009,55522.6042466727
10/2009,52439.591540198686
11/2009,53754.56980235078
12/2009,59574.44611626793
01/2010,59475.560731336234
02/2010,64400.667781599936
03/2010,69461.46814490137
04/2010,73314.13306630013
05/2010,73608.75122368583
06/2010,68986.15976266153
07/2010,69466.50385148451
08/2010,67847.18323541168
09/2010,70161.57310652082
10/2010,71487.02979597342
11/2010,78474.6859564064
12/2010,81339.76587571282
01/2011,80965.68591260811
02/2011,83864.23088319458
03/2011,83664.30803636284
04/2011,82159.50051514179
05/2011,83729.22760385413
06/2011,81638.84542625198
07/2011,79820.20787666886
08/2011,73166.29706288288
09/2011,70009.70251568449
10/2011,76801.03881720595
11/2011,79896.33371240982
12/2011,82544.12176654088
01/2012,86414.3270524266
02/2012,88508.31376789967
03/2012,90759.67638718484
04/2012,91528.53748046859
05/2012,91191.38910023542
06/2012,91535.20135706091
07/2012,93773.5697105128
08/2012,94521.69588574897
09/2012,93977.7041132434
10/2012,92779.62507941706
11/2012,94875.54751216137
12/2012,95420.73293299464
01/2013,99622.16234723601
02/2013,103826.08322729357
03/2013,111545.06499361663
04/2013,109952.62955427477
05/2013,113007.44800730233
06/2013,110293.92709392023
07/2013,115406.69132793839
08/2013,111417.8046162017
09/2013,114880.36326099925
10/2013,117960.64976586666
11/2013,119784.44987691876
12/2013,121872.56754967451
01/2014,121711.7539224694
02/2014,124912.04129861422
03/2014,125600.01615634504
04/2014,123084.14475196062
05/2014,127506.50737014288
06/2014,132285.25604092405
07/2014,129271.75650023215
08/2014,137809.8893407244
09/2014,137867.32246472445
10/2014,143453.75627473145
11/2014,146586.313317594
12/2014,151958.22262823887
01/2015,161363.74166330844
02/2015,170610.5868926702
03/2015,180589.31370246367
04/2015,170663.6100886147
05/2015,177576.51612330013
06/2015,171805.53974479533
07/2015,175523.02209804795
08/2015,162064.46791415606
09/2015,157012.98312024536
10/2015,168659.04443546472
11/2015,178019.4585907089
12/2015,165774.91765073972
01/2016,155868.34088200412
02/2016,158533.01882056808
03/2016,164523.6580957071
04/2016,166274.4637736007
05/2016,173914.0116896662
06/2016,175454.81586361735
07/2016,182803.39545929956
08/2016,183400.97902068103
09/2016,181760.18231911643
10/2016,180371.9175728384
11/2016,200508.32096001992
12/2016,206723.97527786062
01/2017,206009.33556567875
02/2017,214564.60534004023
03/2017,211854.1066656221
04/2017,208953.46509852775
05/2017,202544.55504933785
06/2017,202379.24530926917
07/2017,198679.26138586432
08/2017,194008.43045732778
09/2017,201929.16193305553
10/2017,209478.09015045437
11/2017,213312.33212397355
12/2017,211210.5145168172
01/2018,209188.1439650818
02/2018,203893.45346888053
03/2018,204000.06303657786
04/2018,207547.20019492015
05/2018,223131.39697798647
06/2018,224858.19694422002
07/2018,227304.60670535732
08/2018,236277.63905668762
09/2018,235201.39307567646
10/2018,217599.84774068417
