Date,S&P Select Sector Capped 20% Technology
12/2004,10000
01/2005,9868.839648818825
02/2005,9718.436918726147
03/2005,9720.596729942332
04/2005,9418.873622715482
05/2005,10551.179271889841
06/2005,10628.984392884406
07/2005,11211.517974340344
08/2005,11027.570853251382
09/2005,11168.908807387352
10/2005,10954.384140497756
11/2005,11879.770632087457
12/2005,11489.94651252047
01/2006,11556.421486724308
02/2006,11830.574182542381
03/2006,11844.321401422972
04/2006,11279.329482546087
05/2006,10286.23745571219
06/2006,10354.42903884811
07/2006,10083.416952688358
08/2006,10714.065209507628
09/2006,11312.998777654891
10/2006,11743.211090002465
11/2006,11585.66311468625
12/2006,11581.448580407232
01/2007,12005.904763038054
02/2007,11465.058170335235
03/2007,11511.72583466232
04/2007,11769.436796106811
05/2007,12505.392606798026
06/2007,12455.987070017614
07/2007,12170.107121352596
08/2007,12449.717570727113
09/2007,12504.723586570619
10/2007,12961.157882152902
11/2007,11685.759831144785
12/2007,11927.477966325907
01/2008,10398.639818483187
02/2008,9679.502078056585
03/2008,9436.892312547941
04/2008,10225.293152869504
05/2008,10777.263743821
06/2008,9579.454991296227
07/2008,9472.541771071363
08/2008,10273.673134580555
09/2008,9239.267812395334
10/2008,8666.665428153035
11/2008,7974.714762746893
12/2008,7407.964773469678
01/2009,7682.565549180708
02/2009,7484.750600552535
03/2009,7890.827208998324
04/2009,8788.712674972887
05/2009,8475.159391779478
06/2009,8780.489643917777
07/2009,9555.590552378788
08/2009,9674.794712701836
09/2009,9853.982439424251
10/2009,9663.206665980113
11/2009,10026.285873873472
12/2009,11027.68303785474
01/2010,10413.92475943538
02/2010,11083.89222356117
03/2010,11896.489339706519
04/2010,12221.920519145333
05/2010,12215.442815144988
06/2010,11587.339731010983
07/2010,11724.184816792738
08/2010,11350.529051958803
09/2010,11760.553563250365
10/2010,12234.516023330989
11/2010,12826.758652174343
12/2010,13176.042856184013
01/2011,13267.42534560701
02/2011,13388.485486721876
03/2011,12832.80494260988
04/2011,12602.57565889601
05/2011,12860.942959764621
06/2011,12489.422762244512
07/2011,12720.703002171855
08/2011,11874.879021034905
09/2011,12316.391401508414
10/2011,13093.77062451069
11/2011,13472.896758987165
12/2011,13939.56712315039
01/2012,14533.81070289402
02/2012,15228.976097165345
03/2012,16029.215035919107
04/2012,16028.376539710447
05/2012,15980.522657245983
06/2012,16264.9360914355
07/2012,16951.81837131262
08/2012,17152.41439161538
09/2012,17005.840043550405
10/2012,15849.664865811183
11/2012,15984.073423705842
12/2012,15746.767986234157
01/2013,15573.67570624429
02/2013,16212.278429789434
03/2013,17054.111963979558
04/2013,16990.918856800712
05/2013,17541.284966028637
06/2013,16933.949078431826
07/2013,17285.382903104382
08/2013,17153.661699068834
09/2013,17222.16081112533
10/2013,17902.870559881572
11/2013,18493.48678140477
12/2013,18912.543674664113
01/2014,18788.776356601014
02/2014,19110.61123836935
03/2014,19290.516229565805
04/2014,19276.059898626332
05/2014,20338.2518731042
06/2014,20648.64848580502
07/2014,21428.995264251465
08/2014,22460.91282507899
09/2014,23403.4340315485
10/2014,23885.0712549153
11/2014,25095.44594790722
12/2014,25237.578393749915
01/2015,26124.270407583994
02/2015,28358.129176898237
03/2015,28628.974177268923
04/2015,28192.187863601717
05/2015,29342.36640382075
06/2015,27581.720564053638
07/2015,28882.729239757522
08/2015,26722.50970364755
09/2015,26401.750453552144
10/2015,29614.98363115889
11/2015,31019.27350482953
12/2015,29570.10285995125
01/2016,28396.50763130943
02/2016,28235.65719439915
03/2016,29379.176278459352
04/2016,27847.885845387926
05/2016,29847.010777934032
06/2016,29575.50572029688
07/2016,31600.59934742447
08/2016,31895.524620201522
09/2016,32463.62875973152
10/2016,32830.5730197451
11/2016,33797.85171104764
12/2016,34866.584805136554
01/2017,35396.23334530833
02/2017,37531.21082196312
03/2017,38006.66909607951
04/2017,37885.056210033086
05/2017,38319.001099338515
06/2017,36645.62767970208
07/2017,37251.14110463305
08/2017,37989.07551694567
09/2017,38378.99974024018
10/2017,41429.63471973614
11/2017,41277.90993024326
12/2017,40959.265115922426
01/2018,42200.630425803975
02/2018,42828.032533962665
03/2018,40878.240545282
04/2018,41685.171664943584
05/2018,45891.81979797161
06/2018,45975.19228121538
07/2018,46613.06399450375
08/2018,50051.139508704226
09/2018,50330.48672494148
10/2018,47330.01505666023
11/2018,46346.45256461743
12/2018,42095.14548717633
01/2019,44867.107963224014
02/2019,48226.120285481484
03/2019,51358.05608876168
04/2019,54732.80989893912
05/2019,50241.390494998785
06/2019,53727.50125182933
07/2019,56656.09487727785
08/2019,56341.1426083981
09/2019,57955.72572595159
10/2019,58766.585071290814
11/2019,62860.12509234513
12/2019,64194.63016147356
01/2020,67803.14237222984
02/2020,63254.50634720151
03/2020,57798.84425290167
04/2020,66221.17517762615
05/2020,69285.85811316453
06/2020,73549.131833015
07/2020,73299.8204226645
08/2020,81233.21906177839
09/2020,78478.7963172074
10/2020,74537.3462280405
11/2020,81310.2075965848
12/2020,83668.54646942113
01/2021,83699.85458977714
02/2021,85312.07794265886
03/2021,89712.8760071074
04/2021,91516.89985973241
05/2021,89909.98428219734
06/2021,98578.98288912719
07/2021,102200.64954617165
08/2021,106223.35384892595
09/2021,102348.56413206323
10/2021,109805.88849267726
11/2021,117253.93429717713
12/2021,121422.7003457508
01/2022,114301.29402018609
02/2022,108218.87212661792
03/2022,112723.05142196696
04/2022,105039.86049827347
05/2022,102947.09235793744
06/2022,95924.90663271444
07/2022,110706.0251677494
08/2022,105676.68685173045
09/2022,95314.20514254847
10/2022,101173.73474065945
11/2022,103289.59552744924
12/2022,92305.58306589552
01/2023,99480.75503636501
02/2023,101707.30628589434
03/2023,109920.41298779799
04/2023,108208.52224701925
05/2023,122885.25083602713
06/2023,128653.96032215285
07/2023,131078.59763566186
08/2023,131860.69372161222
09/2023,125848.68612328228
10/2023,124634.39267827188
11/2023,136902.2831794741
12/2023,141671.4887490731
01/2024,151270.38428016307
02/2024,162659.9002501515
03/2024,166952.37571095658
04/2024,159321.46672238273
05/2024,173397.19875345242
06/2024,192441.30125090675
07/2024,186484.62979625832
08/2024,184248.04370887115
09/2024,187102.79783188758
