Date,S&P SmallCap 600
05/2014,10000
06/2014,10428.08828409969
07/2014,10058.673567077323
08/2014,10639.145397282786
09/2014,10548.029957124743
10/2014,11346.403651287652
11/2014,11348.314486152725
12/2014,11995.728026739262
01/2015,12430.372679024327
02/2015,13251.569329273585
03/2015,14059.001729262314
04/2015,13170.981557943032
05/2015,13666.617601856937
06/2015,13531.17854949482
07/2015,13685.467242614499
08/2015,12685.051278793177
09/2015,12248.313652412417
10/2015,13211.664766444013
11/2015,14120.7822539629
12/2015,13057.7685925973
01/2016,12213.170696177322
02/2016,12380.444999099042
03/2016,12803.774161944038
04/2016,12931.038578879472
05/2016,13433.661536782503
06/2016,13572.319656087811
07/2016,14246.593464811165
08/2016,14409.542636349091
09/2016,14458.692064788174
10/2016,14080.345913193478
11/2016,16303.159603507549
12/2016,16994.17539862311
01/2017,16587.094870358054
02/2017,17096.479505092975
03/2017,16917.604711712975
04/2017,16694.5123149417
05/2017,15909.43826729781
06/2017,16104.504171720268
07/2017,15820.824668460806
08/2017,15281.659298941606
09/2017,16479.47415191771
10/2017,16872.95293994219
11/2017,17149.315508352473
12/2017,16845.656558249677
01/2018,16625.700546956694
02/2018,16295.049546196298
03/2018,16473.80201020712
04/2018,16973.690304634245
05/2018,18650.519327286784
06/2018,18919.018690895766
07/2018,19383.23966832194
08/2018,20461.789204507564
09/2018,19931.74621908477
10/2018,18245.97988001835
11/2018,18446.11438866578
12/2018,16080.309070049432
01/2019,17727.850346019062
02/2019,18610.120565000572
03/2019,18268.669041917216
04/2019,19001.26187291065
05/2019,17439.798498935288
06/2019,18351.83116596969
07/2019,18937.557097674126
08/2019,18265.033465175366
09/2019,19119.263877608355
10/2019,19023.487333533652
11/2019,19905.039286733245
12/2019,20028.269792727606
01/2020,19544.887814596583
02/2020,17782.51206060821
03/2020,13815.600860641833
04/2020,15680.294250714029
05/2020,15966.646571783562
06/2020,16463.99034882153
07/2020,16196.372259497944
08/2020,16706.6840099997
09/2020,16229.27408572158
10/2020,16658.013515961407
11/2020,19214.158698663145
12/2020,20310.48354579633
01/2021,21824.64051240084
02/2021,23517.676920367117
03/2021,25111.96155732408
04/2021,24862.738592260925
05/2021,25122.952705488668
06/2021,25870.013928180182
07/2021,25233.490625923685
08/2021,25856.966344973272
09/2021,25773.303804760657
10/2021,26500.285589913467
11/2021,26526.05900887437
12/2021,27804.23700540585
01/2022,26173.227022229432
02/2022,26429.288384722287
03/2022,26746.365225354642
04/2022,25964.720225573907
05/2022,26010.64941218415
06/2022,24521.26020157135
07/2022,27470.274573873074
08/2022,26774.56931321393
09/2022,24738.72296872008
10/2022,27324.963235510626
11/2022,27183.455860247006
12/2022,24653.936028595923
01/2023,26571.64683096744
02/2023,26764.12162982222
03/2023,24768.673387181745
04/2023,23841.230948378146
05/2023,24063.26163083931
06/2023,25590.78187968598
07/2023,26610.407799397093
08/2023,25857.180435816066
09/2023,24921.608107254364
10/2023,23429.61303147867
11/2023,24623.748839223943
12/2023,27461.665063929737
01/2024,26889.58018661082
02/2024,27797.6745943702
03/2024,28720.819653319304
04/2024,27336.07939902321
05/2024,28345.78498060311
06/2024,28065.43229206016
07/2024,30734.512110936106
08/2024,29568.104303755594
09/2024,29513.646008211836
