Date,S&P Technology Select Sector
05/2014,10000
06/2014,10148.877786340685
07/2014,10522.607137267758
08/2014,11028.988531569552
09/2014,11492.62567040104
10/2014,11733.92456228038
11/2014,12323.229899960692
12/2014,12393.418914548864
01/2015,12833.02047608572
02/2015,13943.346961247475
03/2015,14081.590362369987
04/2015,13860.918243781647
05/2015,14422.943305209565
06/2015,13563.817754648953
07/2015,14207.964917592311
08/2015,13143.975565276809
09/2015,12984.030458740113
10/2015,14562.7783190921
11/2015,15250.45706680071
12/2015,14535.517154214594
01/2016,13961.939878800638
02/2016,13888.507392164891
03/2016,14443.382488915919
04/2016,13691.805605885109
05/2016,14679.454177120806
06/2016,14537.000473722659
07/2016,15541.56763915856
08/2016,15697.372813391981
09/2016,15980.81881161363
10/2016,16168.977792507507
11/2016,16646.412157162045
12/2016,17164.004054369278
01/2017,17441.70524518264
02/2017,18496.467712418686
03/2017,18736.2759088103
04/2017,18683.810847363085
05/2017,18901.39414957051
06/2017,18078.541261029844
07/2017,18370.80654704157
08/2017,18737.109355684217
09/2017,18931.04242049809
10/2017,20445.266100928824
11/2017,20360.900880466143
12/2017,20197.485218487487
01/2018,20819.48760306318
02/2018,21145.576801577332
03/2018,20188.042784781523
04/2018,20586.609582898385
05/2018,22663.7175444661
06/2018,22705.3190325146
07/2018,23020.007693412914
08/2018,24718.165499149738
09/2018,24865.469821761704
10/2018,23399.98632973867
11/2018,22860.027961876687
12/2018,20754.682168984822
01/2019,22121.331664403588
02/2019,23777.491595589006
03/2019,25321.691242276356
04/2019,26985.53036589558
05/2019,24771.10320323258
06/2019,26483.56773327907
07/2019,27922.217068384478
08/2019,27776.455637537285
09/2019,28571.488697897526
10/2019,28971.10099881614
11/2019,30989.265405789178
12/2019,31648.393966687898
01/2020,33438.12986257326
02/2020,31198.343224037137
03/2020,28551.715908508395
04/2020,32725.263363727016
05/2020,34194.28064893773
06/2020,36426.722028691445
07/2020,36356.68954508594
08/2020,40389.522857391814
09/2020,38973.34763732011
10/2020,37010.31645483514
11/2020,40251.099508979976
12/2020,41544.5101262969
01/2021,41612.076756827664
02/2021,42225.499129160395
03/2021,44385.28947162076
04/2021,45334.792517710164
05/2021,44465.57465070274
06/2021,48818.7730397764
07/2021,50668.63296286519
08/2021,52707.277505615384
09/2021,50745.592395612905
10/2021,54572.20635791328
11/2021,58338.60689355248
12/2021,60475.95645111634
01/2022,57262.230473544296
02/2022,54176.697218913316
03/2022,56411.683709369354
04/2022,52945.582475929696
05/2022,51712.40785511229
06/2022,48392.946032399865
07/2022,55896.31772465418
08/2022,53451.15611485845
09/2022,48249.59189905665
10/2022,51081.53035456706
11/2022,51908.71392326046
12/2022,46323.91668179908
01/2023,49837.15032152688
02/2023,51027.18690961927
03/2023,55226.529772490525
04/2023,54618.19346890606
05/2023,61078.034298400846
06/2023,63758.98563235569
07/2023,64429.418089458595
08/2023,64321.45887782187
09/2023,61720.80966343865
10/2023,61619.09544881645
11/2023,67543.65301558147
12/2023,69604.31560690026
01/2024,72903.98061719697
02/2024,76436.16846633577
03/2024,77146.71182058299
04/2024,73282.92608773286
05/2024,77457.85977636019
06/2024,84683.14105055478
07/2024,80946.26440455565
08/2024,79631.57713983943
09/2024,80937.16361413941
