Date,SMI
01/1999,10000
02/1999,9953.175182477084
03/1999,9989.4315565478
04/1999,10262.274502358967
05/1999,9774.534501827742
06/1999,9769.6857355146
07/1999,9783.394690787678
08/1999,9942.805091941464
09/1999,9817.406112669185
10/1999,10136.812680162111
11/1999,10481.613165552712
12/1999,10702.978506231511
01/2000,9723.88025567951
02/2000,9760.041370346438
03/2000,10608.56241408867
04/2000,10771.944787605331
05/2000,11321.742205903596
06/2000,11466.738253916861
07/2000,11938.502819456347
08/2000,12214.626785020828
09/2000,11655.775201143564
10/2000,12104.409980410617
11/2000,12203.318183656818
12/2000,12326.094172309553
01/2001,12152.181781220579
02/2001,11529.894554866049
03/2001,10874.541049145559
04/2001,11085.230804187837
05/2001,11474.44640262292
06/2001,11092.200013745418
07/2001,10577.872599093569
08/2001,10126.379333424342
09/2001,9505.52228731801
10/2001,9665.1003163529
11/2001,9884.77624424542
12/2001,10099.3831351867
01/2002,9869.221019066325
02/2002,10044.411934486601
03/2002,10620.394466537362
04/2002,10547.476819667778
05/2002,10586.976120002168
06/2002,9578.876270893068
07/2002,8454.048690316211
08/2002,8452.567632066617
09/2002,7775.594972937837
10/2002,8033.608373724884
11/2002,8238.804911142608
12/2002,7573.22556515278
01/2003,7156.766953440858
02/2003,6735.302392139028
03/2003,6606.7524624498255
04/2003,7253.730420042539
05/2003,7338.67669400626
06/2003,7499.208183576221
07/2003,7955.457148307741
08/2003,8075.744871584924
09/2003,7933.747846067871
10/2003,8143.93045479435
11/2003,8321.531330437425
12/2003,8535.679324264502
01/2004,8895.456559247008
02/2004,8935.97766566381
03/2004,8762.811043009586
04/2004,9148.140978088333
05/2004,9062.57083630302
06/2004,9071.096329187449
07/2004,8863.676327855948
08/2004,8655.214037997297
09/2004,8675.176681354393
10/2004,8638.57811528144
11/2004,8875.985016452492
12/2004,9092.446300629397
01/2005,9191.19250215237
02/2005,9495.5867101882
03/2005,9489.62559191075
04/2005,9553.714598857647
05/2005,10011.861816240715
06/2005,10136.112191058046
07/2005,10633.10167837992
08/2005,10581.03961860631
09/2005,11151.421979649558
10/2005,11452.127610598236
11/2005,12032.357866793061
12/2005,12266.627055581032
01/2006,12636.951730316994
02/2006,12676.263899760112
03/2006,12839.576035471873
04/2006,13059.039583796857
05/2006,12470.594166207891
06/2006,12493.59648760233
07/2006,12945.595526353198
08/2006,13283.941092697914
09/2006,13598.080669013218
10/2006,13824.943706070579
11/2006,13662.633296875289
12/2006,14012.886685667301
01/2007,14439.835168659769
02/2007,13961.007458351241
03/2007,14241.765387540563
04/2007,14923.160965146593
05/2007,14995.402741788692
06/2007,14545.888538138186
07/2007,14065.204970685478
08/2007,14120.75448249414
09/2007,14082.429249830111
10/2007,14081.568583820028
11/2007,13967.197787248393
12/2007,13418.255294130317
01/2008,12505.736998435901
02/2008,12466.564452223643
03/2008,12112.709529031648
04/2008,12487.744113694464
05/2008,12411.234338655197
06/2008,11656.186316420288
07/2008,11768.010758353475
08/2008,12068.941268988778
09/2008,11378.441611873097
10/2008,11300.081842681198
11/2008,10150.41384624546
12/2008,10051.666383504822
01/2009,9594.082945160344
02/2009,8603.741798389048
03/2009,8909.279679741825
04/2009,9629.223104011267
05/2009,9825.1803381604
06/2009,9835.723595330912
07/2009,10813.685515403924
08/2009,11408.843295713688
09/2009,11675.169360746762
10/2009,11571.540906913864
11/2009,11565.636535534046
12/2009,12283.572220372735
01/2010,12229.603890996534
02/2010,12763.687570509916
03/2010,13564.175510410227
04/2010,13150.795945912425
05/2010,12689.702707830762
06/2010,13196.977007422762
07/2010,13119.887788835342
08/2010,13690.49449159976
09/2010,13579.887449607137
10/2010,13530.54751557543
11/2010,13925.906582395448
12/2010,14750.469366882046
01/2011,14403.483952321549
02/2011,14854.213760843344
03/2011,14192.62575027173
04/2011,14974.084295992383
05/2011,15802.789479591627
06/2011,15171.507315452109
07/2011,14992.577585816789
08/2011,14027.106703818195
09/2011,13463.460193670737
10/2011,13925.039792928708
11/2011,13655.310309975002
12/2011,14469.8213667019
01/2012,14683.795355757407
02/2012,15146.212569592271
03/2012,15575.229825705812
04/2012,15528.5485159628
05/2012,14946.689970972002
06/2012,15474.509564032707
07/2012,16344.131531034514
08/2012,16322.155945860915
09/2012,16480.283474257405
10/2012,16763.95441473113
11/2012,17368.72215837287
12/2012,17347.483110578025
01/2013,18381.688924772956
02/2013,19221.830070891614
03/2013,19920.736653689884
04/2013,20397.557111508715
05/2013,20244.672816103866
06/2013,19680.100412958745
07/2013,20066.165836702185
08/2013,19890.19064356596
09/2013,20754.804946628643
10/2013,21115.90894171842
11/2013,21256.7949604222
12/2013,21137.140976315208
01/2014,21203.859793305426
02/2014,22205.43773025072
03/2014,22209.195782801125
04/2014,22522.9115459905
05/2014,23161.416666302222
06/2014,22931.207354237253
07/2014,22520.432339525305
08/2014,23399.20731367967
09/2014,23887.52147576041
10/2014,23886.72225211701
11/2014,24838.38717029626
12/2014,24372.647983820738
01/2015,26131.16011926037
02/2015,27655.33948724656
03/2015,28814.07638368033
04/2015,28946.504623239143
05/2015,29988.93565005524
06/2015,28314.518758104714
07/2015,29974.677453602984
08/2015,27383.041661111507
09/2015,26220.087878557497
10/2015,27567.650801988504
11/2015,27727.96379467861
12/2015,27358.99513320759
01/2016,25097.27034451732
02/2016,24336.413312626108
03/2016,24349.69801098478
04/2016,25072.996384944985
05/2016,25859.356773917003
06/2016,25652.772887038547
07/2016,26141.081462817154
08/2016,26059.451033466994
09/2016,26074.539440573877
10/2016,25207.123554820813
11/2016,25399.85027793648
12/2016,26669.532709479125
01/2017,27081.59765452523
02/2017,27964.01135335504
03/2017,28649.691675449907
04/2017,29125.350460681013
05/2017,29751.211352007405
06/2017,29297.653588661004
07/2017,28664.15262699346
08/2017,28039.306408082128
09/2017,28768.05848095492
10/2017,28621.989143740386
11/2017,28669.235774671746
12/2017,28855.974735106247
01/2018,28888.315729373764
02/2018,27826.267791679835
03/2018,27078.02498380921
04/2018,27487.20107317237
05/2018,27293.720291312216
06/2018,27682.12260314796
07/2018,29440.391482189847
08/2018,29589.989261958566
09/2018,29906.09547765718
10/2018,29473.300071731417
11/2018,29677.859087579018
12/2018,27854.191942543195
01/2019,29274.826979110654
02/2019,30844.63205184635
03/2019,31939.45121152998
04/2019,32593.59831766116
05/2019,32646.609765391946
06/2019,34262.56320867204
07/2019,34534.37586072504
08/2019,34869.009650705615
09/2019,35755.30682395635
10/2019,35730.26316425058
11/2019,36716.22274565885
