Date,STOXX Europe 50
12/1986,10000
01/1987,9891.207262610733
02/1987,10172.340581301705
03/1987,10491.251189691777
04/1987,10826.561241672156
05/1987,11237.133025843767
06/1987,11709.495570685995
07/1987,12254.630646460208
08/1987,11920.199136100739
09/1987,12100.739439197598
10/1987,9323.815799106815
11/1987,8303.243282817191
12/1987,8454.498865217072
01/1988,8581.301705834978
02/1988,8934.621861044001
03/1988,8891.866168826415
04/1988,9135.515045025257
05/1988,9113.11223369207
06/1988,9586.353320155209
07/1988,9856.504868584816
08/1988,9499.816970495644
09/1988,10028.55260267955
10/1988,10290.797276520972
11/1988,10180.979573907312
12/1988,10427.849769382823
01/1989,11322.790833882422
02/1989,10824.80415843034
03/1989,11335.529687385606
04/1989,11497.767040046854
05/1989,11559.557800717475
06/1989,11844.205285892085
07/1989,12810.454645288819
08/1989,13279.888718061351
09/1989,12921.590160333844
10/1989,12005.856944139396
11/1989,12656.709861629693
12/1989,13486.053151768065
01/1990,13281.938648510139
02/1990,13102.27688703419
03/1990,13354.27190863167
04/1990,12720.696976352587
05/1990,13844.35170949557
06/1990,14066.183468775165
07/1990,14079.361593088805
08/1990,12723.332601215316
09/1990,11425.140932718354
10/1990,11922.541913756497
11/1990,12074.676037777288
12/1990,11875.539937037849
01/1991,12158.72318617761
02/1991,13334.065451350756
03/1991,13928.106010688922
04/1991,14193.718427410498
05/1991,14765.063328208505
06/1991,14242.184640163994
07/1991,14779.26641774654
08/1991,15058.056958781757
09/1991,15013.104912511895
10/1991,14936.525367889302
11/1991,14391.975986529027
12/1991,14642.360348488175
01/1992,15198.477194523755
02/1992,15437.00124460063
03/1992,15084.413207409034
04/1992,15968.51892525075
05/1992,16433.12101910828
06/1992,15531.444468848378
07/1992,14945.45720770188
08/1992,14500.62230031481
09/1992,14973.277692364009
10/1992,15011.933523684016
11/1992,15656.197379017496
12/1992,16150.669887985941
01/1993,15885.203894867855
02/1993,16665.934548649242
03/1993,17374.03909510213
04/1993,17073.138589940696
05/1993,17433.926348927445
06/1993,18159.748151402004
07/1993,19170.803133465113
08/1993,20231.202869902627
09/1993,19922.541913756493
10/1993,21205.798374698
11/1993,21032.579251775383
12/1993,22612.050662566806
01/1994,23156.60004392708
02/1994,21797.496156380406
03/1994,20790.10176440442
04/1994,21533.787246504136
05/1994,20656.709861629693
06/1994,19917.56351123801
07/1994,20958.04963760158
08/1994,21790.02855260268
09/1994,20607.65795446226
10/1994,21188.959660297238
11/1994,21170.80313346511
12/1994,21269.05337140347
01/1995,20775.020133245478
02/1995,20842.082143641554
03/1995,21076.50633282085
04/1995,21718.72025770554
