Date,STOXX Europe 600 Automobiles & Parts
12/1986,10000
01/1987,9049.919484702094
02/1987,8656.06548577563
03/1987,8897.61137949544
04/1987,9256.575415995707
05/1987,9049.248523886206
06/1987,9630.300590445519
07/1987,10060.386473429951
08/1987,9740.338164251207
09/1987,9569.243156199678
10/1987,7254.428341384863
11/1987,6113.7949543746645
12/1987,5797.772410091251
01/1988,5505.23349436393
02/1988,6467.391304347826
03/1988,6245.97423510467
04/1988,6264.761137949544
05/1988,6201.01986044015
06/1988,6609.634997316157
07/1988,6937.063875469673
08/1988,6533.816425120774
09/1988,6983.360171765969
10/1988,7436.9296833064955
11/1988,7276.57004830918
12/1988,7444.310252281267
01/1989,7259.125067096082
02/1989,7230.944712828771
03/1989,7481.213097155127
04/1989,7518.786902844874
05/1989,7778.448738593666
06/1989,8247.450348899625
07/1989,8876.14063338701
08/1989,9422.302737520129
09/1989,9011.00375738057
10/1989,8307.165861513688
11/1989,8340.042941492216
12/1989,9237.117552334943
01/1990,8963.365539452496
02/1990,8987.520128824477
03/1990,9573.268921095008
04/1990,8996.913580246914
05/1990,9093.531937734837
06/1990,9064.00966183575
07/1990,8776.167471819646
08/1990,7098.765432098766
09/1990,5957.46108427268
10/1990,6029.253891572733
11/1990,5763.553408480945
12/1990,5626.006441223833
01/1991,5408.6151368760065
02/1991,6205.0456253354805
03/1991,6472.088030059044
04/1991,6641.17015566291
05/1991,7165.8615136876015
06/1991,7184.648416532475
07/1991,7114.197530864198
08/1991,7375.872249060655
09/1991,6975.308641975308
10/1991,6751.2077294686
11/1991,6702.22758990875
12/1991,6709.608158883521
01/1992,7142.377885131508
02/1992,7387.949543746646
03/1992,7416.800858829844
04/1992,7873.0542136339245
05/1992,8202.495974235106
06/1992,7765.700483091788
07/1992,7241.009125067097
08/1992,6604.938271604939
09/1992,6174.181427804617
10/1992,6184.245840042941
11/1992,6231.884057971015
12/1992,6176.86527106817
01/1993,6545.222758990875
02/1993,7007.51476113795
03/1993,6980.005367686527
04/1993,6960.547504025765
05/1993,6888.754696725711
06/1993,7534.219001610307
07/1993,8260.869565217392
08/1993,8910.359634997316
09/1993,8427.938808373592
10/1993,8404.4551798175
11/1993,8250.134192163177
12/1993,9592.72678475577
01/1994,10116.076221148685
02/1994,10117.418142780461
03/1994,10613.929146537843
04/1994,11714.975845410629
05/1994,10868.223295759528
06/1994,10305.958132045089
07/1994,11317.767042404725
08/1994,11204.374664519593
09/1994,10373.054213633925
10/1994,10400.563607085347
11/1994,10136.205045625336
12/1994,10057.031669350508
01/1995,9711.48684916801
02/1995,9836.285560923243
03/1995,9153.2474503489
04/1995,9586.688137412775
05/1995,9951.01986044015
06/1995,9446.45732689211
07/1995,10081.85721953838
08/1995,10321.390230810523
09/1995,10496.511003757381
10/1995,9838.298443370908
11/1995,9836.285560923243
12/1995,10015.432098765432
01/1996,11047.369833601719
02/1996,11054.079441760601
03/1996,11050.72463768116
04/1996,11498.255501878692
05/1996,11443.236714975847
06/1996,11370.772946859905
07/1996,10687.734836285561
08/1996,10929.951690821257
09/1996,11319.1089640365
10/1996,11343.263553408482
11/1996,12359.769189479335
12/1996,12524.154589371981
01/1997,13637.278582930758
02/1997,14363.929146537843
03/1997,15246.913580246914
04/1997,15340.177133655396
05/1997,15550.858829844337
06/1997,16863.258185721956
07/1997,18077.697262479873
08/1997,16644.524959742354
09/1997,18156.19967793881
10/1997,15447.530864197532
11/1997,15754.830917874397
12/1997,16106.414385399894
01/1998,16975.30864197531
02/1998,19015.0295222759
03/1998,22026.30166398282
04/1998,22228.93183038111
05/1998,24185.45356951154
06/1998,24711.48684916801
07/1998,24183.440687063878
08/1998,20058.373590982286
09/1998,17465.110037573806
10/1998,17681.823671497586
11/1998,20038.24476650564
12/1998,20133.521202361782
01/1999,21896.80622651637
02/1999,20529.388083735914
03/1999,20006.038647342997
04/1999,22438.94256575416
05/1999,20682.367149758455
06/1999,21531.132581857222
07/1999,20197.926731078907
08/1999,20283.816425120775
09/1999,19333.064949006977
10/1999,20371.712292002147
11/1999,18757.38056897477
12/1999,21084.943639291465
01/2000,18935.185185185186
02/2000,18941.89479334407
03/2000,19557.165861513688
04/2000,19115.002683843264
05/2000,18641.96859903382
06/2000,17760.332796564682
07/2000,18828.502415458937
08/2000,19300.858829844343
09/2000,18357.487922705313
10/2000,19596.08158883521
11/2000,17960.9500805153
12/2000,17759.661835748793
01/2001,19213.633923778852
02/2001,20063.070316693505
03/2001,18694.981213097155
04/2001,20575.01341921632
05/2001,20514.626945786367
06/2001,20130.16639828234
07/2001,20416.666666666668
08/2001,18246.779388083738
09/2001,13430.615942028988
10/2001,15142.243692968332
11/2001,17289.989264626947
12/2001,18105.199946323137
01/2002,18519.860440150296
02/2002,18743.961352657007
03/2002,20495.840042941498
04/2002,19812.124261943103
05/2002,20348.228663446054
06/2002,18754.02576489533
07/2002,17359.769189479335
08/2002,17311.460010735373
09/2002,13937.86902844874
10/2002,14711.48684916801
11/2002,15457.595276435857
12/2002,13067.632850241547
01/2003,12857.622114868493
02/2003,12473.161567364466
03/2003,10997.71873322598
04/2003,12938.808373590982
05/2003,12398.68491680086
06/2003,14151.234567901236
07/2003,14626.945786366077
08/2003,15934.648416532475
09/2003,14340.44551798175
10/2003,15467.659688674183
11/2003,15481.07890499195
12/2003,16514.358561460012
01/2004,16506.97799248524
02/2004,16330.515297906602
03/2004,15729.33440687064
04/2004,17194.04186795491
05/2004,17179.951690821257
06/2004,17889.828234031134
07/2004,17763.687600644123
08/2004,16964.573268921096
09/2004,16687.466451959208
10/2004,16596.88674181428
11/2004,16581.454643048848
12/2004,17049.785292538916
01/2005,17529.52227589909
02/2005,18144.12238325282
03/2005,18172.296027911972
04/2005,16826.355340848095
05/2005,18228.66344605475
06/2005,18958.66881374128
07/2005,20789.043209876545
08/2005,20612.587224906067
09/2005,22154.4551798175
10/2005,20440.82125603865
11/2005,20760.869565217392
12/2005,20946.725711218467
01/2006,22494.632313472895
02/2006,23472.886473429953
03/2006,24764.48604401503
04/2006,24554.482018250135
05/2006,23134.057971014496
06/2006,22079.978529253895
07/2006,22476.516371443908
08/2006,23462.1578099839
09/2006,23913.71443907676
10/2006,25756.84380032206
11/2006,25502.54294149222
12/2006,26792.13633923779
01/2007,27786.500268384327
02/2007,28894.256575416
03/2007,31773.349436392917
04/2007,33339.37198067633
05/2007,35872.920021470745
06/2007,36713.627214170694
07/2007,36045.356951154055
08/2007,35059.04455179818
09/2007,36766.63982823403
10/2007,40309.31293612453
11/2007,35278.448738593666
12/2007,33836.5539452496
01/2008,28448.06763285024
02/2008,28539.31830381106
03/2008,29133.789586688137
04/2008,28869.43102522813
05/2008,28923.107890499195
06/2008,24339.774557165863
07/2008,24537.03703703704
08/2008,25150.288513150834
09/2008,24773.21524422974
10/2008,27037.70799785293
11/2008,19538.378958668814
12/2008,19202.22758990875
01/2009,17259.796027911972
02/2009,14325.684380032208
03/2009,16315.08319914117
04/2009,21122.517444981215
05/2009,20390.499194847023
06/2009,20907.809983896943
07/2009,24147.879763821795
08/2009,21668.67954911433
09/2009,22264.492753623188
10/2009,21971.28287707998
11/2009,21583.46752549651
12/2009,22925.389157273217
01/2010,21539.184111647883
02/2010,19738.996242619432
03/2010,22524.15458937198
04/2010,23947.933440687066
05/2010,23566.82769726248
06/2010,24210.27911969941
07/2010,25335.48040794418
08/2010,24325.684380032206
09/2010,28379.62962962963
10/2010,30036.231884057972
11/2010,32000.13419216318
12/2010,33316.55931293613
01/2011,33859.366612989805
02/2011,33723.16156736447
03/2011,32559.044551798175
04/2011,35758.85668276973
05/2011,34598.765432098764
06/2011,37280.59581320451
07/2011,35837.35909822866
08/2011,28336.688137412777
09/2011,24707.46108427268
10/2011,28597.691894793345
