Date,STOXX Europe 600 Banks
12/1986,10000
01/1987,9928.366762177651
02/1987,9534.934979061054
03/1987,9596.64976856954
04/1987,9499.669385056204
05/1987,9329.95371390787
06/1987,9652.854309014769
07/1987,10264.491955036368
08/1987,10386.819484240688
09/1987,10526.779810447433
10/1987,8298.435089266035
11/1987,7621.7765042979945
12/1987,7700.022040996253
01/1988,7705.532290059511
02/1988,8146.352215120124
03/1988,8030.636984791713
04/1988,8091.249724487548
05/1988,8325.986334582323
06/1988,8722.724267136875
07/1988,8951.950628168393
08/1988,8697.37712144589
09/1988,9110.645801190214
10/1988,9496.36323561825
11/1988,9446.770994048931
12/1988,9555.873925501432
01/1989,10040.775843068108
02/1989,9624.201013885828
03/1989,9945.999559180076
04/1989,10117.919329953715
05/1989,10018.734846815076
06/1989,10330.614943795461
07/1989,11276.173683050472
08/1989,11586.951730218207
09/1989,11434.868856072295
10/1989,10861.802953493498
11/1989,11347.806920872825
12/1989,11975.975314084197
01/1990,11700.462860921314
02/1990,11506.502093894645
03/1990,11484.461097641613
04/1990,11178.09124972449
05/1990,12016.751157152305
06/1990,12346.264051135113
07/1990,12597.531408419662
08/1990,11278.377782675778
09/1990,9615.384615384615
10/1990,10002.204099625304
11/1990,9976.856953934319
12/1990,9884.284769671589
01/1991,10200.57306590258
02/1991,11427.154507383735
03/1991,11756.667401366542
04/1991,11780.912497244875
05/1991,12307.692307692309
06/1991,11639.85012122548
07/1991,11957.240467269121
08/1991,12141.282785981926
09/1991,11832.708838439497
10/1991,11458.011902137978
11/1991,10956.579237381531
12/1991,11020.498126515318
01/1992,11595.76812871942
02/1992,11821.688340312983
03/1992,11266.25523473661
04/1992,11754.46330174124
05/1992,11956.13841745647
06/1992,11288.296230989643
07/1992,10563.147454264934
08/1992,10200.57306590258
09/1992,10746.087723165088
10/1992,11023.804275953275
11/1992,11508.706193519949
12/1992,11817.280141062376
01/1993,12251.487767247081
02/1993,13038.351333480274
03/1993,13286.312541326868
04/1993,13289.618690764823
05/1993,13648.886929689223
06/1993,14251.70817720961
07/1993,15166.409521710382
08/1993,16055.763720520168
09/1993,15724.046726912058
10/1993,16766.585849680403
11/1993,16408.419660568656
12/1993,17683.49129380648
01/1994,18083.535375798987
02/1994,16896.627727573286
03/1994,15746.087723165088
04/1994,15725.148776724709
05/1994,15203.879215340534
06/1994,14736.610094776284
07/1994,15415.47277936963
08/1994,15592.902799206526
09/1994,14931.672911615606
10/1994,15401.146131805159
11/1994,15702.005730659026
12/1994,15330.614943795463
01/1995,14757.549041216664
02/1995,15001.102049812653
03/1995,14921.754463301742
04/1995,15354.860039673797
05/1995,16286.09213136434
06/1995,16102.049812651536
07/1995,16531.84923958563
08/1995,16412.827859819266
09/1995,16779.810447432224
10/1995,17153.405333921095
11/1995,18092.351774300198
12/1995,18540.88604804937
01/1996,18944.236279479832
02/1996,18854.97024465506
03/1996,18592.682389243993
04/1996,18927.70553229006
05/1996,18997.134670487107
06/1996,19073.176107560063
07/1996,19174.564690324005
08/1996,19890.8970685475
09/1996,20599.515098082433
10/1996,20860.70090368085
11/1996,22276.834912938062
12/1996,22761.73683050474
01/1997,24949.30570861803
02/1997,26506.502093894647
03/1997,26634.33987216222
04/1997,28309.455587392553
05/1997,30048.490191756675
06/1997,31367.643817500553
07/1997,35839.76195724047
08/1997,33649.98897950187
09/1997,37622.87855411065
10/1997,34489.75093674234
11/1997,35568.657703328194
12/1997,39852.3253251047
01/1998,42098.30284328852
02/1998,45664.536037028876
03/1998,49388.3623539784
04/1998,49993.38770112409
05/1998,50289.83910072735
06/1998,51167.070751597974
07/1998,53849.4599955918
08/1998,43428.47696715892
09/1998,35012.12254793917
10/1998,39937.18316067886
11/1998,44819.263830725155
12/1998,45011.02049812652
01/1999,45216.0017632797
02/1999,46650.870619352
03/1999,49271.54507383734
04/1999,53081.33127617369
05/1999,49488.648886929695
06/1999,50055.10249063258
07/1999,47273.528763500115
08/1999,49264.93277496143
09/1999,48742.56116376461
10/1999,50778.04716773199
11/1999,51837.11703769011
12/1999,54441.26074498567
01/2000,47940.26890015429
02/2000,49854.52942473
03/2000,51620.01322459775
04/2000,52638.30725148777
05/2000,54235.17743001984
06/2000,54521.71038130924
07/2000,56485.56314745427
08/2000,60358.16618911176
09/2000,60797.87304386159
10/2000,62896.18690764823
11/2000,58862.68459334362
12/2000,60886.048049371835
01/2001,64056.64536037029
02/2001,59429.13819704651
03/2001,58460.436411725816
04/2001,61793.03504518404
05/2001,61909.85232532511
06/2001,60792.37381529646
07/2001,57223.936521930795
08/2001,57205.20167511572
09/2001,49633.017412387046
10/2001,51561.604584527224
11/2001,54649.548159576814
12/2001,56129.601057967826
01/2002,56477.848798765706
02/2002,54952.611858055985
03/2002,58701.7853206965
04/2002,60314.08419660569
05/2002,59118.36014987879
06/2002,53193.74035706414
07/2002,48465.94666078907
08/2002,48913.37888472559
09/2002,39512.893982808026
10/2002,44907.427815737276
11/2002,47927.04430240247
12/2002,42792.59422525898
01/2003,39059.95150980825
02/2003,39284.769671589165
03/2003,38245.536698258766
04/2003,43794.357504959225
05/2003,44400.48490191757
06/2003,46743.44280361473
07/2003,49372.93365660128
08/2003,48510.02865329513
09/2003,47275.73286312541
10/2003,51871.2805818823
11/2003,52301.0800088164
12/2003,53515.53890235839
01/2004,54729.99779590038
02/2004,55687.67908309456
03/2004,54283.667621776505
04/2004,54806.03923297334
05/2004,54487.54683711704
06/2004,54975.75490412167
07/2004,53784.439056645366
08/2004,54684.813753581664
09/2004,55994.04893101168
10/2004,57186.46682830064
11/2004,58764.60216001764
12/2004,60659.02578796562
01/2005,61863.56623319374
02/2005,63221.29160238043
03/2005,62705.53229005951
04/2005,61094.335463962976
05/2005,63451.6200132246
06/2005,65690.98523253252
07/2005,67745.20608331497
08/2005,67178.75247961209
09/2005,70286.5329512894
10/2005,69444.56689442364
11/2005,73105.57637205202
12/2005,75906.98699581221
01/2006,79277.0553229006
02/2006,83968.47035486004
03/2006,84143.70729556977
04/2006,84377.34185585189
05/2006,80402.24818161782
06/2006,80618.24994489751
07/2006,82204.09962530308
08/2006,85660.12783777827
09/2006,88182.71985893763
10/2006,91173.67202997576
11/2006,89327.73859378444
12/2006,92907.20740577475
01/2007,95886.04804937184
02/2007,92264.71236499891
03/2007,93679.74432444347
04/2007,98299.53713907869
05/2007,99275.95327308794
06/2007,95682.1688340313
07/2007,93018.51443685255
08/2007,89207.62618470355
09/2007,86970.46506502094
10/2007,89020.2777165528
11/2007,82760.6347806921
12/2007,79851.22327529205
01/2008,69072.07405774742
02/2008,66352.21512012344
03/2008,65635.88274189994
04/2008,70374.69693630152
05/2008,66046.93630152084
06/2008,55591.80074939388
07/2008,57314.30460656823
08/2008,57893.98280802293
09/2008,51600.176327970024
10/2008,39273.749173462646
11/2008,33333.700683270894
12/2008,29795.018734846817
01/2009,26923.076923076926
02/2009,22282.345162001322
03/2009,24712.364998897952
04/2009,33557.41679523914
05/2009,36810.66784218647
06/2009,35898.170597311
07/2009,41439.277055322906
08/2009,46856.95393431783
09/2009,47644.91955036368
10/2009,44951.50980824333
11/2009,44177.87083976196
12/2009,44898.61141723607
01/2010,42037.690103592686
02/2010,41668.50341635442
03/2010,45176.32797002425
04/2010,43896.84813753582
05/2010,39960.32620674455
06/2010,39772.977738593785
07/2010,45631.47454264933
08/2010,43325.986334582325
09/2010,43191.53625743884
10/2010,43062.59642935861
11/2010,39176.76878994931
12/2010,40581.88230108001
01/2011,44135.992946881204
02/2011,45312.98214679304
03/2011,41385.26559400485
04/2011,42252.589817059736
05/2011,41304.826978179415
06/2011,39127.17654837999
07/2011,36520.82874145912
08/2011,30286.5329512894
09/2011,28344.7211813974
10/2011,30123.418558518846
11/2011,27707.736389684815
12/2011,28232.312100506944
01/2012,30996.253030636988
