Date,STOXX Europe 600 Basic Resources
12/1986,10000
01/1987,10146.760343481656
02/1987,10415.300546448087
03/1987,11188.134270101484
04/1987,11870.4137392662
05/1987,12207.650273224044
06/1987,12399.68774395004
07/1987,14735.36299765808
08/1987,14245.12099921936
09/1987,15014.832162373146
10/1987,10543.325526932085
11/1987,9698.672911787666
12/1987,10004.683840749414
01/1988,9959.406713505075
02/1988,10366.900858704137
03/1988,11002.341920374707
04/1988,11617.486338797815
05/1988,12459.016393442624
06/1988,12928.961748633881
07/1988,13372.365339578455
08/1988,13067.915690866512
09/1988,14415.300546448088
10/1988,14576.112412177987
11/1988,14657.298985167838
12/1988,14783.762685402031
01/1989,16685.402029664325
02/1989,16755.659640905542
03/1989,17402.029664324746
04/1989,17751.75644028103
05/1989,17623.731459797033
06/1989,17881.342701014833
07/1989,18498.048399687745
08/1989,19637.78298204528
09/1989,19412.95862607338
10/1989,17784.543325526934
11/1989,18596.40905542545
12/1989,19509.75800156128
01/1990,19086.65105386417
02/1990,19053.864168618267
03/1990,20256.049960967994
04/1990,19350.50741608119
05/1990,20124.902419984388
06/1990,20449.648711943795
07/1990,20188.914910226387
08/1990,17128.8056206089
09/1990,14569.867291178765
10/1990,14975.800156128025
11/1990,14918.032786885247
12/1990,14972.677595628416
01/1991,14941.451990632318
02/1991,17185.011709601873
03/1991,18441.84231069477
04/1991,18591.725214676037
05/1991,18594.847775175644
06/1991,18590.16393442623
07/1991,19085.089773614363
08/1991,19320.843091334897
09/1991,19125.68306010929
10/1991,18012.49024199844
11/1991,16362.217017954723
12/1991,15612.8024980484
01/1992,16986.72911787666
02/1992,17323.965651834504
03/1992,17178.766588602655
04/1992,18825.917252146763
05/1992,18835.28493364559
06/1992,17861.04605776737
07/1992,16396.56518345043
08/1992,15180.32786885246
09/1992,15021.077283372364
10/1992,14078.064012490242
11/1992,15103.825136612022
12/1992,15790.788446526152
01/1993,15761.12412177986
02/1993,16576.112412177987
03/1993,17088.212334113974
04/1993,17286.49492583919
05/1993,17633.099141295865
06/1993,18295.081967213115
07/1993,20448.08743169399
08/1993,21222.48243559719
09/1993,20176.424668227948
10/1993,21556.596409055426
11/1993,21825.13661202186
12/1993,23430.132708821235
01/1994,25797.033567525374
02/1994,25252.146760343483
03/1994,24349.726775956286
04/1994,25603.434816549572
05/1994,24585.480093676815
06/1994,24096.799375487903
07/1994,25578.454332552697
08/1994,26907.10382513661
09/1994,26062.451209992196
10/1994,25650.273224043718
11/1994,25110.070257611245
12/1994,25325.52693208431
01/1995,25061.670569867292
02/1995,24868.07181889149
03/1995,23745.511319281813
04/1995,24918.032786885247
05/1995,25419.2037470726
06/1995,25603.434816549572
07/1995,27555.035128805623
08/1995,26736.924277907885
09/1995,26960.18735362998
10/1995,25725.21467603435
11/1995,25558.15768930523
12/1995,25347.38485558158
01/1996,26380.95238095238
02/1996,27124.121779859484
03/1996,27327.088212334114
04/1996,28729.11787665886
05/1996,28232.630757220926
06/1996,27818.89149102264
07/1996,26740.046838407496
08/1996,27481.654957064795
09/1996,28463.700234192038
10/1996,28032.786885245903
11/1996,28985.167837626854
12/1996,29064.793130366903
01/1997,29706.479313036692
02/1997,31911.007025761122
03/1997,33436.377829820456
04/1997,33166.276346604216
05/1997,34468.38407494145
06/1997,36477.75175644028
