Date,STOXX Europe 600 Food & Beverage
12/1986,10000
01/1987,10154.589371980675
02/1987,10801.932367149759
03/1987,11136.231884057972
04/1987,11518.840579710144
05/1987,12015.458937198067
06/1987,12419.323671497585
07/1987,12960.38647342995
08/1987,12734.299516908213
09/1987,13099.516908212563
10/1987,10260.869565217392
11/1987,9453.140096618357
12/1987,9918.840579710144
01/1988,10040.579710144928
02/1988,10411.59420289855
03/1988,10485.024154589371
04/1988,11333.333333333334
05/1988,11721.739130434782
06/1988,12125.6038647343
07/1988,12533.333333333334
08/1988,12046.376811594202
09/1988,12558.454106280193
10/1988,12981.642512077296
11/1988,12498.550724637684
12/1988,12772.94685990338
01/1989,14357.487922705313
02/1989,13845.410628019325
03/1989,14104.347826086956
04/1989,14479.227053140099
05/1989,14544.927536231884
06/1989,14742.028985507248
07/1989,16156.521739130434
08/1989,16713.043478260868
09/1989,16272.46376811594
10/1989,15283.091787439613
11/1989,15804.830917874398
12/1989,16463.768115942028
01/1990,15938.164251207729
02/1990,15383.574879227053
03/1990,15484.057971014492
04/1990,15225.120772946862
05/1990,16780.676328502417
06/1990,17341.062801932367
07/1990,17561.35265700483
08/1990,15770.048309178745
09/1990,14444.444444444445
10/1990,15453.140096618357
11/1990,15393.236714975845
12/1990,15598.067632850241
01/1991,15625.12077294686
02/1991,17140.09661835749
03/1991,18034.782608695652
04/1991,18199.033816425122
05/1991,18668.599033816427
06/1991,18115.942028985508
07/1991,18836.71497584541
08/1991,19211.594202898552
09/1991,19426.08695652174
10/1991,19252.17391304348
11/1991,18734.299516908213
12/1991,19323.671497584543
01/1992,20542.995169082125
02/1992,20886.956521739132
03/1992,20251.2077294686
04/1992,21462.80193236715
05/1992,21683.091787439615
06/1992,20827.053140096617
07/1992,19723.67149758454
08/1992,18863.768115942028
09/1992,19476.32850241546
10/1992,19476.32850241546
11/1992,19926.57004830918
12/1992,20517.874396135267
01/1993,19516.908212560385
02/1993,20430.917874396135
03/1993,21298.55072463768
04/1993,20571.9806763285
05/1993,20173.91304347826
06/1993,21209.661835748793
07/1993,21505.314009661837
08/1993,22570.048309178743
09/1993,21242.512077294687
10/1993,22216.425120772947
11/1993,22287.92270531401
12/1993,24332.367149758455
01/1994,25955.555555555555
02/1994,24637.681159420288
03/1994,22921.739130434784
04/1994,23824.15458937198
05/1994,22836.71497584541
06/1994,22003.864734299517
07/1994,23111.11111111111
08/1994,24347.82608695652
09/1994,23078.260869565216
10/1994,23397.101449275364
11/1994,23416.425120772947
12/1994,23518.840579710144
01/1995,22755.555555555555
02/1995,22898.55072463768
03/1995,23679.227053140097
04/1995,23878.260869565216
05/1995,24226.08695652174
06/1995,24355.555555555555
07/1995,24761.352657004827
08/1995,25026.08695652174
09/1995,25422.222222222223
10/1995,25644.444444444445
11/1995,25760.386473429953
12/1995,26981.642512077295
01/1996,27750.724637681164
02/1996,27478.260869565216
03/1996,27922.70531400966
04/1996,28618.357487922705
05/1996,28600.966183574878
06/1996,28888.88888888889
07/1996,27810.628019323667
08/1996,28411.594202898552
09/1996,28805.797101449276
10/1996,28761.35265700483
11/1996,30328.502415458937
12/1996,31178.74396135266
01/1997,31748.7922705314
02/1997,33793.23671497584
03/1997,34792.270531400965
04/1997,35663.76811594203
05/1997,36386.47342995169
06/1997,38552.657004830915
07/1997,40179.710144927536
08/1997,37219.32367149759
09/1997,39613.52657004831
10/1997,37565.217391304344
11/1997,40218.3574879227
12/1997,42372.94685990338
01/1998,44297.5845410628
02/1998,47913.04347826087
03/1998,53277.29468599034
04/1998,53404.830917874395
05/1998,55806.76328502416
06/1998,56262.80193236716
07/1998,54164.25120772947
08/1998,48459.903381642514
09/1998,44730.434782608696
10/1998,49029.95169082125
11/1998,51505.31400966184
12/1998,53317.87439613527
01/1999,49739.13043478261
02/1999,50187.43961352658
03/1999,50003.86473429952
04/1999,51739.13043478261
05/1999,51812.56038647343
06/1999,51335.2657004831
07/1999,51070.53140096618
08/1999,51431.88405797102
09/1999,50239.61352657005
10/1999,50541.06280193237
11/1999,47982.608695652176
12/1999,47943.961352657
01/2000,44177.77777777778
02/2000,44960.38647342995
03/2000,48112.07729468599
04/2000,49457.004830917875
05/2000,50857.97101449275
06/2000,51837.68115942029
07/2000,53145.87439613527
08/2000,54740.07729468599
09/2000,54962.31884057971
10/2000,58011.59420289855
11/2000,61762.31884057971
12/2000,60902.4154589372
01/2001,55885.99033816425
02/2001,57878.260869565216
03/2001,57433.816425120785
04/2001,58305.31400966184
05/2001,61509.178743961354
06/2001,64216.42512077295
07/2001,61263.76811594203
08/2001,59012.56038647343
09/2001,56840.57971014493
10/2001,55232.85024154589
11/2001,57449.27536231884
12/2001,59845.41062801932
01/2002,61342.995169082125
02/2002,62747.82608695653
03/2002,63949.75845410628
04/2002,66964.25120772947
05/2002,65095.65217391304
06/2002,61101.44927536232
07/2002,56500.48309178744
08/2002,57389.371980676326
09/2002,56544.92753623189
10/2002,56508.21256038648
11/2002,53035.74879227053
12/2002,52529.44927536232
01/2003,48239.61352657005
02/2003,46208.69565217391
03/2003,46915.942028985504
04/2003,49085.99033816425
05/2003,46616.42512077295
06/2003,46548.7922705314
07/2003,47277.29468599034
08/2003,50384.54106280193
09/2003,49858.93719806763
10/2003,50144.92753623189
11/2003,51024.15458937198
12/2003,51742.995169082125
01/2004,54063.74879227053
02/2004,56852.17391304348
03/2004,55480.19323671498
04/2004,56776.811594202896
05/2004,57304.34782608696
06/2004,58834.78260869566
07/2004,56061.83574879227
08/2004,53594.20289855073
09/2004,52115.942028985504
10/2004,53155.555555555555
11/2004,55171.014492753624
12/2004,55719.80676328502
01/2005,56968.115942028984
02/2005,58956.52173913043
03/2005,60063.76811594203
04/2005,59696.618357487925
05/2005,62952.637681159424
06/2005,63356.52173913043
07/2005,65628.98550724638
08/2005,66247.34299516908
09/2005,70071.49758454107
10/2005,69725.6038647343
11/2005,70245.41062801932
12/2005,71116.88888888889
01/2006,71057.00483091788
02/2006,73057.00483091787
03/2006,73165.21739130435
04/2006,73118.84057971014
05/2006,70104.34782608696
06/2006,72003.86473429951
07/2006,75812.56038647343
08/2006,78034.78260869565
09/2006,79779.71014492754
10/2006,79914.97584541063
11/2006,81543.961352657
12/2006,83600
01/2007,85174.87922705314
02/2007,83957.48792270532
03/2007,88226.08695652174
04/2007,90597.10144927536
