Date,STOXX Europe 600 Health Care
12/1986,10000
01/1987,10847.960444993818
02/1987,12704.573547589616
03/1987,12484.548825710754
04/1987,12605.686032138441
05/1987,12981.458590852904
06/1987,13339.92583436341
07/1987,14202.719406674907
08/1987,13878.86279357231
09/1987,14754.017305315203
10/1987,10257.107540173052
11/1987,9364.647713226204
12/1987,9270.70457354759
01/1988,9824.474660074166
02/1988,10103.831891223732
03/1988,9982.694684796044
04/1988,10252.163164400494
05/1988,10504.326328800988
06/1988,11038.31891223733
07/1988,11129.789864029666
08/1988,10697.15698393078
09/1988,11527.812113720642
10/1988,11740.420271940666
11/1988,11268.23238566131
12/1988,11263.28800988875
01/1989,12773.794808405439
02/1989,12625.463535228677
03/1989,13105.067985166872
04/1989,13807.16934487021
05/1989,13686.03213844252
06/1989,13950.556242274411
07/1989,15260.81582200247
08/1989,16786.155747836834
09/1989,15794.808405438813
10/1989,14800.988875154511
11/1989,15503.090234857847
12/1989,15814.585908529047
01/1990,15085.290482076636
02/1990,14786.155747836834
03/1990,15097.651421508033
04/1990,14632.880098887514
05/1990,16042.027194066748
06/1990,16449.938195302846
07/1990,16333.74536464771
08/1990,14665.018541409147
09/1990,13720.642768850432
10/1990,14622.991347342397
11/1990,14798.516687268231
12/1990,15218.788627935723
01/1991,15557.478368355994
02/1991,17028.430160692213
03/1991,18929.542645241036
04/1991,19033.37453646477
05/1991,20128.553770086524
06/1991,20222.49690976514
07/1991,21137.206427688503
08/1991,21970.333745364645
09/1991,21767.61433868974
10/1991,23367.119901112485
11/1991,22813.34981458591
12/1991,24721.878862793572
01/1992,25337.45364647713
02/1992,24830.655129789862
03/1992,24546.35352286774
04/1992,24551.297898640296
05/1992,25302.84301606922
06/1992,23480.84054388133
07/1992,23676.1433868974
08/1992,23352.286773794804
09/1992,24323.856613102595
10/1992,24299.134734239804
11/1992,25268.232385661304
12/1992,25468.479604449938
01/1993,23851.668726823238
02/1993,23003.70828182942
03/1993,22754.017305315207
04/1993,23364.647713226204
05/1993,25102.595797280595
06/1993,25021.01359703337
07/1993,25703.337453646476
08/1993,26902.348578491965
09/1993,27310.25957972806
10/1993,29416.56365883807
11/1993,29498.14585908529
12/1993,32296.662546353517
01/1994,33470.95179233621
02/1994,31985.166872682323
03/1994,30600.74165636588
04/1994,29901.112484548823
05/1994,29416.56365883807
06/1994,29292.9542645241
07/1994,28306.551297898637
08/1994,30929.542645241036
09/1994,29683.55995055624
10/1994,29873.918417799752
11/1994,30677.37948084054
12/1994,31584.672435105065
01/1995,31765.14215080346
02/1995,33171.817058096414
03/1995,33990.11124845488
04/1995,35114.95673671199
05/1995,36242.274412855375
06/1995,37735.4758961681
07/1995,38800.98887515451
08/1995,40447.466007416566
09/1995,42313.967861557474
10/1995,44561.18665018541
11/1995,46331.27317676143
12/1995,48435.105067985154
01/1996,49048.20766378244
02/1996,50158.22002472187
03/1996,53997.527812113716
04/1996,53468.47960444994
05/1996,52660.074165636586
06/1996,54247.218788627935
07/1996,51908.52904820766
08/1996,54541.409147095175
09/1996,56620.51915945611
10/1996,57186.65018541409
11/1996,59206.42768850432
12/1996,59426.452410383186
01/1997,65065.5129789864
02/1997,67297.89864029667
03/1997,69404.20271940668
