Date,STOXX Europe 600 Industrial Goods & Services
12/1986,10000
01/1987,10192.547444244356
02/1987,11040.31029228425
03/1987,11220.390635822136
04/1987,11496.052084776285
05/1987,11778.639700789583
06/1987,11915.777808560742
07/1987,12311.954564344092
08/1987,12065.383017038372
09/1987,12514.198642471258
10/1987,9408.505333148636
11/1987,8508.103615459206
12/1987,8843.33010112204
01/1988,9161.933785842915
02/1988,9531.791106801496
03/1988,9631.527912453248
04/1988,10077.573071062474
05/1988,10191.162210832525
06/1988,10645.518769912731
07/1988,10947.499653691648
08/1988,10587.338966615876
09/1988,11221.775869233967
10/1988,11648.427760077573
11/1988,11684.44382878515
12/1988,12057.071616567393
01/1989,13565.590802050148
02/1989,13600.221637345894
03/1989,14223.576672669347
04/1989,14630.835295747334
05/1989,14925.890012467102
06/1989,15279.124532483724
07/1989,15941.266103338414
08/1989,16403.9340628896
09/1989,15870.619199335088
10/1989,14492.311954564344
11/1989,14984.069815763956
12/1989,15651.752320265965
01/1990,15701.62072309184
02/1990,15295.747333425683
03/1990,15808.283695802744
04/1990,15245.878930599807
05/1990,16381.77032830032
06/1990,16423.327330655215
07/1990,16290.344923119546
08/1990,14068.430530544398
09/1990,12147.111788336335
10/1990,12443.551738467932
11/1990,12377.060534700096
12/1990,12353.511566698991
01/1991,12576.534146003603
02/1991,14316.387311261948
03/1991,14794.29283834326
04/1991,14700.096966338828
05/1991,14815.07133952071
06/1991,14442.443551738468
07/1991,14909.267211525143
08/1991,15326.222468485941
09/1991,15352.541903310708
10/1991,14715.334533868958
11/1991,13920.2105554786
12/1991,13852.334118298933
01/1992,14939.7423465854
02/1992,15182.158193655632
03/1992,14956.365147527358
04/1992,16100.567945698851
05/1992,16700.374013021195
06/1992,15835.988364039342
07/1992,14682.08893198504
08/1992,13914.669621831279
09/1992,14043.49632913146
10/1992,13550.353234520015
11/1992,14274.83030890705
12/1992,14900.955811054164
01/1993,15092.118021886688
02/1993,15700.235489680012
03/1993,16216.927552292562
04/1993,16276.492589001247
05/1993,16413.630696772405
06/1993,17046.682365978668
07/1993,18697.8805928799
08/1993,19064.967447014824
09/1993,18472.087546751627
10/1993,19429.283834326085
11/1993,19517.9387726832
12/1993,21404.626679595513
01/1994,22942.235766726695
02/1994,21918.548275384404
03/1994,21115.112896523064
04/1994,22076.46488433301
05/1994,20678.76437179665
06/1994,19691.092949161935
07/1994,20915.63928521956
08/1994,20980.745255575566
09/1994,19685.55201551462
10/1994,19871.17329269982
11/1994,20094.195872004435
