Date,STOXX Europe 600 Personal & Household Goods
12/1991,10000
01/1992,10461.176044214913
02/1992,10738.425296729183
03/1992,10767.418682613028
04/1992,11666.21364501223
05/1992,11978.798586572437
06/1992,11124.399746307872
07/1992,10420.404095315756
08/1992,9941.10718492344
09/1992,10427.652441786717
10/1992,10263.658602881218
11/1992,10620.639666576062
12/1992,11369.031439702818
01/1993,11046.48002174504
02/1993,11466.884117060796
03/1993,12273.262661955241
04/1993,11572.891184198605
05/1993,11609.132916553412
06/1993,12111.08090966748
07/1993,12883.029808824862
08/1993,13278.970734801123
09/1993,12847.694119778926
10/1993,13144.87632508834
11/1993,13269.910301712422
12/1993,14320.92054000181
01/1994,15130.923258131737
02/1994,14185.014043671286
03/1994,12939.204493974812
04/1994,13777.294554679713
05/1994,12737.156836096767
06/1994,12022.288665398206
07/1994,12901.150675002262
08/1994,13247.259218990666
09/1994,12428.196067772036
10/1994,12608.498686237202
11/1994,12864.002899338588
12/1994,12583.129473588837
01/1995,12216.181933496422
02/1995,12032.255141795777
03/1995,12659.23711153393
04/1995,13176.587840898794
05/1995,13687.596267101568
06/1995,13270.816345021292
07/1995,14118.872882123767
08/1995,14130.651445139078
09/1995,14365.316662136449
10/1995,14029.174594545619
11/1995,14259.30959499864
12/1995,14880.855304883573
01/1996,15781.462353900515
02/1996,15792.334873606958
03/1996,15611.126211832925
04/1996,16392.135544079003
05/1996,16536.196430189364
06/1996,16753.646824318203
07/1996,16065.959952885747
08/1996,15650.086074114342
09/1996,16484.551961583762
10/1996,16400.28993385884
11/1996,17544.62263296185
12/1996,17819.153755549512
01/1997,18631.87460360605
02/1997,19428.286672102924
03/1997,19503.48826673915
04/1997,20076.107637945093
05/1997,20327.987677810997
06/1997,21659.87134185014
07/1997,22436.35045755187
08/1997,21184.198604693305
09/1997,22152.75890187551
10/1997,20715.77421400743
11/1997,21470.508290296275
12/1997,21964.301893630516
01/1998,22909.305064782096
02/1998,24725.015855757905
03/1998,26600.525505119138
04/1998,26241.732354806558
05/1998,26755.45891093594
06/1998,27304.52115611126
07/1998,27531.0319833288
08/1998,24050.919633958503
09/1998,21967.926066865995
10/1998,24570.082449941106
11/1998,25933.6776297907
12/1998,26919.452749841443
01/1999,27901.6036966567
02/1999,27420.494699646642
03/1999,28201.504031892724
04/1999,29595.904684243906
05/1999,29532.481652622995
06/1999,31445.13907764791
07/1999,30177.584488538552
08/1999,30304.430551780377
09/1999,29546.978345564916
10/1999,28815.801395306695
11/1999,30014.49669294192
12/1999,33278.064691492254
01/2000,30073.38950801848
02/2000,29672.012322189
03/2000,31246.715593005345
04/2000,33135.81589199964
05/2000,32746.217269185465
06/2000,34856.392135544076
07/2000,35653.71024734982
08/2000,36161.094500317115
09/2000,35137.265561293825
10/2000,34803.84162362961
11/2000,32431.820241007517
12/2000,31672.555948174322
01/2001,31969.738153483737
02/2001,30810.908761438797
03/2001,28136.268913654072
04/2001,30777.3851590106
05/2001,30750.203859744495
06/2001,30175.77240192081
07/2001,30382.350276343208
08/2001,29005.16444686056
09/2001,24226.692035879314
10/2001,25732.536015221525
11/2001,27446.769955603875
12/2001,29261.574703270817
01/2002,29635.77058983419
02/2002,30362.417323548063
03/2002,33211.92352994473
04/2002,33273.534474947905
05/2002,33064.238470598895
06/2002,30183.020748391773
07/2002,27551.870979432813
08/2002,27621.63631421582
09/2002,24811.99601340944
10/2002,26214.551055540454
11/2002,26692.9419226239
12/2002,25069.312313128565
01/2003,23148.500498323818
02/2003,22821.41886382169
03/2003,22007.79197245628
04/2003,23711.15339313219
05/2003,24248.437075292197
06/2003,24592.73353266286
07/2003,25285.856663948536
08/2003,27186.735525958138
09/2003,26073.20829935671
10/2003,28312.947358883754
11/2003,28650.90151309233
12/2003,28973.4529310501
01/2004,29897.61710609767
02/2004,31224.970553592462
03/2004,31317.386971097218
04/2004,31549.33405816798
05/2004,31313.762797861735
06/2004,31847.422306786262
07/2004,30731.17695025822
08/2004,29985.503307058076
09/2004,29792.516082268732
10/2004,29956.50992117423
11/2004,31171.513998369122
12/2004,32214.36984687868
01/2005,32666.485458004892
02/2005,33489.172782459
03/2005,34074.47675998913
04/2005,33198.33288031168
05/2005,35290.386880492886
06/2005,36352.269638488724
07/2005,37600.79731811181
08/2005,37555.49515266829
09/2005,39091.23856120322
10/2005,38578.41804838271
11/2005,40674.0962217994
12/2005,42918.3654978708
01/2006,43507.293648636405
02/2006,45202.50067953248
03/2006,45958.1407991302
04/2006,46393.041587387874
05/2006,43492.79695569448
06/2006,43928.60378726103
07/2006,45657.3344205853
08/2006,47204.856392135545
09/2006,48024.82558666304
10/2006,48758.720666847876
11/2006,49386.608679894896
12/2006,51547.51291111715
01/2007,53309.776207302704
02/2007,52565.00860741143
03/2007,54898.976171060975
04/2007,56280.69221708798
05/2007,58084.624445048474
06/2007,57263.7492072121
07/2007,55393.67581770408
