Date,STOXX Europe 600 SRI
03/2014,10000
04/2014,10106.702880977786
05/2014,10343.38927151033
06/2014,10240.566495295372
07/2014,10074.69201668445
08/2014,10307.498302454165
09/2014,10473.372781065089
10/2014,10308.468328644873
11/2014,10799.30158114269
12/2014,10619.846735861867
01/2015,11488.020176544765
02/2015,12238.820448152099
03/2015,12631.681055388495
04/2015,12486.177126782422
05/2015,12754.874381608302
06/2015,12194.199243379571
07/2015,12863.517314967507
08/2015,11831.409448055098
09/2015,11412.358133669608
10/2015,12273.741391017556
11/2015,12597.730138713745
12/2015,12055.485498108448
01/2016,11224.173052672422
02/2016,10893.394121641284
03/2016,11028.227762149578
04/2016,11150.451062178678
05/2016,11503.540595596081
06/2016,10850.71296925017
07/2016,11278.494519352022
08/2016,11329.9059074595
09/2016,11225.14307886313
10/2016,11060.238626442913
11/2016,11061.20865263362
12/2016,11733.436802793674
01/2017,11673.295178969833
02/2017,12068.095838587642
03/2017,12543.408672034144
04/2017,12811.135900669318
05/2017,13105.053836453584
06/2017,12806.285769715781
07/2017,12652.051605393346
08/2017,12529.828305364243
09/2017,13006.111165001457
10/2017,13107.963915025704
11/2017,12844.116791153361
12/2017,12854.787079251138
01/2018,13082.743234067319
02/2018,12544.378698224851
03/2018,12273.741391017556
04/2018,12686.972548258802
05/2018,12554.078960131921
06/2018,12500.72751964303
07/2018,13003.201086429333
08/2018,12767.484722087496
09/2018,12771.364826850324
10/2018,12119.507226695121
11/2018,12175.768745756135
12/2018,11434.668736055874
01/2019,12031.23484334077
02/2019,12578.3296148996
03/2019,12773.304879231739
04/2019,13278.688524590161
05/2019,12688.912600640217
06/2019,13259.288000776021
07/2019,13256.3779222039
08/2019,13216.606848384907
09/2019,13744.301096129595
10/2019,13982.927539043554
11/2019,14339.897177223787
12/2019,14631.875060626637
01/2020,14527.112232030264
02/2020,13430.012610340478
03/2020,11703.365990881754
04/2020,12451.256183916968
05/2020,12752.93432922689
06/2020,13211.75671743137
07/2020,13036.181976913374
08/2020,13347.560384130371
09/2020,13213.696769812785
10/2020,12427.975555339994
11/2020,13972.257250945775
12/2020,14177.902803375691
01/2021,14007.178193811233
02/2021,14158.502279561548
03/2021,15208.070617906684
04/2021,15553.399941798429
05/2021,16018.042487147153
06/2021,16379.862256280921
07/2021,16736.83189446115
08/2021,17115.14210883694
09/2021,16523.426132505578
10/2021,17333.398001746045
11/2021,16977.398389756523
12/2021,17905.713454263263
01/2022,17054.030458822388
02/2022,16466.194587253856
03/2022,16681.540401590843
04/2022,16710.641187312056
05/2022,16386.652439615867
06/2022,15266.272189349113
07/2022,16387.622465806577
08/2022,15434.086720341451
09/2022,14536.812493937337
10/2022,15396.25569890387
11/2022,16339.12115627122
12/2022,15792.026384712386
01/2023,16944.41749927248
02/2023,17101.56174216704
03/2023,17333.398001746045
04/2023,17700.06790183335
05/2023,17432.340673198174
06/2023,17774.7599185178
07/2023,18077.40809001843
08/2023,17704.918032786885
09/2023,17391.599573188476
10/2023,16811.5239111456
11/2023,18058.007566204287
12/2023,18775.826947327576
01/2024,19416.044233194294
02/2024,19830.245416626247
03/2024,20606.266369191966
04/2024,20365.699873896596
05/2024,21198.952371714036
06/2024,21258.123969347173
07/2024,21366.76690270637
08/2024,21704.33601707246
09/2024,21537.49151227083
