Date,STOXX Europe 600 Technology
12/1986,10000
01/1987,9563.751735078326
02/1987,9676.779694626215
03/1987,10167.558992663098
04/1987,10690.065437239738
05/1987,10383.7001784652
06/1987,10743.60499702558
07/1987,10841.760856632956
08/1987,10496.728138013088
09/1987,10390.640491770771
10/1987,7682.926829268293
11/1987,6437.636327582789
12/1987,6265.119968272854
01/1988,5857.624429902836
02/1988,6624.033313503866
03/1988,6771.7628395796155
04/1988,6975.0148720999405
05/1988,7058.298631766806
06/1988,7759.270275629586
07/1988,7815.78425540353
08/1988,7723.577235772358
09/1988,8167.757287328971
10/1988,8447.35276621059
11/1988,8110.251834225659
12/1988,8568.312512393417
01/1989,8917.311124330756
02/1989,8693.238151893715
03/1989,9221.69343644656
04/1989,9415.03073567321
05/1989,9864.16815387666
06/1989,9976.204640095182
07/1989,10475.90719809637
08/1989,10813.008130081302
09/1989,11009.319849296055
10/1989,10195.320245885387
11/1989,11043.029942494548
12/1989,11685.504659924649
01/1990,11487.20999405116
02/1990,11270.077334919692
03/1990,11908.586159032322
04/1990,11683.521713265913
05/1990,12105.889351576443
06/1990,12294.269284156257
07/1990,12143.565338092405
08/1990,10454.094784850287
09/1990,8753.71802498513
10/1990,9724.370414435853
11/1990,9552.845528455284
12/1990,9391.235375768392
01/1991,9657.941701368234
02/1991,10459.052151497124
03/1991,10627.602617489589
04/1991,10490.779298036883
05/1991,11031.132262542138
06/1991,10730.715843743803
07/1991,10872.496529843347
08/1991,11071.782669046202
09/1991,10784.255403529645
10/1991,10640.491770771367
11/1991,9950.426333531628
12/1991,9914.7332936744
01/1992,10447.154471544716
02/1992,10932.97640293476
03/1992,10967.677969462622
04/1992,11583.382906999801
05/1992,11846.123339282174
06/1992,10960.737656157049
07/1992,10123.93416617093
08/1992,9673.80527463811
09/1992,9584.572674995043
10/1992,9382.312115804085
11/1992,9924.648026968074
12/1992,10236.962125718817
01/1993,10317.27146539758
02/1993,11185.802101923458
03/1993,11597.263533610945
04/1993,11540.749553837002
05/1993,11773.74578623835
06/1993,12406.305770374776
07/1993,13376.958159825499
08/1993,14194.923656553636
09/1993,14105.69105691057
10/1993,14926.63097362681
11/1993,14397.184215744597
12/1993,15599.841364267302
01/1994,15972.635336109459
02/1994,15280.586952210986
03/1994,15346.024191949236
04/1994,16253.222288320445
05/1994,15235.97065238945
06/1994,14835.415427325004
07/1994,15934.959349593497
08/1994,16086.654768986715
09/1994,14873.091413840968
10/1994,15378.742811818365
11/1994,14945.468966884791
12/1994,15228.038865754512
01/1995,15127.900059488402
02/1995,15133.848899464601
03/1995,15065.43723973825
04/1995,15918.10430299425
05/1995,16834.225659329764
06/1995,17482.649216736074
07/1995,18781.479278207415
08/1995,19339.678762641284
09/1995,19707.515367836604
10/1995,18339.282173309537
11/1995,18975.808050763433
12/1995,18374.975213166766
01/1996,19608.36803489986
02/1996,19624.23160816974
