Date,STOXX Europe Select Dividend 30
12/1998,10000
01/1999,10891.8
02/1999,11383.5
03/1999,12239.5
04/1999,13300.7
05/1999,12938.800000000001
06/1999,13553.5
07/1999,13807.3
08/1999,14507.4
09/1999,14162.1
10/1999,13477.8
11/1999,14157.8
12/1999,14815.2
01/2000,14038
02/2000,13830.7
03/2000,14761.6
04/2000,15500.9
05/2000,15573.800000000001
06/2000,16192.3
07/2000,16239.1
08/2000,16829
09/2000,17028
10/2000,18068
11/2000,18280.4
12/2000,18023.4
01/2001,18204.5
02/2001,18596.9
03/2001,18303
04/2001,18951.8
05/2001,20637.399999999998
06/2001,20677.800000000003
07/2001,20312.4
08/2001,19999.9
09/2001,18450.9
10/2001,19141.7
11/2001,19838.9
12/2001,20858.7
01/2002,21235.5
02/2002,21708.2
03/2002,22848.5
04/2002,23208.2
05/2002,22975.7
06/2002,21743.7
07/2002,20385.6
08/2002,20709.4
09/2002,19236.8
10/2002,19684.7
11/2002,19946.7
12/2002,19181.8
01/2003,18677.7
02/2003,17916.3
03/2003,17605.3
04/2003,19182.6
05/2003,19783.3
06/2003,20575.4
07/2003,21376.7
08/2003,21835.7
09/2003,21257.9
10/2003,22730.5
11/2003,22994.899999999998
12/2003,23673.7
01/2004,24510.7
02/2004,25042
03/2004,25201.4
04/2004,25273.4
05/2004,25439
06/2004,26025.5
07/2004,25980
08/2004,26437.199999999997
09/2004,26767.7
10/2004,27528.5
11/2004,28614.5
12/2004,30175.300000000003
01/2005,31153.3
02/2005,31686.2
03/2005,31616.8
04/2005,30939.699
05/2005,32324.6
06/2005,33848.7
07/2005,34236
08/2005,34243.8
09/2005,35995.6
10/2005,35507.1
11/2005,37049.8
12/2005,38752.1
01/2006,39997.9
02/2006,41971.8
03/2006,42599.399
04/2006,42084
05/2006,40605
06/2006,40795.6
07/2006,41204.7
08/2006,42321.3
09/2006,43881.5
10/2006,46412.700000000004
11/2006,45977.5
12/2006,48698.6
01/2007,49582.9
02/2007,49560.9
03/2007,50409.9
04/2007,51502.8
05/2007,53058.9
06/2007,51675.200000000004
07/2007,49396.899
08/2007,50189.1
09/2007,48956.8
10/2007,50016.8
11/2007,47649.799
12/2007,46403.7
01/2008,41678.6
02/2008,40618.9
03/2008,38544.2
04/2008,38388.2
05/2008,35900.9
06/2008,28534.1
07/2008,27256.3
08/2008,28807.1
09/2008,26645.100000000002
10/2008,22879.1
11/2008,20315
12/2008,18873.6
01/2009,18350
02/2009,16847.1
03/2009,16606.099
04/2009,19510.8
05/2009,19965.3
06/2009,19949
07/2009,21656.5
08/2009,23322.7
09/2009,24381.9
10/2009,23763.8
11/2009,24138
12/2009,25666.2
01/2010,24999.4
02/2010,24547
03/2010,25853.2
04/2010,25729.8
05/2010,24816.7
06/2010,25628.3
07/2010,26542.600000000002
08/2010,26079.8
09/2010,26086.9
10/2010,27001.8
11/2010,26518.5
12/2010,27809.1
01/2011,28423.4
02/2011,29206.5
03/2011,27827.9
04/2011,28861.5
05/2011,28863
06/2011,27924.3
07/2011,27839.1
08/2011,25460.300000000003
09/2011,24972.199
10/2011,25766
11/2011,25736.1
12/2011,25820.6
01/2012,26002.800000000003
02/2012,26722.399
03/2012,26912.1
04/2012,26044.5
05/2012,24997.399
06/2012,26695.8
07/2012,27283.9
08/2012,27879.2
09/2012,27930.6
10/2012,27628.6
11/2012,27260.2
12/2012,27816.2
01/2013,27758.7
02/2013,27692.800000000003
03/2013,28000.2
04/2013,28525.4
05/2013,28305.4
06/2013,27380
07/2013,28591.6
08/2013,28397.1
09/2013,30209.699
10/2013,31094.2
11/2013,31398.8
12/2013,31554.4
01/2014,31657.1
02/2014,33090.3
03/2014,33243.1
04/2014,34185.7
05/2014,35519.9
06/2014,35978.5
07/2014,35099.6
08/2014,35816.4
09/2014,35291.8
10/2014,35211.7
11/2014,35683.6
12/2014,36157.6
01/2015,39144
02/2015,41147.2
03/2015,40926.6
04/2015,40520.8
05/2015,40611
06/2015,39285.2
07/2015,40685.4
08/2015,37544.4
09/2015,36792.1
10/2015,39616.7
11/2015,40580.1
12/2015,39006.5
01/2016,37045.7
02/2016,36761.8
03/2016,37218.2
04/2016,38321.3
05/2016,39116.6
06/2016,37691.5
07/2016,38261.6
08/2016,38326.7
09/2016,38154.4
10/2016,38232.1
11/2016,39020.5
12/2016,41311.5
01/2017,40198.8
02/2017,41456.5
03/2017,42257.4
04/2017,42619.2
05/2017,44093.4
06/2017,42522
07/2017,42078.6
08/2017,41417.2
09/2017,43313.8
10/2017,44049.7
11/2017,43320.5
12/2017,43339.1
01/2018,44263.3
02/2018,43353
03/2018,42725.7
04/2018,45351.8
05/2018,44585.600000000006
06/2018,44289.799
07/2018,45332.9
08/2018,44259.9
09/2018,44560.9
10/2018,43416.2
11/2018,43721.2
12/2018,41458.8
01/2019,43959.5
02/2019,44918.2
03/2019,45511.4
04/2019,47051.5
05/2019,44426.899
06/2019,45368.8
07/2019,45728.9
08/2019,45706.1
09/2019,48644.399
10/2019,49906.2
11/2019,50473.8
12/2019,52203
01/2020,52561
02/2020,47848
03/2020,37470.8
04/2020,37838.1
05/2020,38255.1
06/2020,39992.9
07/2020,39038.1
08/2020,40489.3
09/2020,38510.8
10/2020,37388.3
11/2020,46133.5
12/2020,47072.4
01/2021,46904.5
02/2021,49218.3
03/2021,53343.8
04/2021,53368.5
05/2021,55074.2
06/2021,54731.6
07/2021,55735.8
08/2021,56834.1
09/2021,55092.4
10/2021,56401.899
11/2021,55846.1
12/2021,58413.100000000006
01/2022,59203.5
02/2022,56399.1
03/2022,56007.4
04/2022,55498.4
05/2022,55799.5
06/2022,49185.7
07/2022,51938.4
08/2022,50011.8
09/2022,46941.3
10/2022,50023.8
11/2022,52887.6
12/2022,52218.9
01/2023,55808.8
02/2023,56671.2
03/2023,52675.5
04/2023,53842.2
05/2023,52331.2
06/2023,52953.2
07/2023,54937.6
08/2023,53291.8
09/2023,53503.2
10/2023,51270.4
11/2023,54682.2
12/2023,57610
01/2024,56531.2
02/2024,54271.7
03/2024,57949
04/2024,59025.5
05/2024,61470.9
06/2024,59535.1
07/2024,61861.3
08/2024,61424.7
09/2024,61395.8
