Date,STOXX Global Ageing Population
06/2011,10000
07/2011,9854.138763698931
08/2011,8954.824076880212
09/2011,8613.536157358074
10/2011,9154.161249010158
11/2011,9047.013852906959
12/2011,9476.09224843336
01/2012,10051.325166928997
02/2012,10285.465690347935
03/2012,10542.189287215635
04/2012,10629.0999032154
05/2012,10416.467068795277
06/2012,10850.629099903215
07/2012,11206.385828388195
08/2012,11349.705246898493
09/2012,11647.0979284185
10/2012,11558.427592409742
11/2012,11744.860151140394
12/2012,12008.03605470774
01/2013,12475.828290432013
02/2013,13009.610026493563
03/2013,13701.766563364585
04/2013,13843.130737420446
05/2013,14064.366647440098
06/2013,13831.888081807429
07/2013,14334.77695548886
08/2013,13920.460655593466
09/2013,14435.276520446969
10/2013,14849.299533674197
11/2013,15173.28353977456
12/2013,15249.04926238403
01/2014,15392.857492007939
02/2014,15646.64822219398
03/2014,15612.13815757315
04/2014,15348.375680669476
05/2014,15908.455454643217
06/2014,16162.34394705198
07/2014,16614.98303825436
08/2014,17335.58838193745
09/2014,17311.34335070242
10/2014,17903.098084838057
11/2014,18303.04333799333
12/2014,18931.752192317846
01/2015,20437.77923334865
02/2015,21754.92966008075
03/2015,23011.271984279836
04/2015,22340.13432529402
05/2015,23001.300237562205
06/2015,22615.43274447888
07/2015,23202.983703037473
08/2015,21242.460088572574
09/2015,20449.999511188886
10/2015,22011.55549472573
11/2015,22881.443752505158
12/2015,22206.200080165025
01/2016,20338.452815063203
02/2016,19950.825601970886
03/2016,20614.63109425256
04/2016,20911.828251327122
05/2016,21696.56561311578
06/2016,21202.182052811153
07/2016,21995.229203531173
08/2016,21841.44922718963
09/2016,22132.878413123603
10/2016,22038.146819306086
11/2016,23185.38650294753
12/2016,23461.66254435961
01/2017,23594.91245392955
02/2017,24723.57731525384
03/2017,24607.631319105672
04/2017,24617.505303600585
05/2017,24049.212525295974
06/2017,24408.391909198446
07/2017,24228.50941939016
08/2017,24224.305643813117
09/2017,24339.46954217951
10/2017,25023.023003451006
11/2017,24933.57056966047
12/2017,25089.599077124618
01/2018,25739.717858225224
02/2018,25280.03988698687
03/2018,24581.039994525316
04/2018,25297.53932485409
05/2018,26073.47808659778
06/2018,25284.243662563913
07/2018,25846.27868099209
08/2018,26064.679486552806
09/2018,26315.439587834473
10/2018,24694.443195260486
11/2018,25342.216660637998
12/2018,23003.54876868481
01/2019,24730.22514639893
02/2019,25503.328803683682
03/2019,25454.447692322734
04/2019,25895.844127912093
05/2019,24814.59394460793
06/2019,25565.505577334807
07/2019,26092.63850462904
08/2019,25109.932641828545
09/2019,25671.675351210786
10/2019,26167.329820410796
11/2019,27698.090703790243
12/2019,28230.01495762008
01/2020,27610.20148794103
02/2020,25605.099277537174
03/2020,20933.726989216826
04/2020,23382.475143954875
05/2020,24637.155510367684
06/2020,24842.944989197276
07/2020,24422.95848038401
08/2020,24980.985247680594
09/2020,24922.425676270177
10/2020,24940.413925251003
11/2020,27851.284106795454
12/2020,29112.51454213063
01/2021,29261.797456226966
02/2021,30477.177409105574
03/2021,31896.19607191389
04/2021,32645.543509077226
05/2021,32550.714153036984
06/2021,33182.942447379486
07/2021,32325.07894299485
08/2021,33309.54452580434
09/2021,32821.22222330847
10/2021,33214.12859642777
11/2021,31653.06142400454
12/2021,32906.1775948538
01/2022,31224.374077369022
02/2022,30879.957766719785
03/2022,32028.957170370228
04/2022,30933.92251366227
05/2022,30141.26641183314
06/2022,28969.58617251122
07/2022,31314.41308449589
08/2022,31480.217814232226
09/2022,29953.856230875266
10/2022,31390.863142664413
11/2022,32061.02220180078
12/2022,30260.536323553853
01/2023,31733.421971081934
02/2023,31464.86914526489
03/2023,29656.95236046887
04/2023,30186.823607621547
05/2023,30072.73509370509
06/2023,30803.703232996704
07/2023,31531.738505606663
08/2023,30544.633342783683
09/2023,29931.468681871953
10/2023,28349.578156008956
11/2023,29591.256146799755
12/2023,31664.59736628572
01/2024,31897.564743032
02/2024,32871.96081690113
03/2024,33838.24262628435
04/2024,32572.906177594854
05/2024,33445.82506427866
06/2024,33757.68655476151
07/2024,35351.89512068746
08/2024,35470.969507962734
09/2024,35717.330309221914
