Date,STOXX Global Breakthrough Healthcare
06/2011,10000
07/2011,9942.419732913151
08/2011,9249.70577650686
09/2011,9125.596957583184
10/2011,9312.149241827394
11/2011,9185.803351716222
12/2011,9605.011039459989
01/2012,10217.774016904476
02/2012,10237.421337768568
03/2012,10499.547722564266
04/2012,10377.189655004717
05/2012,10636.981704648242
06/2012,11042.183381478995
07/2012,11447.77411416844
08/2012,11508.661356054194
09/2012,11821.365002480232
10/2012,11278.923871494846
11/2012,11379.397547002809
12/2012,11272.018130003014
01/2013,11556.028906850299
02/2013,12033.303181504283
03/2013,12642.272864326495
04/2013,12603.853598280371
05/2013,12721.73752346493
06/2013,12377.131296625912
07/2013,13253.576882300877
08/2013,12689.154095299229
09/2013,13100.969721727795
10/2013,13280.129944656801
11/2013,13823.446451324247
12/2013,13881.70756616381
01/2014,14807.757773822375
02/2014,15264.99567175357
03/2014,14457.607500996954
04/2014,14074.679272076486
05/2014,14564.889654032077
06/2014,15033.60469979477
07/2014,15210.819643430303
08/2014,16040.189470203184
09/2014,16489.743514925154
10/2014,17075.758902084366
11/2014,17384.7665178528
12/2014,17805.62769299602
01/2015,19962.55337360061
02/2015,21224.845107136254
03/2015,22870.74591734508
04/2015,22262.748874169607
05/2015,23584.17709822688
06/2015,23880.73492651707
07/2015,24578.1175532277
08/2015,23115.46205246418
09/2015,21713.596529621736
10/2015,23447.423963895613
11/2015,25832.141849766078
12/2015,25309.931623432833
01/2016,23214.86582436073
02/2016,22531.975528386487
03/2016,22597.8232324706
04/2016,23049.030764592022
05/2016,24310.836178304293
06/2016,24141.985935630706
07/2016,25676.033186464745
08/2016,24865.629832803246
09/2016,25480.046297647183
10/2016,23524.067968058513
11/2016,24316.86654411407
12/2016,24322.313326135798
01/2017,24371.72342019005
02/2017,26128.991469950295
03/2017,26096.21351385525
04/2017,26490.327098713195
05/2017,26191.823991129524
06/2017,26857.304037427173
07/2017,25723.984321048894
08/2017,26569.790785211982
09/2017,26937.255016388975
10/2017,28332.11753377491
11/2017,28674.292161497084
12/2017,28934.37600303463
01/2018,31787.906198632467
02/2018,31198.000252886304
03/2018,31268.127571416062
04/2018,30891.716028128736
05/2018,32698.199644013886
06/2018,31905.10927606431
07/2018,32287.259393267384
08/2018,34430.37359088831
09/2018,35292.91042961493
10/2018,31062.5115500958
11/2018,32532.94816803322
12/2018,29752.46320990536
01/2019,31646.09533813817
02/2019,32943.20757102701
03/2019,33319.52185034966
04/2019,31990.312509118492
05/2019,30795.61923103109
06/2019,31948.002684485422
07/2019,32578.175911606504
08/2019,30892.202347952105
09/2019,29835.4283991324
10/2019,30786.37818174744
11/2019,33621.42919669691
12/2019,34185.07387198116
01/2020,33824.41909097098
02/2020,32612.80188303035
03/2020,30863.509478373355
04/2020,35010.74766809645
05/2020,38100.14297802807
06/2020,38871.73800978475
07/2020,39161.58462451246
08/2020,39857.41102778831
09/2020,41502.82551817377
10/2020,41687.724315018524
11/2020,44915.52624668086
12/2020,47742.98969974613
01/2021,49433.72919766955
02/2021,48023.10991800647
03/2021,47445.65375973855
04/2021,49337.63240057191
05/2021,47285.849065779614
06/2021,51134.29235602502
07/2021,49876.376528260036
08/2021,51168.237479696145
09/2021,49527.49165961502
10/2021,49725.13203583204
11/2021,47538.34631807262
12/2021,48451.65494635892
01/2022,41888.8661939638
02/2022,41411.202863451115
03/2022,42723.6828027584
04/2022,39793.508602997674
05/2022,38047.425909174905
06/2022,38954.50964372209
07/2022,42786.32079600828
08/2022,41285.82961298668
09/2022,39749.3507630358
10/2022,41830.21505062589
11/2022,42674.27270870415
12/2022,39574.275626623086
01/2023,40446.830653711106
02/2023,39443.1638022429
03/2023,38875.044984583656
04/2023,38944.685983290045
05/2023,39984.340501687526
06/2023,39423.80827327283
07/2023,40048.04839854882
08/2023,38905.78039742055
09/2023,36669.098265783505
10/2023,33368.34836061587
11/2023,35818.81668660577
12/2023,39058.58208592298
01/2024,38822.42517969517
02/2024,40420.27661871553
03/2024,41256.455895655214
04/2024,39006.35133689319
05/2024,39307.577835487726
06/2024,39713.849415929886
07/2024,41971.247799402794
08/2024,42075.418478208005
09/2024,41578.205090795906
