Date,STOXX Global Digitalisation
06/2011,10000
07/2011,9751.667866570675
08/2011,9092.200623950084
09/2011,8847.612191024718
10/2011,9581.089512838973
11/2011,9530.981521478281
12/2011,9605.75953923686
01/2012,10069.49844012479
02/2012,10683.177345812335
03/2012,11023.470122390207
04/2012,11089.224862011039
05/2012,10688.552915766739
06/2012,10918.358531317495
07/2012,11096.808255339572
08/2012,11268.922486201103
09/2012,11430.477561795056
10/2012,11037.86897048236
11/2012,11195.488360931125
12/2012,11323.446124310054
01/2013,11650.011999040078
02/2013,12202.639788816894
03/2013,12728.29373650108
04/2013,12679.433645308378
05/2013,13051.691864650827
06/2013,12907.89536837053
07/2013,13720.47036237101
08/2013,13869.546436285096
09/2013,14503.287736981043
10/2013,14681.449484041277
11/2013,15001.487880969522
12/2013,15357.235421166306
01/2014,15261.819054475642
02/2014,15706.167506599471
03/2014,15207.583393328534
04/2014,14613.006959443244
05/2014,15131.557475401967
06/2014,15562.371010319175
07/2014,15689.560835133188
08/2014,16329.445644348452
09/2014,16461.243100551957
10/2014,16767.938564914806
11/2014,17324.790016798655
12/2014,17508.327333813297
01/2015,18754.499640028796
02/2015,20025.62994960403
03/2015,20619.726421886247
04/2015,20116.24670026398
05/2015,20740.67674586033
06/2015,20206.479481641472
07/2015,20421.982241420686
08/2015,18948.788096952245
09/2015,18606.95944324454
10/2015,19993.760499160067
11/2015,20902.23182145428
12/2015,20033.117350611952
01/2016,18531.22150227982
02/2016,18134.485241180704
03/2016,18930.549556035516
04/2016,19167.74658027358
05/2016,20077.46580273578
06/2016,19639.4528437725
07/2016,20857.59539236861
08/2016,21227.933765298778
09/2016,21641.27669786417
10/2016,21527.14182865371
11/2016,21527.42980561555
12/2016,21414.15886729062
01/2017,21768.658507319415
02/2017,22642.284617230624
03/2017,23178.113750899927
04/2017,23143.74850011999
05/2017,23113.0309575234
06/2017,22682.60139188865
07/2017,22672.330213582914
08/2017,22559.635229181666
09/2017,23055.147588192944
10/2017,24023.326133909286
11/2017,23776.52987760979
12/2017,24060.186225101992
01/2018,24938.13294936405
02/2018,25390.83273338133
03/2018,25131.17350611951
04/2018,25897.576193904486
05/2018,27296.088312934964
06/2018,27671.610271178306
07/2018,27729.397648188144
08/2018,29142.596592272617
09/2018,28594.384449244062
10/2018,26356.323494120472
11/2018,26601.00791936645
12/2018,24230.95752339813
01/2019,26481.497480201582
02/2019,28057.30741540677
03/2019,29056.011519078475
04/2019,30398.94408447324
05/2019,29322.67818574514
06/2019,29939.236861051115
07/2019,31031.341492680585
08/2019,29672.37820974322
09/2019,29820.782337413006
10/2019,29914.56683465323
11/2019,31080.105591552674
12/2019,31027.597792176624
01/2020,31686.48908087353
02/2020,29177.633789296855
03/2020,24644.972402207823
04/2020,28940.340772738182
05/2020,32339.908807295415
06/2020,33504.10367170627
07/2020,34786.75305975522
08/2020,36869.402447804176
09/2020,36353.73170146388
10/2020,35323.7341012719
11/2020,39026.63786897048
12/2020,40550.32397408207
01/2021,40518.070554355654
02/2021,41872.71418286537
03/2021,42778.97768178546
04/2021,43693.30453563715
05/2021,42694.600431965446
06/2021,46435.22918166547
07/2021,45903.43172546196
08/2021,47298.58411327094
09/2021,45223.80513558915
10/2021,46411.61507079434
11/2021,44687.20902327814
12/2021,44007.29541636669
01/2022,39632.15742740581
02/2022,37901.60787137029
03/2022,38097.33621310295
04/2022,35540.96472282217
05/2022,33472.426205903525
06/2022,31131.269498440124
07/2022,35175.13798896088
08/2022,34551.859851211906
09/2022,31369.714422846173
10/2022,32587.185025197985
11/2022,33134.05327573794
12/2022,30099.160067194625
01/2023,33644.8284137269
02/2023,32768.322534197265
03/2023,32850.58795296376
04/2023,32187.377009839212
05/2023,33493.448524118074
06/2023,34753.25173986081
07/2023,36683.08135349172
08/2023,35637.14902807775
09/2023,34250.25197984161
10/2023,32457.59539236861
11/2023,36334.05327573794
12/2023,38084.66522678186
01/2024,38838.97288216943
02/2024,40294.59947204224
03/2024,41278.2337413007
04/2024,39407.05447564195
05/2024,39710.199184065284
06/2024,41325.653947684186
07/2024,41335.82913366931
08/2024,42735.97312215024
09/2024,43742.83657307416
