Date,STOXX Global Electric Vehicles & Driving Technology
06/2012,10000
07/2012,10231.861626750018
08/2012,10524.326877657062
09/2012,10327.138966220766
10/2012,10294.877335450607
11/2012,10740.610458396566
12/2012,11444.939145117036
01/2013,11502.829174162554
02/2013,12048.764309189037
03/2013,12700.831164132303
04/2013,12833.09379993769
05/2013,14769.796681373682
06/2013,14534.216424285672
07/2013,15551.01056292023
08/2013,15579.553563352396
09/2013,16339.159187529523
10/2013,16572.729374164563
11/2013,16946.099960803625
12/2013,17048.010532769174
01/2014,17208.816169006725
02/2014,18319.279590749655
03/2014,18275.76156544287
04/2014,18315.05844279842
05/2014,18947.22560025729
06/2014,19485.321460517192
07/2014,19324.314817234343
08/2014,19945.02457311129
09/2014,19312.15389099388
10/2014,19570.146433632497
11/2014,20161.207650328142
12/2014,20735.585282264143
01/2015,22314.093608980995
02/2015,23989.88934562156
03/2015,24752.0075578649
04/2015,24216.926803284456
05/2015,25011.909667433843
06/2015,23595.513522748974
07/2015,22677.51434687786
08/2015,20795.48538176263
09/2015,20576.38770238897
10/2015,23110.785033015407
11/2015,24360.144323058525
12/2015,23742.248665815736
01/2016,21301.319611252373
02/2016,20534.477733444557
03/2016,21171.46905999055
04/2016,21296.093428074655
05/2016,22345.450708047316
06/2016,20860.61166443884
07/2016,22906.260364425772
08/2016,23223.851495994935
09/2016,23302.34474718339
10/2016,24064.462959426728
11/2016,24754.419642408466
12/2016,26044.58336264686
01/2017,26688.207921687655
02/2017,27793.043146162272
03/2017,28516.5680057086
04/2017,28135.25764078031
05/2017,28231.238504909597
06/2017,27739.37426506799
07/2017,27846.71202725655
08/2017,27860.2800028141
09/2017,29713.16294636127
10/2017,31221.921828360082
11/2017,31198.102493492395
12/2017,31404.93874310295
01/2018,32041.025537945105
02/2018,31259.811656398557
03/2018,30044.824571101217
04/2018,30679.20280605835
05/2018,31504.93974813817
06/2018,29888.94360747344
07/2018,30417.592136604388
08/2018,30100.70452969376
09/2018,29433.56214635323
10/2018,26532.92997919577
11/2018,26301.670368546416
12/2018,24406.074432908874
01/2019,26166.39363209681
02/2019,26761.67599674369
03/2019,25830.309852360326
04/2019,27758.670941416498
05/2019,23960.240806440266
06/2019,25843.57631734992
07/2019,26139.25768098172
08/2019,24821.254484969697
09/2019,26824.288686318454
10/2019,27506.407099568838
11/2019,28222.49469843918
12/2019,28609.634267681082
01/2020,27363.89310445331
02/2020,25018.743906973938
03/2020,19473.66305188997
04/2020,22539.824520849455
05/2020,23917.124795224074
06/2020,24521.65348395461
07/2020,24429.391250163317
08/2020,27249.218585111408
09/2020,27924.601252273893
10/2020,28493.251188454156
11/2020,33294.60597593946
12/2020,34973.31631473683
01/2021,36755.54528186213
02/2021,37423.29068633856
03/2021,39089.63909185017
04/2021,37913.34586277249
05/2021,39365.11924742962
06/2021,41364.535321963034
07/2021,40909.0543623554
08/2021,40765.635835536035
09/2021,40153.56938260686
10/2021,42763.94737635554
11/2021,43221.337902893494
12/2021,44007.67846913034
01/2022,41532.87872239922
02/2022,39827.33494808993
03/2022,38740.18834360144
04/2022,37100.875385682266
05/2022,37591.3325762068
06/2022,34487.78379682208
07/2022,39326.123880642015
08/2022,38120.383119428334
09/2022,34354.616629312855
10/2022,36227.70078091237
11/2022,38372.74746479864
12/2022,33975.91935597343
01/2023,38414.355923175106
02/2023,39528.23646468809
03/2023,40049.24672609775
04/2023,36870.72231881727
05/2023,39551.251771374584
06/2023,42072.78465110202
07/2023,45112.312686559664
08/2023,42110.071458004604
09/2023,40941.01448255761
10/2023,35785.18377069116
11/2023,38850.440707946815
12/2023,41507.854350294976
01/2024,39529.74401752782
02/2024,42438.5169700198
03/2024,43785.36467703193
04/2024,42114.79512356908
05/2024,43489.28129930954
06/2024,43565.86498356768
07/2024,42857.616659463914
08/2024,41373.581644036625
09/2024,42292.585855134224
