Date,STOXX Global Select Dividend 100
12/1998,10000
01/1999,10472.9
02/1999,10922.6
03/1999,11855.8
04/1999,13286
05/1999,12952.9
06/1999,13729
07/1999,13558.4
08/1999,13984.8
09/1999,13564.8
10/1999,13503.599999999999
11/1999,14112.8
12/1999,14617.6
01/2000,14195.3
02/2000,13431.199999999999
03/2000,14494.6
04/2000,15410
05/2000,15524.3
06/2000,15652.2
07/2000,16180.6
08/2000,17362
09/2000,17502.3
10/2000,18467.6
11/2000,18390.1
12/2000,18184.9
01/2001,18465.5
02/2001,18736.9
03/2001,18638.4
04/2001,19424.3
05/2001,21122.9
06/2001,21422.5
07/2001,20861
08/2001,20159.3
09/2001,18866.7
10/2001,19499
11/2001,20205.2
12/2001,20673.5
01/2002,21592.199999999997
02/2002,21942.1
03/2002,22869.8
04/2002,22875.8
05/2002,22826.4
06/2002,21313.6
07/2002,20362.1
08/2002,20736.9
09/2002,19413
10/2002,19698.7
11/2002,19903.1
12/2002,19113
01/2003,18613.9
02/2003,18341.6
03/2003,18195.9
04/2003,19131
05/2003,19527.2
06/2003,20364.5
07/2003,21055
08/2003,21986.7
09/2003,21412.3
10/2003,23212.9
11/2003,22949.6
12/2003,23292.800000000003
01/2004,24137.199999999997
02/2004,24888.6
03/2004,25290.5
04/2004,24899.6
05/2004,24836.5
06/2004,25291.7
07/2004,25547
08/2004,26059.8
09/2004,26299.899999999998
10/2004,26700.2
11/2004,26996
12/2004,27712.7
01/2005,28577.600000000002
02/2005,28997.3
03/2005,29130.7
04/2005,29194.1
05/2005,30591.8
06/2005,31977.800000000003
07/2005,32681.5
08/2005,32329.1
09/2005,33750.4
10/2005,33029.2
11/2005,34311.9
12/2005,35263.6
01/2006,35890
02/2006,37418
03/2006,37181.7
04/2006,37348.7
05/2006,35736
06/2006,36245.8
07/2006,37136.2
08/2006,37972.5
09/2006,39121.4
10/2006,40685.8
11/2006,40142.7
12/2006,42278.8
01/2007,43380.7
02/2007,42782.6
03/2007,43476.7
04/2007,43688.4
05/2007,45215.9
06/2007,44159.7
07/2007,42459.5
08/2007,42484.7
09/2007,42461.4
10/2007,43187
11/2007,40571
12/2007,39778.5
01/2008,36933
02/2008,35554.8
03/2008,33620.2
04/2008,35085.1
05/2008,33887.2
06/2008,27881.3
07/2008,27445.4
08/2008,28652.199
09/2008,27265
10/2008,23211.8
11/2008,21315.6
12/2008,19454.8
01/2009,18680.9
02/2009,16895.6
03/2009,17609.9
04/2009,20155.1
05/2009,21237.199
06/2009,21469.2
07/2009,23735.7
08/2009,24534.1
09/2009,25805
10/2009,25104.699
11/2009,25513.7
12/2009,27363.4
01/2010,27108.5
02/2010,27946
03/2010,29764.899
04/2010,30238.8
05/2010,30024.1
06/2010,30462.9
07/2010,31027.3
08/2010,31279.6
09/2010,31167.600000000002
10/2010,31703.3
11/2010,32546.6
12/2010,33511
01/2011,33123.1
02/2011,33809.8
03/2011,33027.1
04/2011,33282.8
05/2011,34101
06/2011,33398.4
07/2011,33387.9
08/2011,32059.8
09/2011,32138
10/2011,32894.899
11/2011,33292.3
12/2011,34509.6
01/2012,34692.1
02/2012,35103.7
03/2012,35385.7
04/2012,35586.7
05/2012,35321.4
06/2012,36720
07/2012,38801.5
08/2012,38488.7
09/2012,38684
10/2012,38516.1
11/2012,38168.3
12/2012,38304.2
01/2013,38645.2
02/2013,40168.4
03/2013,41428.5
04/2013,42007.4
05/2013,40922.5
06/2013,39662.6
07/2013,40283.1
08/2013,39810.9
09/2013,41266.5
10/2013,42664.5
11/2013,42302
12/2013,42210
01/2014,42060.5
02/2014,43161.1
03/2014,44210.4
04/2014,45323.100000000006
05/2014,46913
06/2014,47621.899
07/2014,47955.200000000004
08/2014,49547.5
09/2014,49031.2
10/2014,50224.5
11/2014,50528.3
12/2014,51486.4
01/2015,54815.600000000006
02/2015,56384.799
03/2015,57218.5
04/2015,56765.7
05/2015,56783
06/2015,54502.5
07/2015,55134.1
08/2015,50409.3
09/2015,49814.1
10/2015,53636.8
11/2015,55232.2
12/2015,53353.2
01/2016,51596.8
02/2016,52273.8
03/2016,53309.5
04/2016,54012.299
05/2016,54743
06/2016,55036.6
07/2016,56820.600000000006
08/2016,56856.5
09/2016,56855.5
10/2016,56976
11/2016,59111.3
12/2016,60605.600000000006
01/2017,60686.5
02/2017,63207
