Date,SXI Real Estate Funds Broad
01/1999,10000
02/1999,10351.522124323328
03/1999,10283.377482620956
04/1999,10378.375509894668
05/1999,10503.532165478651
06/1999,10389.555288420133
07/1999,10390.461033525276
08/1999,10294.757056617216
09/1999,10132.56199529299
10/1999,9475.578985402892
11/1999,9524.035757003274
12/1999,9570.094886125255
01/2000,9597.801115943328
02/2000,9271.650844708938
03/2000,9395.675949376544
04/2000,9278.85041175899
05/2000,9271.565765235484
06/2000,9278.304826468375
07/2000,9209.065470849633
08/2000,9631.570390060584
09/2000,9614.350297959758
10/2000,9579.17980991497
11/2000,9649.583750542206
12/2000,9673.455368500969
01/2001,10067.219029633636
02/2001,9865.03764505141
03/2001,9817.242798331443
04/2001,9859.06852646053
05/2001,10064.541838891797
06/2001,9958.689911777667
07/2001,10122.376947405548
08/2001,10171.046936022667
09/2001,10308.691058741435
10/2001,10366.305364539421
11/2001,10484.525553314566
12/2001,10297.11378641298
01/2002,10459.701661705078
02/2002,10482.85970906333
03/2002,10709.109040545643
04/2002,10756.49169413358
05/2002,10910.857274592308
06/2002,10983.842651182415
07/2002,11189.34227148934
08/2002,11106.159939294523
09/2002,11113.400319360775
10/2002,11465.593550159865
11/2002,11079.715493728905
12/2002,11325.601632180136
01/2003,11585.492597351758
02/2003,12028.478174673639
03/2003,11767.616328939217
04/2003,11373.431394998877
05/2003,11603.445154024366
06/2003,11216.84365057473
07/2003,11251.305668301331
08/2003,11475.902359876514
09/2003,11411.30668908504
10/2003,11621.723960574827
11/2003,11834.322009883894
12/2003,11901.701036198669
01/2004,12092.400281275171
02/2004,11882.543800207517
03/2004,11997.268331281195
04/2004,11803.836610566243
05/2004,12053.07198170307
06/2004,12058.943054998945
07/2004,11965.05723767968
08/2004,11978.637656802606
09/2004,12056.845548636287
10/2004,12608.492579272961
11/2004,12792.495205622608
12/2004,12816.527350771245
01/2005,13132.757141514341
02/2005,12722.267706693596
03/2005,12888.576122850158
04/2005,13174.835013439106
05/2005,13418.130146553422
06/2005,13271.590232871857
07/2005,13442.861726474404
08/2005,13427.642713628127
09/2005,13387.37102188804
10/2005,13438.07806422148
11/2005,13091.246298465307
12/2005,13507.883573184155
01/2006,13441.173045588235
02/2006,13753.93802423874
03/2006,13473.289304913027
04/2006,13748.924941648904
05/2006,13804.151388443499
06/2006,13340.399349210937
07/2006,13368.350828021938
08/2006,13358.635732169696
09/2006,13166.620148637408
10/2006,13133.618724582122
11/2006,13212.49344853865
12/2006,13496.937325974803
01/2007,13719.27092596784
02/2007,13684.315455322052
03/2007,13918.488755834924
04/2007,13765.826728018852
05/2007,13680.35045487792
06/2007,13373.272626556472
07/2007,13325.39615742745
08/2007,13293.016577187283
09/2007,13148.866426895498
10/2007,12718.443893322068
11/2007,12566.911628058051
12/2007,12658.954633245337
01/2008,13057.136378639882
02/2008,13572.35220726486
03/2008,13705.86397133202
04/2008,13491.446658828527
05/2008,13571.641156408135
06/2008,13717.634911797766
07/2008,13362.998969580218
08/2008,13415.143372633478
09/2008,13898.556625096557
10/2008,14036.325073980483
11/2008,13386.569304991935
12/2008,14180.606551883258
01/2009,14568.777310824104
02/2009,14582.871055210591
03/2009,14637.323106572523
04/2009,14965.272546323366
05/2009,15295.898109452113
06/2009,15156.69442506683
07/2009,15202.670569094893
08/2009,15539.78808888134
09/2009,15993.205498163072
10/2009,16086.242873574784
11/2009,16102.58287513793
12/2009,16977.259034367205
01/2010,17537.66708618288
02/2010,16931.395312948
03/2010,17923.94649492452
04/2010,17775.406640475412
05/2010,18116.726267487495
06/2010,19115.959933153597
07/2010,19106.414487273687
08/2010,20177.811316775482
09/2010,20098.853460734364
10/2010,18923.75280224949
11/2010,19986.46645553701
12/2010,21293.273890760378
01/2011,21239.71289073104
02/2011,21669.97861908055
03/2011,21074.282644527426
04/2011,21293.36884799646
05/2011,22592.638037037705
06/2011,22962.621306004785
07/2011,24678.824841717516
08/2011,24443.792211381875
09/2011,23394.481470808503
10/2011,23397.2561918216
11/2011,22837.543228007016
12/2011,23399.30756857054
01/2012,23914.94106408308
