Date,Shiller Barclays CAPE US Sector Value
06/2015,10000
07/2015,10278.31274367044
08/2015,9643.9475785617
09/2015,9429.517591244305
10/2015,10304.617408051106
11/2015,10311.663300295928
12/2015,10314.24679411903
01/2016,9892.432711729063
02/2016,10067.170839400631
03/2016,10698.952510686271
04/2016,10600.779745408428
05/2016,10791.723425243084
06/2016,10934.520174738129
07/2016,11458.499694678003
08/2016,11580.393630513412
09/2016,11738.92620602189
10/2016,11384.282963032552
11/2016,12018.648128141294
12/2016,12217.577152520082
01/2017,12565.644229414253
02/2017,13052.985109681056
03/2017,13152.097327258209
04/2017,13408.098078820049
05/2017,13654.469444313965
06/2017,13581.427028042652
07/2017,13840.950725726905
08/2017,13920.09958194373
09/2017,13933.017051059232
10/2017,14197.707736389686
11/2017,14669.312790643056
12/2017,14753.628634506082
01/2018,15729.48471041383
02/2018,15243.787871670816
03/2018,14774.766311240548
04/2018,14797.782892573628
05/2018,15227.817182582556
06/2018,15291.23021278595
07/2018,15969.749635962235
08/2018,16611.160693315796
09/2018,16838.038423599042
10/2018,15464.089435858894
11/2018,15698.013058386961
12/2018,14343.08797970783
01/2019,15537.836441354693
02/2019,16097.515148668328
03/2019,16512.753064963126
04/2019,17188.688994316315
05/2019,16149.419888205177
06/2019,17211.940438724225
07/2019,17571.28094321011
08/2019,17223.91845554042
09/2019,17414.62727230025
10/2019,17894.21767109775
11/2019,18471.041382873787
12/2019,18906.712386678566
01/2020,18901.07567288271
02/2020,17286.392033444503
03/2020,14910.986894640426
04/2020,16646.85988068956
05/2020,17581.84978157734
06/2020,18000.375780919723
07/2020,18960.496030814036
08/2020,20152.895861712623
09/2020,19709.944102588193
10/2020,19380.431208605383
11/2020,21736.342712198788
12/2020,22550.6129926253
01/2021,22215.93311099629
02/2021,23301.235379773592
03/2021,24264.643712715493
04/2021,25624.970642115648
05/2021,26008.502043308756
06/2021,26369.016863168774
07/2021,26966.038799379963
08/2021,27939.076518389782
09/2021,26527.314575602424
10/2021,27978.533514960778
11/2021,27379.162948001318
12/2021,28719.52651604115
01/2022,27587.486495373196
02/2022,27214.05420639767
03/2022,28096.434778524123
04/2022,26555.263281506883
05/2022,25962.23401756776
06/2022,23924.32711729062
07/2022,26719.19770773639
08/2022,25802.05740053549
09/2022,23250.27009253605
10/2022,24853.915167457373
11/2022,26506.646625017616
12/2022,24483.066372304947
01/2023,26984.123256141673
02/2023,26466.485039222138
03/2023,27117.290619568794
04/2023,27395.368500164404
05/2023,27483.911879374326
06/2023,29383.95415472779
07/2023,30543.942881300205
08/2023,29654.2815538541
09/2023,28340.457513269765
10/2023,27444.2200197285
11/2023,30054.253370285125
12/2023,31627.83597162854
01/2024,31457.560242378695
02/2024,32832.918408567806
03/2024,33687.11541171497
04/2024,32403.11898163371
05/2024,33432.28897552727
06/2024,33852.9287425431
07/2024,35042.51021654376
08/2024,35791.723425243086
09/2024,36296.20930997229
