Date,Silver spot price
12/1978,10000
01/1979,11301.899950335792
02/1979,13012.162174565541
03/1979,12609.978610366674
04/1979,13090.21305013604
05/1979,15174.994605020218
06/1979,14595.639733946584
07/1979,14975.714234717914
08/1979,17068.133703248233
09/1979,26587.34982599882
10/1979,27279.02055449605
11/1979,31100.094214078992
12/1979,51530.22208753204
01/1980,55907.710612440795
02/1980,56815.45260771275
03/1980,22731.748255874303
04/1980,23585.890168490187
05/1980,22348.04583444502
06/1980,26925.87538835439
07/1980,25054.9397646863
08/1980,26008.60175227412
09/1980,33125.59851355884
10/1980,31269.151899406534
11/1980,31591.731212291576
12/1980,27421.619074153074
01/1981,23336.340651010836
02/1981,23752.62862404721
03/1981,23390.94228419143
04/1981,21550.54796505122
05/1981,21876.690978035138
06/1981,17812.363548108875
07/1981,18821.011310071524
08/1981,20796.22404116133
09/1981,19411.27264397308
10/1981,19195.75193117794
11/1981,17212.948127162577
12/1981,17214.789308026433
01/1982,17749.459685590173
02/1982,17367.762125607052
03/1982,15926.731783923919
04/1982,16173.966979367906
05/1982,14065.309483943662
06/1982,13417.278444473926
07/1982,15871.08770875709
08/1982,18605.14189394359
09/1982,19905.933587197862
10/1982,24266.512819919615
11/1982,23849.935063343866
12/1982,26058.538356164237
01/1983,32899.53577506307
02/1983,28366.377456327336
03/1983,25587.178655466494
04/1983,29559.67040894533
05/1983,33696.686393706856
06/1983,29739.21395059004
07/1983,31566.426381655798
08/1983,32176.26739073964
09/1983,30184.820374521532
10/1983,23086.253539862213
11/1983,26606.96454985214
12/1983,24780.02371638475
01/1984,23972.61623105803
02/1984,26574.403422679574
03/1984,25655.875055622382
04/1984,24249.49039846225
05/1984,25594.335908237248
06/1984,23548.39025139196
07/1984,20705.386018445308
08/1984,21926.60117296428
09/1984,22933.54395000454
10/1984,22598.5413814248
11/1984,21568.759808709103
12/1984,19996.887024982974
01/1985,20623.6085678476
02/1985,19315.93809963002
03/1985,22563.253140076085
04/1985,19938.695195521042
05/1985,19327.130798937957
06/1985,19070.250983340273
07/1985,18810.06366088369
08/1985,17913.969653286335
09/1985,17643.632685016382
10/1985,16810.152149848167
11/1985,16500.21897321374
12/1985,15195.812480165487
01/1986,15661.402837432684
02/1986,13972.006040939059
03/1986,13470.796656147928
04/1986,12313.750855040344
05/1986,12330.576928554534
06/1986,12001.25424160198
07/1986,11651.09144747548
08/1986,11583.097747501768
09/1986,12272.296258459372
10/1986,12329.114273262845
11/1986,11959.575537677181
12/1986,11569.991480073502
01/1987,11429.231574975522
02/1987,11063.166410928106
03/1987,12737.479670750534
04/1987,16202.49925539576
05/1987,15141.593140631392
06/1987,14325.921183958566
07/1987,16932.338239648772
08/1987,15480.376161912503
09/1987,15270.604330384747
10/1987,13648.388821416258
11/1987,13522.516356146853
12/1987,12115.36530630229
01/1988,11966.363872918708
02/1988,11538.984854783404
03/1988,12522.424150466071
04/1988,11915.91218435966
05/1988,12289.34382895519
06/1988,12843.493399579016
07/1988,13795.971306635203
08/1988,13398.859410581148
09/1988,12705.095055574147
10/1988,12670.803224891311
11/1988,11708.526356621689
12/1988,11684.681965030533
01/1989,11742.682213376776
02/1989,11909.117059364391
03/1989,11800.741780613163
04/1989,11605.1978220179
05/1989,11204.57679345898
06/1989,11306.355345134218
07/1989,10755.087208475226
08/1989,10758.309453746178
09/1989,11378.207362314799
10/1989,10852.633642631568
11/1989,11378.186178580509
12/1989,10226.096835881612
01/1990,9903.847182009864
02/1990,9613.369540843281
03/1990,9487.7591837905
04/1990,9309.918583112141
05/1990,9406.75920433079
06/1990,9040.88670219315
07/1990,8795.265908040477
08/1990,8365.077920796293
09/1990,8318.316878336713
10/1990,7111.370876255837
11/1990,6746.274386882166
12/1990,7003.111408551379
01/1991,6406.054143538167
02/1991,6057.503481211714
03/1991,6874.667900830328
04/1991,7426.143339046133
05/1991,7906.181434055901
06/1991,8838.044118313175
07/1991,8082.623698147424
08/1991,7413.174260458764
09/1991,7813.304763247683
10/1991,7718.074184669776
11/1991,7383.992839165992
12/1991,6788.963523868214
01/1992,7316.79192512617
02/1992,7456.621435611636
03/1992,7657.816153254785
04/1992,7334.56816112605
05/1992,7331.687643913705
06/1992,7065.7126939248
07/1992,6607.5724369165355
08/1992,6059.683266129627
09/1992,6278.021822324677
10/1992,6535.696490853442
11/1992,6906.51427541618
12/1992,6785.5659089082155
01/1993,6989.721389229169
02/1993,6891.4613885185645
03/1993,7552.495987351012
04/1993,8062.585656278291
05/1993,8862.698808464778
06/1993,8852.380312958107
07/1993,10690.165761866796
08/1993,9843.031840800644
09/1993,7865.028496159697
10/1993,8693.858504298398
11/1993,9057.112815657518
12/1993,10366.377817622375
01/1994,10389.8558708314
02/1994,10728.446055586914
03/1994,11492.577118936113
04/1994,10611.46293717902
05/1994,10806.205533041506
06/1994,10158.685551179804
07/1994,9924.347978795526
08/1994,10057.764343753044
09/1994,10436.52784340698
10/1994,9736.147643147058
11/1994,9381.79318884631
12/1994,9149.220512307205
01/1995,8681.352080063263
02/1995,8206.173725931754
03/1995,9064.251161481581
04/1995,10043.538110737158
05/1995,9264.402265316003
06/1995,9244.36196612826
07/1995,8742.516866803953
08/1995,9404.749631022249
09/1995,9892.251873975778
10/1995,9442.407868187183
11/1995,9145.031826747927
12/1995,9221.711465769455
01/1996,10019.810839810227
02/1996,10082.863608654625
03/1996,10067.307890241866
04/1996,9711.544504145402
05/1996,9935.503763368955
06/1996,9287.457546700289
07/1996,9304.658436918677
08/1996,9368.175123763715
09/1996,8878.226065640489
10/1996,8803.667104513639
11/1996,8542.978708378942
12/1996,8833.315989609808
01/1997,9376.152546774123
02/1997,10366.840465239062
03/1997,10241.615508227751
04/1997,9359.936344241278
05/1997,9719.497200267962
06/1997,9541.342121400294
07/1997,9116.280416251791
08/1997,10107.928618487682
09/1997,10765.656873377384
10/1997,9848.249741783588
11/1997,10613.137755486066
12/1997,12333.4159204364
01/1998,12728.643234739686
02/1998,13376.788145008491
03/1998,13373.397200831825
04/1998,13010.68343710895
05/1998,10219.093931872909
06/1998,11125.990948890212
07/1998,11499.911819097219
08/1998,9919.037333988947
09/1998,10642.033659728748
10/1998,9620.834525703012
11/1998,9644.642433103862
12/1998,9738.777073709183
01/1999,10525.204125686592
02/1999,11584.874974257373
03/1999,10700.666731789695
04/1999,11742.914144177554
05/1999,10796.463048801266
06/1999,11557.070586024052
07/1999,11653.512314156858
08/1999,10986.374135244323
09/1999,11957.597541282492
10/1999,11576.429783617286
11/1999,11735.384508187866
12/1999,12136.51384002299
01/2000,12289.058563641289
02/2000,11997.921316980028
03/2000,11817.001741679689
04/2000,12433.290308356634
05/2000,12048.499926704992
06/2000,12011.97545718491
07/2000,12250.453500382548
08/2000,12611.267032934697
09/2000,12756.725107304128
10/2000,12881.92999682293
11/2000,12196.103366453252
12/2000,11246.946809219853
01/2001,11790.697478656833
02/2001,10957.609655134365
03/2001,11214.728296975081
04/2001,11249.335639816749
05/2001,11936.509363454325
06/2001,11693.732901824746
07/2001,11012.891202891537
08/2001,10490.79912814431
09/2001,11486.320166134114
10/2001,10815.124833487573
11/2001,10643.09307175392
12/2001,11732.068363247641
01/2002,11322.259898621583
02/2002,11727.008297222581
03/2002,12258.176734478388
04/2002,11681.25149897207
05/2002,12294.030125412235
06/2002,11168.01470542325
07/2002,10896.167818237722
08/2002,10619.759044300912
09/2002,10516.439419435628
10/2002,10377.67095377048
11/2002,10208.116660691308
12/2002,10175.60641312192
01/2003,10305.988489252117
02/2003,9748.686590071457
03/2003,9364.132374687677
04/2003,9463.578132362803
05/2003,8823.356115210703
06/2003,9018.254521705752
07/2003,10267.245415035713
08/2003,10686.97328180872
09/2003,10041.650053853737
10/2003,10106.935568909264
11/2003,10203.51148834673
12/2003,10803.563221519615
01/2004,11498.424361633508
02/2004,12120.880188786823
03/2004,14643.029093852147
04/2004,11392.473375912188
05/2004,11561.238812214307
06/2004,11122.24450130016
07/2004,12198.446727259476
08/2004,12730.334424839624
09/2004,12286.361502972331
10/2004,12858.95847222951
11/2004,13342.996765926253
12/2004,11445.0261029353
01/2005,11792.833253921974
02/2005,12682.41625007202
03/2005,12683.203665295501
04/2005,12322.842114034853
05/2005,13226.68931386324
06/2005,13431.364356409858
07/2005,13515.375009924537
08/2005,12639.537647092367
09/2005,14303.959559578348
10/2005,14773.674738432122
11/2005,15957.450816949075
12/2005,17121.785203850606
01/2006,18706.934542437008
02/2006,18675.580730600792
03/2006,22215.374493963795
04/2006,22907.78041392098
05/2006,23340.68481793363
06/2006,19252.87765141677
07/2006,20497.32023919259
08/2006,22428.154637509673
09/2006,20869.31521664695
10/2006,21765.06361320758
11/2006,23706.753635004756
12/2006,22405.9754413085
01/2007,23591.876479257902
02/2007,24777.863806251964
03/2007,22929.90077602696
04/2007,22698.39464849872
05/2007,22529.764718897524
06/2007,21240.40866224047
07/2007,21578.240657589
08/2007,19945.677178398044
09/2007,22021.503621589898
10/2007,22673.849804220565
11/2007,22052.053636403743
12/2007,22935.539753922207
01/2008,25751.61112300626
02/2008,29590.97237600751
03/2008,26025.81138038116
04/2008,24243.90117215229
05/2008,24854.442903538933
06/2008,25611.688069174787
07/2008,25613.600109564642
08/2008,21361.32629789629
09/2008,20727.0637506196
10/2008,16640.23062028061
11/2008,18189.23310332591
12/2008,17735.18559869801
01/2009,22328.766452248587
02/2009,23898.918637662835
03/2009,22534.59824788174
04/2009,21763.500066152646
05/2009,25182.226796932824
06/2009,22560.961637805252
07/2009,22053.00616043029
08/2009,23304.48391392458
09/2009,25697.789077435424
10/2009,25610.656620746307
11/2009,27621.07236931938
12/2009,26978.008595626812
01/2010,26681.42169740863
02/2010,27173.47059793303
03/2010,29698.895323449313
04/2010,31988.835171529765
05/2010,34441.58575723572
06/2010,34934.099326467054
07/2010,31007.936759260916
08/2010,34041.804001452336
09/2010,36990.75875117044
10/2010,39552.825844192084
11/2010,47745.58088082693
12/2010,52436.71174239957
01/2011,46361.34397269504
02/2011,55376.72865226154
03/2011,60975.1454480305
04/2011,74966.98969488354
05/2011,61460.990114716675
06/2011,55426.57710398578
07/2011,63571.79395258252
08/2011,65458.73180891102
09/2011,51584.22969063953
10/2011,55941.56613555292
11/2011,53445.31953039901
12/2011,49819.595400948674
01/2012,58333.17450852798
02/2012,63351.478928859455
03/2012,55543.14391991015
04/2012,54010.75047685756
05/2012,51825.0221620121
06/2012,49202.01059595625
07/2012,52513.28912790905
08/2012,55359.85244254735
09/2012,61300.58715609059
10/2012,56830.831181145375
11/2012,60384.480592376094
12/2012,51925.44979943247
01/2013,54072.63875329336
02/2013,50440.20465654086
03/2013,51162.68771910574
04/2013,42733.01553497887
05/2013,39696.08982738487
06/2013,32983.28175544616
07/2013,34359.79345360917
08/2013,40858.596724836716
09/2013,36721.85484827539
10/2013,37227.741172884125
11/2013,33494.784271507
12/2013,32344.375716100894
01/2014,32680.900217100458
02/2014,35224.05887653547
03/2014,33131.16523268068
04/2014,31843.23459947944
05/2014,31941.19325654103
06/2014,34953.86953978545
07/2014,35375.02514277241
08/2014,33771.23425608187
09/2014,31104.679675336432
10/2014,29589.10819477724
11/2014,29264.820584495166
12/2014,30089.18172772038
01/2015,34236.5277477524
02/2015,33640.81143045604
03/2015,35293.61149907844
