Date,Solactive Battery Value-Chain
05/2012,10000
06/2012,10175.530914259438
07/2012,10152.229651179397
08/2012,9913.494168593099
09/2012,9886.924872118425
10/2012,9782.844286415542
11/2012,9902.364719974474
12/2012,10411.561961855456
01/2013,10711.0248680238
02/2013,11197.625819633246
03/2013,11463.575753216415
04/2013,11782.71864793981
05/2013,12884.362995511086
06/2013,12357.765700218019
07/2013,12912.92309055467
08/2013,12976.237505791818
09/2013,14057.97397974759
10/2013,14241.381541387038
11/2013,14162.861636093425
12/2013,14315.983284639902
01/2014,14291.679469733554
02/2014,15079.938217828914
03/2014,14743.228255020544
04/2014,14261.246898012998
05/2014,14647.678981605888
06/2014,15498.199216891653
07/2014,15730.83100965318
08/2014,15937.09652920179
09/2014,16004.770350391738
10/2014,15316.09111144561
11/2014,15605.08799143869
12/2014,15400.070651109432
01/2015,16599.048811163848
02/2015,17940.183051246684
03/2015,18452.650931463042
04/2015,19089.190826537426
05/2015,19483.965258301967
06/2015,18658.41426480753
07/2015,18097.04150511561
08/2015,16636.346659925868
09/2015,16044.988892813368
10/2015,17940.843001225163
11/2015,18875.30683550044
12/2015,18046.05285132217
01/2016,16216.255327275063
02/2016,16472.84906154823
03/2016,17403.28865942554
04/2016,17962.383653900077
05/2016,19201.34652847663
06/2016,19029.581290150745
07/2016,20210.041984250234
08/2016,20457.645487727088
09/2016,20423.32120763418
10/2016,20885.46625219178
11/2016,21384.61905447467
12/2016,21746.55966668921
01/2017,22327.757962062078
02/2017,22873.000133648005
03/2017,23502.210287476668
04/2017,23419.26804034956
05/2017,23616.247098492557
06/2017,23249.155104646554
07/2017,23210.8321844558
08/2017,23772.30165795037
09/2017,25526.94734464485
10/2017,26301.252215628672
11/2017,26018.623096613243
12/2017,25947.445120498916
01/2018,25865.259026937834
02/2018,25047.752464750753
03/2018,23757.546826536865
04/2018,24238.641579167874
05/2018,24743.78271265432
06/2018,24337.666473631954
07/2018,24493.005307351854
08/2018,24605.903115010082
09/2018,25019.51237036645
10/2018,23585.347967965667
11/2018,23859.39805545926
12/2018,21625.756879296296
01/2019,23045.84261421945
02/2019,23642.79898228961
03/2019,23274.293954938323
04/2019,24268.397466136532
05/2019,22305.409882350115
06/2019,23390.579845723914
07/2019,23818.824957874913
08/2019,22389.96483453023
09/2019,23578.978438067883
10/2019,24287.935411417195
11/2019,25335.92694599282
12/2019,25984.78823612757
01/2020,26922.804769940678
02/2020,25023.091907117956
03/2020,21181.24429718293
04/2020,23807.232541780242
05/2020,25069.932734645685
06/2020,26830.137754577387
07/2020,27694.59976555777
08/2020,31025.599906096137
09/2020,30493.591586526803
10/2020,31617.76212512506
11/2020,39686.83917640512
12/2020,42997.476772884336
01/2021,44571.942624734664
02/2021,45911.283134954865
03/2021,48617.56842921414
04/2021,49588.822802291725
05/2021,49379.77612693393
06/2021,50976.81025565045
07/2021,51240.00524031617
08/2021,51956.94177482823
09/2021,51969.358816964064
10/2021,53724.946551456116
11/2021,52952.895537588694
12/2021,54006.80254758144
01/2022,52387.23830247331
02/2022,51085.42582478813
03/2022,52407.34091947116
04/2022,50551.67751619863
05/2022,51638.38221192604
06/2022,46009.07806485502
07/2022,51481.991789834006
08/2022,53193.68769936204
09/2022,49458.82122632278
10/2022,52106.26268283634
11/2022,55109.99660377462
12/2022,49363.33472247518
01/2023,55205.776298453646
02/2023,55169.174340387435
03/2023,54582.15851802967
04/2023,53037.46715546222
05/2023,56051.51589424745
06/2023,60389.23420390659
07/2023,59227.40218690193
08/2023,56132.597715283126
09/2023,53666.69944830497
10/2023,47064.655556311525
11/2023,49561.19714325192
12/2023,51840.28294976437
01/2024,48723.60131624202
02/2024,52082.6628389744
03/2024,54277.443989427156
04/2024,55148.68068755834
05/2024,55769.901225771595
06/2024,52485.417518680995
07/2024,52206.63372958288
08/2024,50487.47273809046
09/2024,52504.85344005293
