Date,Solactive Clean Water
03/2013,10000
04/2013,9798.637547585655
05/2013,10040.072129833701
06/2013,9684.431977559609
07/2013,10184.331797235023
08/2013,9925.866559807655
09/2013,10639.150470847526
10/2013,11017.832097775998
11/2013,11340.412742937287
12/2013,11713.083550390704
01/2014,11308.355039070328
02/2014,12004.608294930877
03/2014,11790.222400320577
04/2014,11559.8076537768
05/2014,11609.897816068926
06/2014,11977.559607293128
07/2014,11378.481266279303
08/2014,11842.316169104388
09/2014,11307.353235824485
10/2014,11897.415347625727
11/2014,11949.509116409537
12/2014,11866.359447004608
01/2015,11608.896012823083
02/2015,11922.46042877179
03/2015,11957.523542376279
04/2015,12422.360248447207
05/2015,12422.360248447207
06/2015,12083.750751352436
07/2015,11696.052895211382
08/2015,11094.970947705871
09/2015,10782.408335003007
10/2015,11681.025846523744
11/2015,11891.404528150671
12/2015,11486.676016830295
01/2016,10892.606692045683
02/2016,11122.019635343619
03/2016,12093.76878381086
04/2016,12546.583850931678
05/2016,12715.888599479063
06/2016,13011.420557002606
07/2016,13643.558405129234
08/2016,13624.524143458226
09/2016,13954.117411340414
10/2016,13542.37627729914
11/2016,14130.434782608696
12/2016,14057.303145662192
01/2017,14423.963133640555
02/2017,14617.31116008816
03/2017,14751.552795031057
04/2017,15285.513925065121
05/2017,15355.640152274094
06/2017,15479.863754758566
07/2017,15707.273091564817
08/2017,15712.28210779403
09/2017,16584.85273492286
10/2017,17143.858946102988
11/2017,18077.53957122821
12/2017,18117.611701061913
01/2018,18209.777599679423
02/2018,17354.237627729915
03/2018,17695.85253456221
04/2018,17677.820076137046
05/2018,18014.425966740135
06/2018,18028.451212181928
07/2018,18847.926267281106
08/2018,18975.155279503106
09/2018,18935.083149669405
10/2018,17048.687637747946
11/2018,17682.82909236626
12/2018,16463.634542175918
01/2019,18128.63153676618
02/2019,18845.922660789423
03/2019,19008.21478661591
04/2019,19596.27329192547
05/2019,18564.415948707676
06/2019,20158.28491284312
07/2019,20025.04508114606
08/2019,19816.67000601082
09/2019,20252.454417952315
10/2019,21112.001602885193
11/2019,21465.638148667604
12/2019,22439.39090362653
01/2020,22170.907633740735
02/2020,20384.69244640353
03/2020,17440.39270687237
04/2020,19255.66018833901
05/2020,20342.616710078142
06/2020,20668.20276497696
07/2020,21695.05109196554
08/2020,22532.558605489885
09/2020,22007.613704668405
10/2020,22212.983370066122
11/2020,25344.620316569828
12/2020,26866.359447004612
01/2021,26840.312562612704
02/2021,28405.129232618714
03/2021,29036.265277499497
04/2021,30768.38308956121
05/2021,31620.917651773194
06/2021,31751.152073732723
07/2021,32854.13744740533
08/2021,33980.16429573232
09/2021,31566.8202764977
10/2021,32921.25826487678
11/2021,32352.23402123823
12/2021,34076.3374073332
01/2022,30932.678821879384
02/2022,29866.760168302946
03/2022,30284.512121819276
04/2022,27937.28711681026
05/2022,28219.79563213785
06/2022,25954.71849328792
07/2022,28421.158084552197
08/2022,26988.579442997398
09/2022,24292.726908435186
10/2022,27106.792226006815
11/2022,29003.2057703867
12/2022,27957.32318172711
01/2023,30447.806050891606
02/2023,30093.167701863356
03/2023,29938.89000200361
04/2023,29615.307553596474
05/2023,29561.21017832098
06/2023,31427.56962532559
07/2023,32433.380084151475
08/2023,31364.45602083751
09/2023,29094.369865758366
10/2023,28354.03726708074
11/2023,31714.085353636547
12/2023,34069.324784612305
01/2024,32710.87958324985
02/2024,35101.1821278301
03/2024,36128.030454818676
04/2024,34871.76918453215
05/2024,36570.82748948107
06/2024,35438.78982167903
07/2024,37670.80745341615
08/2024,37312.16189140453
09/2024,38561.41053897015
