Date,Solactive Euro 50
08/2006,10000
09/2006,10228.683563733159
10/2006,10531.19869434703
11/2006,10526.147060823612
12/2006,10885.298774978872
01/2007,11103.101897276976
02/2007,10862.955011317603
03/2007,11125.931394930882
04/2007,11765.254476038743
05/2007,12271.77788355985
06/2007,12233.210604544529
07/2007,11778.077853444342
08/2007,11737.956225652584
09/2007,12010.647289118588
10/2007,12269.154919999613
11/2007,12070.003983018742
12/2007,12092.250599881481
01/2008,10505.454792737306
02/2008,10361.28894372286
03/2008,10067.128437782334
04/2008,10707.811574069578
05/2008,10825.650640683136
06/2008,9637.059560702179
07/2008,9668.729417022063
08/2008,9697.48486938613
09/2008,8771.384439025813
10/2008,7507.504590186231
11/2008,7052.371839086044
12/2008,7074.812749545839
01/2009,6497.955059891002
02/2009,5732.243993899181
03/2009,6008.626635709221
04/2009,6902.862916152598
05/2009,7285.524155551455
06/2009,7174.193924439221
07/2009,7879.285388150035
08/2009,8300.125319370101
09/2009,8619.543992927714
10/2009,8267.872582259053
11/2009,8454.685875826963
12/2009,8969.661054819939
01/2010,8417.090064796916
02/2010,8275.547179342706
03/2010,8886.891982474719
04/2010,8568.73621729796
05/2010,8127.981192379806
06/2010,8025.102732739443
07/2010,8559.021537445235
08/2010,8228.819569251096
09/2010,8615.269533792514
10/2010,8940.225574866181
11/2010,8360.064894061417
12/2010,8796.545459844372
01/2011,9327.7441541914
02/2011,9509.60296103442
03/2011,9189.504259887117
04/2011,9544.381514907178
05/2011,9276.45064456901
06/2011,9244.489347853543
07/2011,8692.015504629046
08/2011,7521.5908759726835
09/2011,7162.827749011533
10/2011,7842.369604709677
11/2011,7682.271680736762
12/2011,7650.50467761835
01/2012,7997.901629151812
02/2012,8299.153851384828
03/2012,8195.983951348884
04/2012,7690.529158611579
05/2012,7220.824387732303
06/2012,7740.171172659006
07/2012,7942.6251007898045
08/2012,8333.835258459058
09/2012,8424.473221484986
10/2012,8587.291255816666
11/2012,8828.312462962784
12/2012,9028.532014727456
01/2013,9290.148343161352
02/2013,9060.493311442922
03/2013,9046.212732059415
04/2013,9426.8338886892
05/2013,9750.138434187902
06/2013,9200.287554523642
07/2013,9794.048787122221
08/2013,9621.613219736344
09/2013,10253.164556962027
10/2013,10863.343598511712
11/2013,10957.964580277257
12/2013,11051.419800460477
01/2014,10735.984145642484
02/2014,11214.917862381846
03/2014,11262.616940458729
04/2014,11452.150344385402
05/2014,11823.639701953623
06/2014,11797.8958003439
07/2014,11414.74882695241
08/2014,11612.734002350955
09/2014,11822.085353177188
10/2014,11434.081039859333
11/2014,11978.297405209012
12/2014,11626.528847741823
01/2015,12439.841845011999
02/2015,13358.753412281298
03/2015,13744.134762038919
04/2015,13506.513692841254
05/2015,13520.988565821815
06/2015,13010.384992762565
07/2015,13675.257681883095
08/2015,12457.328268746905
09/2015,11808.87338857748
10/2015,13050.798060949903
11/2015,13419.470161360832
12/2015,12504.444466032623
01/2016,11684.234046067013
02/2016,11349.563325140622
03/2016,11607.390928431954
04/2016,11785.169569736832
05/2016,12137.812448390765
06/2016,11392.502210089668
07/2016,11924.866666019023
08/2016,12081.273011647902
09/2016,12037.654099109162
10/2016,12271.875030358377
11/2016,12286.155609741882
12/2016,13241.497226458903
01/2017,13029.522912072434
02/2017,13408.201132731672
03/2017,14173.135024335275
04/2017,14465.54688790231
05/2017,14678.006936281416
06/2017,14258.429913442204
07/2017,14296.997192457524
08/2017,14211.799450149121
09/2017,14943.703430253458
10/2017,15271.962462477051
11/2017,14863.654468267
12/2017,14596.306478719995
01/2018,15077.571718624014
02/2018,14401.041413680214
03/2018,14068.993656314058
04/2018,14913.490775911481
05/2018,14574.254155454308
06/2018,14554.921942547386
07/2018,15118.664814401043
08/2018,14576.0027978278
09/2018,14637.108134101441
10/2018,13772.987361201513
11/2018,13677.686351846276
12/2018,12922.758580490981
01/2019,13666.320176418587
02/2019,14268.047446496403
03/2019,14507.805745261669
04/2019,15331.707743571313
05/2019,14502.462671342668
06/2019,15369.789288593995
07/2019,15330.833422384565
08/2019,15161.895139745671
09/2019,15810.252873116568
10/2019,16018.535609159002
11/2019,16459.58207447274
12/2019,16661.93885580501
01/2020,16205.931783518075
02/2020,14825.572923244315
03/2020,12243.508165188417
04/2020,12895.55747690335
05/2020,13511.759619961724
06/2020,14368.691529770638
07/2020,14094.931851520836
08/2020,14556.670584920876
09/2020,14230.354488667828
10/2020,13251.309053110157
11/2020,15757.50216151627
12/2020,16059.822998533085
01/2021,15822.396222932475
02/2021,16639.012211352576
03/2021,17833.334952446643
04/2021,18257.963608809274
05/2021,18730.874224039948
06/2021,18885.920514489448
07/2021,19029.503482712727
08/2021,19456.26936864296
09/2021,18896.41236873039
10/2021,19857.777086956103
11/2021,19029.989216705366
12/2021,20092.38660539942
01/2022,19635.116624731632
02/2022,18507.048000233153
03/2022,18314.40589875361
04/2022,17910.858097671393
05/2022,18152.850772802783
06/2022,16524.670429486
07/2022,17795.447701021014
08/2022,16883.433556447148
09/2022,15876.506989712156
10/2022,17291.83869745573
11/2022,19005.993957469134
12/2022,18208.418741560374
01/2023,20124.05646171931
02/2023,20439.006382544667
03/2023,20876.555563111415
04/2023,21256.98242614415
05/2023,20845.274293985643
06/2023,21733.487472920333
07/2023,22087.78184714923
08/2023,21254.262315785385
09/2023,20622.516684962648
10/2023,20112.204552298983
11/2023,21770.11181596511
12/2023,22439.064670623782
01/2024,23087.908137987317
02/2024,24209.467926984467
03/2024,25300.71791484112
04/2024,24716.865655692323
05/2024,25309.5582735071
06/2024,24871.42621214918
07/2024,24746.88401643724
08/2024,25216.200200122406
09/2024,25465.57603194187
