Date,Solactive Euro Overnight Return
12/2005,10000
01/2006,10019.45
02/2006,10037.73
03/2006,10060.93
04/2006,10082.22
05/2006,10103.95
06/2006,10128.01
07/2006,10151.04
08/2006,10178.7
09/2006,10203.660000000002
10/2006,10231.52
11/2006,10261.83
12/2006,10291.95
01/2007,10322.59
02/2007,10351.28
03/2007,10385.29
04/2007,10418.44
05/2007,10453.65
06/2007,10486.97
07/2007,10522.53
08/2007,10561.57
09/2007,10595.33
10/2007,10631.41
11/2007,10669.59
12/2007,10704.29
01/2008,10742.47
02/2008,10777.4
03/2008,10812.91
04/2008,10852.62
05/2008,10887.82
06/2008,10922.96
07/2008,10965.04
08/2008,11003.08
09/2008,11042.51
10/2008,11081.66
11/2008,11108.94
12/2008,11134.73
01/2009,11151.16
02/2009,11162.03
03/2009,11171.67
04/2009,11180.77
05/2009,11187.54
06/2009,11194.69
07/2009,11198.36
08/2009,11201.49
09/2009,11204.77
10/2009,11208.48
11/2009,11211.69
12/2009,11215.41
01/2010,11218.38
02/2010,11221.31
03/2010,11225.03
04/2010,11228.1
05/2010,11231.18
06/2010,11234.35
07/2010,11239.2
08/2010,11243.19
09/2010,11247.46
10/2010,11253.9
11/2010,11259.64
12/2010,11264.74
01/2011,11270.44
02/2011,11277.1
03/2011,11283.85
04/2011,11292.73
05/2011,11302.76
06/2011,11313.59
07/2011,11323.16
08/2011,11332.01
09/2011,11341.89
10/2011,11350.84
11/2011,11358.33
12/2011,11364.72
01/2012,11368.41
02/2012,11371.75
03/2012,11375.36
04/2012,11378.64
05/2012,11382.06
06/2012,11385.07
07/2012,11386.88
08/2012,11388.02
09/2012,11388.9
10/2012,11389.8
11/2012,11390.59
12/2012,11391.24
01/2013,11391.94
02/2013,11392.54
03/2013,11393.16
04/2013,11393.92
05/2013,11394.72
06/2013,11395.44
07/2013,11396.37
08/2013,11397.26
09/2013,11397.96
10/2013,11398.9
11/2013,11399.81
12/2013,11401.33
01/2014,11403.31
02/2014,11404.7
03/2014,11406.27
04/2014,11409.06
05/2014,11411.3
06/2014,11412
07/2014,11412.48
08/2014,11412.66
09/2014,11412.68
10/2014,11412.66
11/2014,11412.54
12/2014,11412.17
01/2015,11411.63
02/2015,11411.3
03/2015,11410.81
04/2015,11410.21
05/2015,11409.28
06/2015,11408.15
07/2015,11406.92
08/2015,11405.81
09/2015,11404.53
10/2015,11403.14
11/2015,11401.91
12/2015,11399.67
01/2016,11397.57
02/2016,11395.36
03/2016,11392.3
04/2016,11389.21
05/2016,11386
06/2016,11382.61
07/2016,11379.61
08/2016,11376.3
09/2016,11372.83
10/2016,11369.65
11/2016,11366.35
12/2016,11362.8
01/2017,11359.48
02/2017,11356.37
03/2017,11352.69
04/2017,11349.42
05/2017,11346.02
06/2017,11342.41
07/2017,11339.12
08/2017,11335.42
09/2017,11332.15
10/2017,11328.76
11/2017,11325.22
12/2017,11322
01/2018,11318.58
02/2018,11315.37
03/2018,11311.6
04/2018,11308.27
05/2018,11304.63
06/2018,11301.33
07/2018,11297.91
08/2018,11294.18
09/2018,11290.99
10/2018,11287.42
11/2018,11283.81
12/2018,11280.4
01/2019,11276.72
02/2019,11273.5
03/2019,11270.15
04/2019,11266.59
05/2019,11262.92
06/2019,11259.73
07/2019,11256.17
08/2019,11252.55
09/2019,11248.91
10/2019,11244.13
11/2019,11240.06
12/2019,11235.22
01/2020,11230.7
02/2020,11226.74
03/2020,11222.81
04/2020,11218.17
05/2020,11214.19
06/2020,11209.89
07/2020,11205.11
08/2020,11200.89
09/2020,11196.52
10/2020,11191.84
11/2020,11187.59
12/2020,11182.61
01/2021,11178.44
02/2021,11174.28
03/2021,11169.08
04/2021,11164.9
05/2021,11160.59
06/2021,11156.14
07/2021,11151.35
08/2021,11146.87
09/2021,11142.07
10/2021,11137.71
11/2021,11133.18
12/2021,11128.17
01/2022,11123.75
02/2022,11119.49
03/2022,11114.47
04/2022,11110
05/2022,11105.37
06/2022,11100.48
07/2022,11096.65
08/2022,11096.65
09/2022,11100.79
10/2022,11107.42
11/2022,11120.73
12/2022,11137.13
01/2023,11155.59
02/2023,11175.93
03/2023,11203.1
04/2023,11230.07
05/2023,11259.65
06/2023,11292.91
07/2023,11324.67
08/2023,11363.38
09/2023,11398.51
10/2023,11436.43
11/2023,11477.02
12/2023,11515.21
01/2024,11553.54
02/2024,11593.32
03/2024,11631.94
04/2024,11670.71
05/2024,11712.18
06/2024,11747.17
07/2024,11785.14
08/2024,11824.46
09/2024,11859.23
