Date,Solactive Eurozone Government Bond 0-1 Year
01/2020,10000
02/2020,9995.209007066715
03/2020,9984.329460614046
04/2020,9980.836028266858
05/2020,9981.035652972412
06/2020,9982.93208767517
07/2020,9979.23903062243
08/2020,9975.446161216913
09/2020,9972.851040044716
10/2020,9971.353854753064
11/2020,9966.86229887811
12/2020,9962.071305944824
01/2021,9954.186130075459
02/2021,9948.796263025512
03/2021,9944.404519503334
04/2021,9940.212400686709
05/2021,9936.519343633969
06/2021,9932.027787759012
07/2021,9927.236794825727
08/2021,9922.345989539666
09/2021,9916.65668543139
10/2021,9910.368507206453
11/2021,9911.466443086996
12/2021,9901.285583103765
01/2022,9894.099093703837
02/2022,9890.406036651097
03/2022,9881.023675490078
04/2022,9870.643190801293
05/2022,9861.759891404161
06/2022,9849.782409070947
07/2022,9846.788038487643
08/2022,9837.405677326626
09/2022,9810.05709266579
10/2022,9812.252964426878
11/2022,9821.136263824012
12/2022,9824.030822054538
01/2023,9834.810556154429
02/2023,9840.1006108516
03/2023,9872.140376092946
04/2023,9888.609414301114
05/2023,9909.969257795345
06/2023,9920.748991895238
07/2023,9948.696450672734
08/2023,9979.23903062243
09/2023,10000
10/2023,10033.337325827444
11/2023,10067.772587535434
12/2023,10103.405597476743
01/2024,10128.9575597876
02/2024,10152.912524454026
03/2024,10183.954166167605
04/2024,10212.101249650657
05/2024,10244.939513714216
06/2024,10276.080967780572
07/2024,10313.510600071864
08/2024,10347.546612368747
09/2024,10382.979997604503
