Date,Solactive GBS Developed Markets Large & Mid Cap
05/2006,10000
06/2006,10104.129350587718
07/2006,10136.74183659416
08/2006,10331.999200243776
09/2006,10611.771892839439
10/2006,10964.451811725967
11/2006,10801.540410381951
12/2006,11044.332910478981
01/2007,11360.703147554075
02/2007,11084.379460492199
03/2007,11192.609886827768
04/2007,11444.880375171004
05/2007,11925.630016241414
06/2007,11803.877836202337
07/2007,11382.2011333454
08/2007,11375.337506134098
09/2007,11528.363254409469
10/2007,11661.551002829607
11/2007,10978.50593584148
12/2007,10870.886678385477
01/2008,9957.055805207776
02/2008,9714.056442016146
03/2008,9221.277600814145
04/2008,9886.548575404411
05/2008,10076.534178196196
06/2008,9126.67630186705
07/2008,8999.570847499761
08/2008,9399.808854832685
09/2008,8550.762538635647
10/2008,7795.137388017033
11/2008,7321.712926511264
12/2008,6914.99214483582
01/2009,6850.3688270744115
02/2009,6239.351308924818
03/2009,6383.23859047298
04/2009,7106.7270458603125
05/2009,7314.44155514606
06/2009,7266.6168082672375
07/2009,7881.164195456761
08/2009,8123.286291169617
09/2009,8232.541172720186
10/2009,8009.332826558087
11/2009,8227.82248306314
12/2009,8734.647127638238
01/2010,8639.265916615363
02/2010,9019.786365182383
03/2010,9647.393827128863
04/2010,9770.32729795421
05/2010,9572.786692057463
06/2010,9273.515459859156
07/2010,9441.780056511809
08/2010,9340.591143073194
09/2010,9485.677505150852
10/2010,9690.976389801881
11/2010,10117.617129671118
12/2010,10564.731304543415
01/2011,10548.657592309177
02/2011,10808.373779466947
03/2011,10420.14838052995
04/2011,10387.639241064651
05/2011,10520.690208786182
06/2011,10313.649655626667
07/2011,10267.24260293405
08/2011,9425.56430821281
09/2011,9232.430433403893
10/2011,9822.463456496345
11/2011,10006.556402273536
12/2011,10381.800575200057
01/2012,10706.322825775467
02/2012,11009.02361672899
03/2012,11227.766526115332
04/2012,11226.711610884304
05/2012,10947.69680108061
06/2012,11339.300509969727
07/2012,11775.558943296868
08/2012,11770.420156827793
09/2012,11802.811189306192
10/2012,11662.934132048033
11/2012,11822.929556133402
12/2012,11861.870878339123
01/2013,12137.44806152062
02/2013,12550.508505683058
03/2013,13185.849637270632
04/2013,13335.633817179933
05/2013,13421.654435761637
06/2013,13022.269509302709
07/2013,13503.77381601619
08/2013,13259.292624345106
09/2013,13642.838439063677
10/2013,14042.566404815294
11/2013,14336.6849666927
12/2013,14448.948995658537
01/2014,14204.253009676791
02/2014,14591.497053039386
03/2014,14655.092399834972
04/2014,14748.863761178158
05/2014,15327.74743433241
06/2014,15552.976184503888
07/2014,15640.794121962015
08/2014,16224.12161667982
09/2014,16563.853722565415
10/2014,16755.812351016823
11/2014,17157.931762103253
12/2014,17359.121481057595
01/2015,18301.785958956174
02/2015,19479.32843351543
03/2015,20053.762421021125
04/2015,19702.062073276462
05/2015,20216.85731974941
06/2015,19366.61660500019
07/2015,20119.938381341864
08/2015,18388.36962296361
09/2015,17745.302124413884
10/2015,19485.08524221034
11/2015,20190.784584587098
12/2015,19295.584269603052
01/2016,18101.156626645836
02/2016,18040.20514574099
03/2016,18428.19941340654
04/2016,18694.70595720931
05/2016,19236.397926088863
06/2016,19127.44979559809
07/2016,19906.8299985
08/2016,19890.717036571474
09/2016,19953.51127460535
10/2016,19977.546017792956
11/2016,20867.70756990958
12/2016,21570.001361998828
01/2017,21651.594563513623
02/2017,22590.401825877194
03/2017,22643.351735650333
04/2017,22485.948518955836
05/2017,22407.89013715416
06/2017,22123.902925028375
07/2017,22048.953371495914
08/2017,21909.105276607155
09/2017,22442.94715553622
10/2017,23206.488637586528
11/2017,23298.825270693662
12/2017,23339.511006471148
01/2018,23660.853052079852
02/2018,23149.622233990736
03/2018,22465.796437527355
04/2018,23194.740778353058
05/2018,24109.19522982493
06/2018,24177.35342450535
07/2018,24772.600576472716
08/2018,25241.780024033895
09/2018,25570.66423926068
10/2018,24241.916505643723
11/2018,24479.605658129905
12/2018,22445.811113839532
01/2019,24113.409880343967
02/2019,24999.72086667405
03/2019,25762.008260473616
04/2019,26727.05710172206
05/2019,25376.486752620298
06/2019,26500.141586831058
07/2019,27183.010484970084
08/2019,26928.39530863307
09/2019,27891.391242933805
10/2019,27932.07792745663
11/2019,29154.52469903028
12/2019,29373.445584202578
01/2020,29670.0272171541
02/2020,27358.46041734163
03/2020,23839.047379235915
04/2020,26620.82895227067
05/2020,27252.2153308958
06/2020,27840.749664319635
07/2020,27559.385939650347
08/2020,29222.592767573842
09/2020,28764.082714874774
10/2020,27888.759999197184
11/2020,30734.12152107138
12/2020,31272.767932405608
01/2021,31337.166487549515
02/2021,32178.21302503891
03/2021,34414.48830731336
04/2021,34956.705447463784
05/2021,35164.00932793935
06/2021,36641.01855505533
07/2021,37270.832758214696
08/2021,38405.87839051672
09/2021,37654.689074446396
10/2021,39532.979224386225
11/2021,39609.736708046614
12/2021,41433.687159904584
01/2022,39866.30741381577
02/2022,38688.21465965681
03/2022,40102.339888817434
04/2022,38744.50072942148
05/2022,38165.00537936041
06/2022,35984.913099809826
07/2022,39527.57519452772
08/2022,38664.1552340294
09/2022,35985.795035849966
10/2022,37908.61801314942
11/2022,38757.247180701845
12/2022,36136.41387580059
01/2023,38089.416378903516
02/2023,37928.632579486046
03/2023,38252.03159426333
04/2023,38589.27968077848
05/2023,39345.31476582292
06/2023,41008.7556552111
07/2023,41773.87299049539
08/2023,41375.85601188201
09/2023,40650.070422902725
10/2023,39418.352430474755
11/2023,41883.047184408584
12/2023,43444.67195378666
01/2024,44862.83829760767
02/2024,46818.08518937783
03/2024,48381.94590195711
04/2024,47039.370825726066
05/2024,48545.03362414441
06/2024,50278.63074211906
07/2024,50572.732446568414
08/2024,50727.352022442035
09/2024,51156.211441912215
