Date,Solactive Gerd Kommer Multifactor Equity
07/2017,10000
08/2017,9981.387704016912
09/2017,10195.318312722344
10/2017,10533.441699604744
11/2017,10521.243893999494
12/2017,10597.51966146919
01/2018,10750.393288913865
02/2018,10474.897437366955
03/2018,10198.140321402485
04/2018,10494.300943786739
05/2018,10735.432481408669
06/2018,10629.643309315494
07/2018,10850.272852760736
08/2018,10887.861737189942
09/2018,10966.710305805114
10/2018,10357.848400777524
11/2018,10475.734571705258
12/2018,9710.98019213974
01/2019,10478.250078342619
02/2019,10789.949421864052
03/2019,11022.440587449933
04/2019,11362.896407559281
05/2019,10703.845278450362
06/2019,11175.995878734624
07/2019,11370.804600484262
08/2019,11101.439570496557
09/2019,11548.00951418863
10/2019,11622.073103819259
11/2019,12034.430641048988
12/2019,12227.54268292683
01/2020,12070.576058631923
02/2020,11119.8710849959
03/2020,9274.776834611173
04/2020,10334.553530709822
05/2020,10522.918480603448
06/2020,10786.577960350061
07/2020,10678.518306887236
08/2020,11121.203216080401
09/2020,11007.233840109328
10/2020,10821.560916395965
11/2020,11988.067687813023
12/2020,12320.851992502648
01/2021,12435.683404746209
02/2021,12878.221623628415
03/2021,13714.03888272921
04/2021,13790.14444628373
05/2021,13984.743053848046
06/2021,14377.613825311344
07/2021,14352.877571272391
08/2021,14715.82919553828
09/2021,14478.525485793247
10/2021,14924.558643194503
11/2021,14753.335897210241
12/2021,15466.262564012008
01/2022,15071.759887056292
02/2022,14677.44157514064
03/2022,14981.107810107198
04/2022,14739.74863377609
05/2022,14684.529039484742
06/2022,13765.197082892077
07/2022,14746.489762698571
08/2022,14588.15346
09/2022,13514.080272876487
10/2022,14108.714192051646
11/2022,14680.33690246723
12/2022,13902.64106506657
01/2023,14702.754666297426
02/2023,14520.210387042092
03/2023,14392.560579310348
04/2023,14408.372516164283
05/2023,14398.753748946925
06/2023,14997.306957482053
07/2023,15484.469953733102
08/2023,15215.642224880381
09/2023,15091.566405512554
10/2023,14470.956766173838
11/2023,15274.173433354681
12/2023,15917.306497737556
01/2024,16198.236624527084
02/2024,16838.308165527433
03/2024,17428.22461381926
04/2024,17058.41937861541
05/2024,17366.485339107996
06/2024,17762.160056048575
07/2024,17992.41075914296
08/2024,18008.51302426265
09/2024,18339.09654340836
