Date,Solactive Global Equity
09/2017,10000
10/2017,10317.651140845725
11/2017,10259.448498454842
12/2017,10287.99315135865
01/2018,10501.81862990422
02/2018,10253.350008160865
03/2018,9952.960988902305
04/2018,10310.68143765261
05/2018,10562.46196550386
06/2018,10492.053695250592
07/2018,10814.793757100224
08/2018,10829.154718115067
09/2018,10963.764677397212
10/2018,10423.385688976996
11/2018,10533.824354399896
12/2018,9760.53102912294
01/2019,10424.477407374181
02/2019,10782.39674343645
03/2019,11004.893276419856
04/2019,11425.511837578246
05/2019,10812.826502166683
06/2019,11246.675393207783
07/2019,11521.215547367068
08/2019,11385.565753334336
09/2019,11828.554813451268
10/2019,11945.303827391755
11/2019,12340.516696265568
12/2019,12516.09527999334
01/2020,12417.233153217814
02/2020,11456.96197469159
03/2020,9945.176280093867
04/2020,10755.7199018102
05/2020,11078.198383608227
06/2020,11327.564160074022
07/2020,11099.250173215716
08/2020,11623.493347543688
09/2020,11483.87661636475
10/2020,11161.495416404097
11/2020,12595.69992660626
12/2020,12865.471108915664
01/2021,12843.163302696761
02/2021,13338.327854924677
03/2021,14214.843695110076
04/2021,14346.88325206697
05/2021,14559.41163944757
06/2021,14960.452771289321
07/2021,15067.685459716133
08/2021,15467.397073113787
09/2021,15328.746674852755
10/2021,15976.766935416752
11/2021,15837.980342583396
12/2021,16500.448036906568
01/2022,16132.794031651187
02/2022,15671.343040619491
03/2022,16113.084731399444
04/2022,15719.326766449009
05/2022,15714.55779459913
06/2022,14680.43240695803
07/2022,15968.188839179073
08/2022,15509.098554067625
09/2022,14437.744488173232
10/2022,15383.010483739343
11/2022,16214.988536956831
12/2022,15374.33510566429
01/2023,16239.479779970103
02/2023,16217.312491960738
03/2023,16220.18554889115
04/2023,16271.615213582276
05/2023,16396.76721645317
06/2023,16954.224571878847
07/2023,17350.215695451643
08/2023,17039.298619570727
09/2023,16802.897269298825
10/2023,16334.928395163148
11/2023,17315.189910360194
12/2023,18018.846734627037
01/2024,18481.395929511746
02/2024,19174.805733575315
03/2024,19897.212010631825
04/2024,19408.459412396085
05/2024,19873.529287778056
06/2024,20118.45036518521
07/2024,20443.51005840153
08/2024,20573.742335001898
09/2024,20814.841317109607
