Date,Solactive Global SuperDividend
06/2011,10000
07/2011,9781.950909949808
08/2011,9108.602885546123
09/2011,8627.799127882265
10/2011,9227.485129105386
11/2011,9269.077351582722
12/2011,9539.261443568124
01/2012,9947.43843002575
02/2012,10075.04159517869
03/2012,10102.612260323045
04/2012,10177.106505961474
05/2012,9965.554811446149
06/2012,10351.6116437534
07/2012,10948.779557048041
08/2012,10851.438183910795
09/2012,10726.362798198563
10/2012,10684.412788558175
11/2012,10625.308658520704
12/2012,10717.569923018696
01/2013,11106.924974193473
02/2013,11481.888906495256
03/2013,11930.05669697955
04/2013,12194.098379688849
05/2013,11440.848565811573
06/2013,10929.78191342911
07/2013,11366.549645454492
08/2013,11115.605757655638
09/2013,11495.576397213847
10/2013,11922.866221465409
11/2013,11783.76300282942
12/2013,11738.426311278548
01/2014,11712.936582128697
02/2014,12186.54311563528
03/2014,12441.415632867762
04/2014,12696.098239056497
05/2014,13219.5394806957
06/2014,13533.829271703475
07/2014,13708.594962374445
08/2014,14247.40742217177
09/2014,13766.738694298157
10/2014,14040.319435558327
11/2014,14078.2906070584
12/2014,14078.929657181921
01/2015,14938.9281732324
02/2015,15667.470584785617
03/2015,16035.8567671902
04/2015,16040.374179476561
05/2015,15877.014500962874
06/2015,15031.503527235494
07/2015,15346.37317755664
08/2015,14000.849731856024
09/2015,13525.83644912522
10/2015,14530.618257460628
11/2015,14967.49184819528
12/2015,14361.301104860602
01/2016,13335.091865864573
02/2016,13443.642913612084
03/2016,14202.53333700489
04/2016,14552.001497039337
05/2016,14891.18010308185
06/2016,15138.831858603153
07/2016,15845.212513631528
08/2016,15745.176167378482
09/2016,15724.485618955936
10/2016,15356.338504485335
11/2016,15902.905753918765
12/2016,16585.66112597083
01/2017,16512.813004046577
02/2017,17035.52001764741
03/2017,17051.285022283373
04/2017,16933.000365156226
05/2017,16398.896498039532
06/2017,16477.71353407678
07/2017,16336.220989598027
08/2017,16177.757449712106
09/2017,16441.438590138645
10/2017,16394.81322687791
11/2017,16187.556378304274
12/2017,16380.33943316479
01/2018,16072.209889156964
02/2018,15420.527272516068
03/2018,15316.28941800278
04/2018,15853.71486255144
05/2018,16507.53716394124
06/2018,16716.101473899216
07/2018,16802.041746531955
08/2018,16721.034063668685
09/2018,16735.791206915517
10/2018,16091.34891568591
11/2018,16230.095790014802
12/2018,14643.291880502393
01/2019,16262.248391863117
02/2019,16018.983101191256
03/2019,16027.266826472453
04/2019,15848.938635168908
05/2019,15200.943347005632
06/2019,15353.719341415248
07/2019,15711.992671089725
08/2019,15221.420272909823
09/2019,16213.312909219281
10/2019,16149.346156873056
11/2019,16422.166142521437
12/2019,16792.83568517168
01/2020,16546.38779442082
02/2020,14763.431140696994
03/2020,9178.826636383303
04/2020,10394.41932715061
05/2020,10290.257431071443
06/2020,10867.455458822462
07/2020,10517.049718459542
08/2020,10584.743879499321
09/2020,10371.196401936675
10/2020,10356.94602771711
11/2020,11777.904879146114
12/2020,12217.57364286723
01/2021,12383.09848545265
02/2021,12961.442901341006
03/2021,13904.642325807801
04/2021,13893.155217382455
05/2021,14053.5330170014
06/2021,14280.29316806163
07/2021,13446.922021599736
08/2021,14055.476368536189
09/2021,14064.802808381346
10/2021,13798.40681902587
11/2021,13374.50372807694
12/2021,13771.351790199882
01/2022,13966.117979424222
02/2022,12981.750892542084
03/2022,13145.347599112622
04/2022,13160.330089171857
05/2022,12405.386687801252
06/2022,11394.573130771614
07/2022,11960.044703102052
08/2022,11630.351755426045
09/2022,10276.4703135576
10/2022,10403.790990784413
11/2022,10994.793635123224
12/2022,10453.531992943592
01/2023,11176.788386711678
02/2023,10683.210541591256
03/2023,10016.275675425954
04/2023,9852.416863672155
05/2023,9441.759202949785
06/2023,10126.442007222742
07/2023,10590.352544613675
08/2023,10328.949389532028
09/2023,10439.43428172047
10/2023,9760.521391652528
11/2023,10205.713847656198
12/2023,10728.85170265237
01/2024,10523.409295503347
02/2024,10370.40276701528
03/2024,10718.890325769782
04/2024,10931.014616567436
05/2024,11450.698366904971
06/2024,11361.506640562227
07/2024,11535.34698822542
08/2024,11408.19243453632
09/2024,11939.324537522874
