Date,Solactive Hydrogen Economy
11/2018,10000
12/2018,9526.585586491105
01/2019,10442.255503065635
02/2019,10688.511408181728
03/2019,11018.192783194292
04/2019,11837.370590009046
05/2019,11321.74087848025
06/2019,11967.031862498745
07/2019,11519.750728716455
08/2019,10755.854859784904
09/2019,11404.161222233392
10/2019,11992.160016082018
11/2019,12590.210071363957
12/2019,13225.449793949143
01/2020,13166.147351492613
02/2020,12537.943511910746
03/2020,10416.122223339029
04/2020,12146.949442154992
05/2020,13854.65875967434
06/2020,16671.02221328777
07/2020,18521.459443160118
08/2020,20648.30636244849
09/2020,20268.368680269374
10/2020,19569.806010654338
11/2020,27347.472107749523
12/2020,30694.542165041716
01/2021,37088.14956277013
02/2021,34514.02150969947
03/2021,34668.81093577244
04/2021,34137.09920595035
05/2021,33994.371293597345
06/2021,33865.71514725098
07/2021,31455.422655543272
08/2021,31902.703789325562
09/2021,30381.947934465778
10/2021,33550.10553824505
11/2021,31024.22354005428
12/2021,29948.73856669012
01/2022,25826.71625288974
02/2022,26304.15117097196
03/2022,26936.37551512715
04/2022,24149.16071967032
05/2022,24808.523469695447
06/2022,20675.444768318426
07/2022,22823.399336616745
08/2022,22252.487687204746
09/2022,17724.394411498644
10/2022,17875.16333299829
11/2022,19862.297718363658
12/2022,18682.279626093077
01/2023,21431.299628103327
02/2023,20183.938084229572
03/2023,19667.303246557443
04/2023,18901.39712533923
05/2023,18213.890843300836
06/2023,19528.59583877777
07/2023,20647.301236305157
08/2023,18123.429490401046
09/2023,16816.76550407076
10/2023,15345.260830234192
11/2023,16979.595939290382
12/2023,18086.2398230978
01/2024,17246.959493416423
02/2024,17176.600663383255
