Date,Solactive Smart City
01/2013,10000
02/2013,10469.001610305959
03/2013,11005.434782608696
04/2013,10945.048309178745
05/2013,11433.172302737521
06/2013,11083.937198067633
07/2013,11479.468599033817
08/2013,11482.487922705313
09/2013,12071.256038647343
10/2013,12480.877616747182
11/2013,12732.487922705313
12/2013,12796.900161030597
01/2014,12695.24959742351
02/2014,13113.929146537843
03/2014,13015.297906602254
04/2014,12811.996779388084
05/2014,13336.35265700483
06/2014,13544.685990338166
07/2014,13664.452495974236
08/2014,14101.247987117555
09/2014,14046.900161030597
10/2014,14576.288244766509
11/2014,14759.460547504026
12/2014,15178.140096618357
01/2015,16333.5346215781
02/2015,17410.426731078904
03/2015,18638.28502415459
04/2015,18586.956521739132
05/2015,19514.895330112722
06/2015,18889.895330112722
07/2015,18618.15619967794
08/2015,16912.238325281804
09/2015,16471.417069243158
10/2015,18063.607085346215
11/2015,18974.436392914653
12/2015,18292.0692431562
01/2016,16779.38808373591
02/2016,16873.99355877617
03/2016,17630.83735909823
04/2016,17845.209339774556
05/2016,18184.380032206118
06/2016,18272.946859903383
07/2016,19315.61996779388
08/2016,19460.547504025766
09/2016,19496.779388083734
10/2016,19386.07085346216
11/2016,19871.175523349437
12/2016,19897.34299516908
01/2017,20246.578099838967
02/2017,21165.45893719807
03/2017,21678.74396135266
04/2017,22084.339774557167
05/2017,22052.133655394526
06/2017,21914.25120772947
07/2017,21549.91948470209
08/2017,21651.57004830918
09/2017,22197.06119162641
10/2017,22686.191626409018
11/2017,22450.684380032206
12/2017,22640.901771336554
01/2018,23098.832528180355
02/2018,22893.51851851852
03/2018,22246.376811594204
04/2018,22532.20611916264
05/2018,23501.409017713366
06/2018,23254.830917874395
07/2018,23387.68115942029
08/2018,23817.43156199678
09/2018,23819.444444444445
10/2018,22302.737520128823
11/2018,23008.252818035427
12/2018,20999.3961352657
01/2019,23158.212560386473
02/2019,24444.444444444445
03/2019,25142.91465378422
04/2019,25904.790660225444
05/2019,24480.676328502417
06/2019,25560.587761674717
07/2019,26211.755233494365
08/2019,25531.400966183573
09/2019,25954.10628019324
10/2019,25792.0692431562
11/2019,26866.94847020934
12/2019,27573.47020933978
01/2020,27555.354267310788
02/2020,25707.528180354268
03/2020,21399.959742351046
04/2020,23896.94041867955
05/2020,25353.260869565216
06/2020,26208.73590982287
07/2020,26123.1884057971
08/2020,27570.450885668277
09/2020,27095.41062801933
10/2020,27210.144927536232
11/2020,29973.832528180355
12/2020,30645.12882447665
01/2021,31453.30112721417
02/2021,32256.441223832528
03/2021,33184.38003220612
04/2021,32801.932367149755
05/2021,32316.82769726248
06/2021,34102.25442834138
07/2021,32602.65700483092
08/2021,33458.13204508857
09/2021,32775.76489533012
10/2021,33290.056360708535
11/2021,32693.23671497584
12/2021,33550.72463768116
01/2022,31329.50885668277
02/2022,30614.935587761676
03/2022,30504.227053140094
04/2022,29638.687600644123
05/2022,29406.19967793881
06/2022,28663.446054750402
07/2022,29727.254428341384
08/2022,29190.82125603865
09/2022,27096.417069243158
10/2022,27783.816425120775
11/2022,29314.613526570047
12/2022,27632.850241545893
01/2023,29827.898550724636
02/2023,29669.88727858293
03/2023,29177.73752012883
04/2023,28415.861513687596
05/2023,28102.858293075686
06/2023,29103.260869565216
07/2023,30234.500805152984
08/2023,28730.877616747188
09/2023,28016.304347826088
10/2023,26154.38808373591
11/2023,27401.36876006441
12/2023,28135.064412238324
01/2024,27111.513687600644
02/2024,28933.17230273752
03/2024,29434.380032206118
04/2024,29358.89694041868
05/2024,29491.74718196457
06/2024,29197.866344605474
07/2024,29642.713365539446
08/2024,28986.513687600644
09/2024,31248.99355877617
