Date,Solactive Smart Factory
01/2013,10000
02/2013,10371.833839918945
03/2013,10667.679837892603
04/2013,10478.21681864235
05/2013,11082.066869300912
06/2013,10815.602836879432
07/2013,11385.005065856129
08/2013,11527.862208713272
09/2013,11843.971631205673
10/2013,11950.354609929078
11/2013,12238.095238095239
12/2013,12713.272543059777
01/2014,12876.393110435663
02/2014,13264.437689969602
03/2014,12605.876393110435
04/2014,11931.104356636271
05/2014,12437.689969604862
06/2014,13172.239108409321
07/2014,13097.26443768997
08/2014,13684.903748733535
09/2014,13995.947315096248
10/2014,14399.18946301925
11/2014,14590.678824721377
12/2014,14781.155015197566
01/2015,15583.586626139817
02/2015,16968.591691995945
03/2015,17435.66362715299
04/2015,17163.120567375885
05/2015,18308.004052684904
06/2015,17225.93718338399
07/2015,16953.394123606893
08/2015,15442.755825734546
09/2015,14854.103343465047
10/2015,16373.860182370823
11/2015,17573.454913880447
12/2015,16452.887537993916
01/2016,14727.456940222899
02/2016,14699.088145896658
03/2016,15490.374873353594
04/2016,15452.88753799392
05/2016,16033.434650455927
06/2016,15937.183383991895
07/2016,16893.617021276594
08/2016,17229.98986828774
09/2016,17458.966565349543
10/2016,17233.029381965553
11/2016,17758.86524822695
12/2016,17656.534954407296
01/2017,18486.32218844985
02/2017,19260.385005065855
03/2017,19417.42654508612
04/2017,19646.403242147924
05/2017,19997.973657548126
06/2017,19545.086119554206
07/2017,19424.51874366768
08/2017,19478.21681864235
09/2017,20175.27862208713
10/2017,21339.412360688955
11/2017,20932.117527862207
12/2017,20817.629179331307
01/2018,21390.070921985814
02/2018,21984.80243161094
03/2018,21961.499493414387
04/2018,22408.308004052684
05/2018,23541.033434650457
06/2018,23310.03039513678
07/2018,23711.2462006079
08/2018,25744.68085106383
09/2018,25626.139817629177
10/2018,22784.194528875378
11/2018,23352.58358662614
12/2018,21457.953394123608
01/2019,24010.131712259372
02/2019,25847.011144883483
03/2019,26446.808510638293
04/2019,27869.3009118541
05/2019,25516.717325227964
06/2019,26867.274569402227
07/2019,27800.405268490373
08/2019,26796.352583586624
09/2019,27167.173252279634
10/2019,27436.676798378925
11/2019,29495.44072948328
12/2019,29481.25633232016
01/2020,30445.79533941236
02/2020,28504.55927051671
03/2020,24880.445795339412
04/2020,28248.22695035461
05/2020,30901.72239108409
06/2020,32267.477203647417
07/2020,32306.990881458965
08/2020,33997.97365754812
09/2020,33391.08409321175
10/2020,33091.18541033434
11/2020,36543.05977710233
12/2020,38442.755825734544
01/2021,39473.150962512664
02/2021,38932.11752786221
03/2021,38868.28774062816
04/2021,38931.10435663627
05/2021,38399.18946301925
06/2021,41521.78318135765
07/2021,41553.1914893617
08/2021,43914.89361702128
09/2021,42921.985815602835
10/2021,45143.87031408308
11/2021,44796.352583586624
12/2021,44441.74265450861
01/2022,39679.83789260385
02/2022,38870.31408308004
03/2022,39082.066869300914
04/2022,36531.91489361702
05/2022,35043.5663627153
06/2022,33219.85815602837
07/2022,36410.33434650456
08/2022,35560.28368794326
09/2022,32539.007092198586
10/2022,33945.28875379939
11/2022,34059.77710233029
12/2022,31631.205673758865
01/2023,34738.6018237082
02/2023,35691.99594731509
03/2023,36496.453900709224
04/2023,34097.26443768997
05/2023,36520.77001013171
06/2023,37180.34447821682
07/2023,38005.06585612969
08/2023,36900.70921985815
09/2023,36067.88247213779
10/2023,34026.34245187436
11/2023,36827.760891590675
12/2023,38927.05167173252
01/2024,38035.46099290781
02/2024,40294.83282674772
03/2024,40225.93718338398
04/2024,38646.40324214792
05/2024,37809.52380952381
06/2024,39331.30699088146
07/2024,39414.3870314083
08/2024,38963.52583586626
09/2024,41170.21276595745
