Date,Solactive Travel
06/2017,10000
07/2017,9762.371536781751
08/2017,9581.607207049543
09/2017,9694.1613357174
10/2017,10003.85642776745
11/2017,10095.935154712988
12/2017,10253.050889641514
01/2018,10416.198731895603
02/2018,10196.746225818652
03/2018,9935.869069207958
04/2018,9986.414101395245
05/2018,10465.099315824535
06/2018,10008.12070483765
07/2018,10177.66446338398
08/2018,10261.660894642027
09/2018,10343.83868256687
10/2018,9409.913663676269
11/2018,9918.714319274719
12/2018,8890.900251512046
01/2019,9736.175241643661
02/2019,9982.572063973385
03/2019,9985.741343978818
04/2019,10421.920766047162
05/2019,9496.873451450869
06/2019,9841.545202070496
07/2019,10008.016420532926
08/2019,9611.26742197612
09/2019,9937.048118604667
10/2019,10056.221607617183
11/2019,10420.498509867022
12/2019,10670.867519924686
01/2020,9955.892699674656
02/2020,8474.455053754413
03/2020,5411.74511633604
04/2020,6039.300706521784
05/2020,6077.743808301799
06/2020,5981.228899250722
07/2020,5349.303965038263
08/2020,6324.629815078777
09/2020,6034.893039689587
10/2020,5905.1383677558015
11/2020,7572.5552603259275
12/2020,7604.865094302164
01/2021,7193.608247246884
02/2021,9027.258892362424
03/2021,9278.885275712202
04/2021,9164.469943562619
05/2021,9155.116625886609
06/2021,8682.767364730013
07/2021,8193.548199782823
08/2021,8338.552644652376
09/2021,8847.74084503431
10/2021,8658.167091927347
11/2021,7912.793394014383
12/2021,8500.032142272537
01/2022,8648.896722092017
02/2022,8671.449862332162
03/2022,8775.617291189761
04/2022,8962.624580483933
05/2022,8209.541029910157
06/2022,6849.4034616198305
07/2022,7535.252893124064
08/2022,7577.722415680031
09/2022,6938.483655392785
10/2022,7723.624243009832
11/2022,7955.306886306206
12/2022,7152.461878136111
01/2023,8331.366579874928
02/2023,8358.127294090466
03/2023,7983.885768786086
04/2023,7805.487342845811
05/2023,8013.654372808197
06/2023,8986.306776357198
07/2023,9298.140943584523
08/2023,8591.835668272155
09/2023,8282.4654860551
10/2023,7539.101388081344
11/2023,8248.363498931954
12/2023,9049.367141604962
01/2024,9138.175594217575
02/2024,9545.997106976845
03/2024,9869.061367637389
04/2024,9516.124974794991
05/2024,9274.114474711958
06/2024,9537.226933856387
07/2024,9120.604973739948
08/2024,9057.058572848779
09/2024,9862.322732840648
