Date,Solactive €STR +8.5 Daily
01/2003,10000
02/2003,10021.351745056174
03/2003,10045.197852852554
04/2003,10066.749146927943
05/2003,10088.001117474507
06/2003,10107.457146848123
07/2003,10125.616107596832
08/2003,10142.877097759065
09/2003,10161.235607526989
10/2003,10178.995470237263
11/2003,10194.36074471694
12/2003,10213.617225071339
01/2004,10230.878215233572
02/2004,10247.041685790115
03/2004,10265.89906810608
04/2004,10283.559156306746
05/2004,10301.31901901702
06/2004,10318.779558198472
07/2004,10336.539420908746
08/2004,10355.297028715102
09/2004,10372.957116915772
10/2004,10390.617205116438
11/2004,10409.973459980445
12/2004,10428.232195238761
01/2005,10446.989803045119
02/2005,10463.652146149701
03/2005,10482.210204936842
04/2005,10499.770518627902
05/2005,10519.12677349191
06/2005,10537.185959731009
07/2005,10554.746273422064
08/2005,10574.80094985333
09/2005,10593.259234130865
10/2005,10612.216390956437
11/2005,10630.674675233971
12/2005,10650.52980264602
01/2006,10672.67974377906
02/2006,10692.135773152677
03/2006,10715.283459381797
04/2006,10737.23385149562
05/2006,10762.676351445733
06/2006,10786.722008261328
07/2006,10812.96270428831
08/2006,10840.600243449804
09/2006,10867.140263005607
10/2006,10898.669008041825
11/2006,10929.000458962742
12/2006,10959.731007922097
01/2007,10995.749605890687
02/2007,11026.28060583082
03/2007,11060.10416458803
04/2007,11096.621635104664
05/2007,11132.93955660208
06/2007,11168.35950751302
07/2007,11208.768183904376
08/2007,11247.879791670824
09/2007,11283.00041905294
10/2007,11323.80819348273
11/2007,11361.922056153095
12/2007,11399.836369804243
01/2008,11439.147526589906
02/2008,11476.363418673798
03/2008,11516.772095065153
04/2008,11555.085506754733
05/2008,11593.698241973141
06/2008,11633.608045816454
07/2008,11675.613114361544
08/2008,11716.121565262507
09/2008,11760.720771057411
10/2008,11799.632829804643
11/2008,11828.966535629477
12/2008,11856.10520224293
01/2009,11874.862810049288
02/2009,11886.43665316385
03/2009,11897.611398239978
04/2009,11906.491329595116
05/2009,11913.675094286911
06/2009,11921.158182507534
07/2009,11924.750064853431
08/2009,11928.34194719933
09/2009,11931.83405503562
10/2009,11935.425937381518
11/2009,11939.117594237023
12/2009,11942.709476582922
01/2010,11946.101809909604
02/2010,11949.19481970746
03/2010,11952.886476562968
04/2010,11956.378584399257
05/2010,11959.870692235549
06/2010,11963.26302556223
07/2010,11968.052202023428
08/2010,11972.5420549558
09/2010,11976.832358868958
10/2010,11983.517251012712
11/2010,11989.902819627641
12/2010,11994.891545108056
01/2011,12001.57643725181
02/2011,12008.161554885957
03/2011,12014.746672520105
04/2011,12024.125476423285
05/2011,12035.39999600902
06/2011,12046.474966575537
07/2011,12056.452417536366
08/2011,12066.429868497195
09/2011,12076.307544948415
10/2011,12086.684093947679
11/2011,12094.666054716341
12/2011,12100.951848821664
01/2012,12105.24215273482
02/2012,12108.834035080716
03/2012,12112.425917426615
04/2012,12116.117574282123
05/2012,12119.609682118413
06/2012,12122.802466425877
07/2012,12124.99750563726
08/2012,12126.194799752557
09/2012,12127.092770339033
10/2012,12128.190289944725
11/2012,12128.888711511985
12/2012,12129.68690758885
01/2013,12130.385329156108
02/2013,12131.083750723365
03/2013,12131.682397781015
04/2013,12132.58036836749
05/2013,12133.478338953964
06/2013,12134.276535030831
07/2013,12135.37405463652
08/2013,12136.172250713385
09/2013,12137.070221299862
10/2013,12137.968191886337
11/2013,12138.965936982422
12/2013,12140.761878155368
01/2014,12142.956917366751
02/2014,12144.453535010876
03/2014,12146.349250693434
04/2014,12148.94338794325
05/2014,12151.437750683457
06/2014,12152.435495779539
07/2014,12152.93436832758
08/2014,12153.133917346797
09/2014,12153.133917346797
10/2014,12153.133917346797
11/2014,12153.034142837188
12/2014,12152.734819308364
01/2015,12152.235946760322
02/2015,12152.036397741105
03/2015,12151.537525193064
04/2015,12150.839103625805
05/2015,12149.841358529722
06/2015,12148.644064414422
07/2015,12147.346995789516
08/2015,12146.149701674214
09/2015,12144.752858539701
10/2015,12143.356015405185
11/2015,12141.959172270668
12/2015,12139.764133059287
01/2016,12137.668868357512
02/2016,12135.074731107698
03/2016,12132.081495819448
04/2016,12128.788937002373
05/2016,12125.197054656477
06/2016,12121.804721329794
07/2016,12118.61193702233
08/2016,12114.820505657215
09/2016,12111.328397820924
10/2016,12107.736515475026
11/2016,12104.244407638736
12/2016,12100.652525292839
01/2017,12096.960868437332
02/2017,12093.56853511065
03/2017,12089.976652764752
04/2017,12086.584319438072
05/2017,12082.59333905374
06/2017,12079.001456707841
07/2017,12075.309799852334
08/2017,12071.61814299683
09/2017,12068.126035160538
10/2017,12064.234829285815
11/2017,12060.742721449524
12/2017,12057.45016263245
01/2018,12053.45918224812
02/2018,12050.066848921437
03/2018,12046.474966575537
04/2018,12042.583760700816
05/2018,12038.792329335702
06/2018,12035.300221499412
07/2018,12031.409015624686
08/2018,12027.717358769181
09/2018,12024.3250254425
10/2018,12020.334045058169
11/2018,12016.642388202665
12/2018,12012.950731347155
01/2019,12009.159299982042
02/2019,12005.76696665536
03/2019,12002.175084309461
04/2019,11998.283878434737
05/2019,11994.492447069622
06/2019,11991.19988825255
07/2019,11987.208907868218
08/2019,11983.517251012712
09/2019,11979.426496118771
10/2019,11974.637319657573
11/2019,11970.247241234809
12/2019,11965.458064773611
01/2020,11960.768662822022
02/2020,11956.578133418472
03/2020,11951.788956957278
04/2020,11947.299104024903
05/2020,11942.909025602139
06/2020,11938.020074631333
07/2020,11933.230898170135
08/2020,11928.441721708938
09/2020,11923.752319757348
10/2020,11919.162692315365
11/2020,11914.27374134456
12/2020,11909.484564883365
01/2021,11904.795162931774
02/2021,11900.40508450901
03/2021,11895.216810009379
04/2021,11890.42763354818
05/2021,11885.538682577375
06/2021,11880.749506116177
07/2021,11875.96032965498
08/2021,11870.871829664957
09/2021,11866.082653203759
10/2021,11861.493025761778
11/2021,11856.304751262147
12/2021,11851.316025781733
01/2022,11846.227525791712
02/2022,11841.737672859337
03/2022,11836.649172869316
04/2022,11831.959770917723
05/2022,11826.671721908488
06/2022,11821.782770937682
07/2022,11817.392692514917
08/2022,11817.392692514917
09/2022,11821.28389838964
10/2022,11828.866761119869
11/2022,11843.034741484245
12/2022,11859.198212040788
01/2023,11880.150859058527
02/2023,11901.801927643524
03/2023,11928.741045237763
04/2023,11956.478358908866
05/2023,11991.000339233333
06/2023,12024.025701913673
07/2023,12060.243848901482
08/2023,12098.956358629499
09/2023,12136.172250713385
10/2023,12179.175064354558
11/2023,12219.783289765131
12/2023,12258.994672041186
01/2024,12303.893201364916
02/2024,12343.503681679407
03/2024,12381.916867878594
04/2024,12427.314269750364
05/2024,12470.117534372319
06/2024,12507.532975475426
07/2024,12550.535789116599
08/2024,12589.846945902262
09/2024,12629.45742621675
