Date,TOPIX (EUR Hedged)
08/2005,10000
09/2005,11164.729836836208
10/2005,11418.22473967586
11/2005,12143.262319276286
12/2005,13055.708682937495
01/2006,13530.052064828227
02/2006,13144.513378337751
03/2006,13744.675312252317
04/2006,13654.088660526388
05/2006,12560.436879936593
06/2006,12618.472765038674
07/2006,12499.97608570882
08/2006,12997.523845964635
09/2006,12863.681707617045
10/2006,12918.26641886906
11/2006,12805.354751428025
12/2006,13435.891934734484
01/2007,13764.965563420701
02/2007,14009.696903440929
03/2007,13766.80628057613
04/2007,13679.197299734893
05/2007,14119.516111399602
06/2007,14280.409412665009
07/2007,13725.256907813824
08/2007,12929.330536500041
09/2007,13048.038344857745
10/2007,13080.257044466916
11/2007,12368.966082702453
12/2007,11930.545382492006
01/2008,10868.851977370248
02/2008,10686.269097269673
03/2008,9884.272595588838
04/2008,11050.786438547104
05/2008,11449.290087184674
06/2008,10763.884637459345
07/2008,10630.742162945147
08/2008,10250.526797671431
09/2008,8908.741015059171
10/2008,7016.896471617153
11/2008,6728.229112574818
12/2008,6938.751400694198
01/2009,6406.258711634645
02/2009,6132.735248298669
03/2009,6327.97698761923
04/2009,6850.272622919457
05/2009,7338.291563038072
06/2009,7588.54437125912
07/2009,7755.049331766379
08/2009,7882.361502090794
09/2009,7475.826067943918
10/2009,7358.540818278718
11/2009,6917.740987728553
12/2009,7465.176009183088
01/2010,7403.917160895351
02/2010,7351.533247697395
03/2010,8113.456913279948
04/2010,8181.622892126049
05/2010,7295.457651206647
06/2010,6970.454234879336
07/2010,7041.656645439886
08/2010,6668.064855557682
09/2010,6948.484517204624
10/2010,6790.663860723168
11/2010,7204.0777282789895
12/2010,7524.603706031868
01/2011,7631.8463199322205
02/2011,7984.461176856431
03/2011,7386.776763508158
04/2011,7247.131651589276
05/2011,7132.701085025555
06/2011,7234.243898439422
07/2011,7170.326464237886
08/2011,6572.785536636694
09/2011,6572.180846702561
10/2011,6606.040066686709
11/2011,6299.689114214655
12/2011,6312.011123561727
01/2012,6545.295034026621
02/2012,7249.767689742819
03/2012,7488.010740933067
04/2012,7045.450818552024
05/2012,6308.59206318839
06/2012,6755.57612943781
07/2012,6453.534532236465
08/2012,6423.266555522152
09/2012,6536.337423815901
10/2012,6580.390281232065
11/2012,6924.632403181285
12/2012,7617.029025116839
01/2013,8289.776298887644
02/2013,8595.05384131843
03/2013,9182.662138894204
04/2013,10259.690754051764
05/2013,10001.559895050425
06/2013,9988.5320724808
07/2013,9972.980267293447
08/2013,9735.968460466262
09/2013,10560.77782940228
10/2013,10561.124928257126
11/2013,11121.509880018584
12/2013,11507.95525977753
01/2014,10763.564869222992
02/2014,10677.987236601164
03/2014,10702.541064254285
04/2014,10341.926535297494
05/2014,10698.379294323431
06/2014,11264.235835906968
07/2014,11507.320506163054
08/2014,11409.122277187133
09/2014,11917.246986799311
10/2014,11968.395556041434
11/2014,12636.709803492853
12/2014,12632.677853999836
01/2015,12723.189346524912
02/2015,13686.807510453962
03/2015,13980.871300117522
04/2015,14438.171308316707
05/2015,15165.016808330372
06/2015,14803.731995955066
07/2015,15063.259449561345
08/2015,13977.158435595398
09/2015,12916.779633223101
10/2015,14251.262674574326
11/2015,14452.757659405834
12/2015,14187.96086255432
01/2016,13081.253245510947
02/2016,11840.986362021373
03/2016,12408.29757577414
04/2016,12361.868321080106
05/2016,12715.189674492334
06/2016,11436.204870316216
07/2016,12120.979666019843
08/2016,12182.774877695483
09/2016,12231.374183497774
10/2016,12874.308535352155
11/2016,13551.391128481238
12/2016,14022.066741370358
01/2017,14045.51231244363
02/2017,14172.980950558911
03/2017,14085.859137992293
04/2017,14254.682418213124
05/2017,14584.426330317856
06/2017,15009.49192380224
07/2017,15066.770750772088
08/2017,15047.595588838176
09/2017,15687.945147448687
10/2017,16543.48984667523
11/2017,16784.966793298532
12/2017,17041.317745770586
01/2018,17212.893219273552
02/2018,16573.151083659024
03/2018,16221.162781163739
04/2018,16784.06078329553
05/2018,16481.163737735387
06/2018,16347.157615676846
07/2018,16549.17666511793
08/2018,16363.599032496106
09/2018,17244.667796332233
10/2018,15588.995326464239
11/2018,15783.905682035585
12/2018,14162.76339883572
01/2019,14864.371805733961
02/2019,15244.33367952117
03/2019,15251.813386536938
04/2019,15503.743611467928
05/2019,14477.243160512722
06/2019,14871.55292574271
07/2019,15003.605591844542
08/2019,14488.396785919265
09/2019,15346.809150291072
10/2019,16090.746535844106
11/2019,16398.778321353413
12/2019,16640.80119708109
01/2020,16270.527344283802
02/2020,14579.360600180382
03/2020,13667.460165623548
04/2020,14266.625898494083
05/2020,15230.488671458637
06/2020,15194.712208587282
07/2020,14597.109787094483
08/2020,15781.710350105224
09/2020,15984.388067451964
10/2020,15517.238787613764
11/2020,17218.204924977454
12/2020,17717.12194921971
01/2021,17748.235125310886
02/2021,18307.924512831727
03/2021,19343.384623794038
04/2021,18791.763918117467
05/2021,19038.137828309056
06/2021,19249.516248052692
07/2021,18811.374320150862
08/2021,19397.162398535078
09/2021,20221.78728579628
10/2021,19916.7434201536
11/2021,19157.909480991555
12/2021,19800.62723769439
01/2022,18823.83981524502
02/2022,18733.50255541283
03/2022,19467.943917570854
04/2022,18985.72043510345
05/2022,19130.997704228048
06/2022,18725.522698078657
07/2022,19420.665363907185
08/2022,19651.87624695947
09/2022,18577.910027603924
10/2022,19508.31534067616
11/2022,20114.515291481046
12/2022,19217.5824701413
01/2023,20101.33783377518
02/2023,20328.17308480691
03/2023,20720.870343545874
04/2023,21324.223810434833
05/2023,22163.735002323105
06/2023,23891.308863319577
07/2023,24327.81027084643
08/2023,24512.309710568752
09/2023,24723.934789144278
10/2023,24076.212796195578
11/2023,25467.69315914619
12/2023,25485.28656153489
01/2024,27529.704965973382
02/2024,28956.43499412392
03/2024,30326.842083686355
04/2024,30128.593293066224
05/2024,30578.904178851568
06/2024,31117.499111754896
07/2024,31030.916395638036
08/2024,30142.53805788625
09/2024,29737.52015633114
