Date,TOPIX
06/2003,10000
07/2003,10520.985817193347
08/2003,11970.697843013844
09/2003,12066.991455848662
10/2003,12561.0459817084
11/2003,11622.178627530282
12/2003,11795.967383232493
01/2004,12200.000470827612
02/2004,12185.421008050831
03/2004,14250.668628451374
04/2004,13803.667460750741
05/2004,13128.828336501265
06/2004,13797.5631796057
07/2004,13038.297371257679
08/2004,13039.909548220814
09/2004,12387.40915507334
10/2004,12384.278134400742
11/2004,12408.274884242748
12/2004,12700.62188108846
01/2005,13102.465484423918
02/2005,13163.012590951907
03/2005,13255.957897789045
04/2005,12874.714674528119
05/2005,13310.441855157394
06/2005,13657.963189482816
07/2005,13779.089579679954
08/2005,14523.223312727616
09/2005,16173.59295179903
10/2005,16143.628434493716
11/2005,17025.063557125322
12/2005,18544.14095946626
01/2006,18788.179467147827
02/2006,18766.03082444476
03/2006,19050.88290611325
04/2006,18806.878785153207
05/2006,17188.441692765686
06/2006,17101.2264082641
07/2006,16932.37276340785
08/2006,17052.943946096246
09/2006,17016.41065227363
10/2006,17058.643384855503
11/2006,16499.363318091677
12/2006,16909.81965191215
01/2007,17284.137567863323
02/2007,17688.426799970333
03/2007,17296.75271990919
04/2007,16589.582803487716
05/2007,17045.88660799574
06/2007,16921.840598200502
07/2007,16569.60051598894
08/2007,16046.514110877708
09/2007,15787.831823881595
10/2007,15545.369570207062
11/2007,14974.858562249758
12/2007,14302.714030857835
01/2008,13627.798503293476
02/2008,13399.774039142598
03/2008,12440.247129307263
04/2008,13484.674822402545
05/2008,13880.831655695418
06/2008,12809.498481918221
07/2008,12457.001674587202
08/2008,12650.667977170335
09/2008,11768.591919675406
10/2008,11299.711193274017
11/2008,11193.841267874524
12/2008,11105.312574383808
01/2009,11259.415552822245
02/2009,10016.309114572248
03/2009,9734.44073558539
04/2009,10608.654897994202
05/2009,10960.281955369715
06/2009,11314.442628162808
07/2009,11579.808294957355
08/2009,11968.27864358407
09/2009,11533.727676286851
10/2009,11039.450008815871
11/2009,10755.236562218144
12/2009,11321.57342413721
01/2010,11865.505351980963
02/2010,12286.815595983639
03/2010,13026.032350558464
04/2010,13148.241936032224
05/2010,13102.789023058158
06/2010,12975.938545012368
07/2010,12655.615316761317
08/2010,12613.028176506257
09/2010,12344.136227945755
10/2010,12262.893064358943
11/2010,13362.797595503469
12/2010,14008.908031933548
01/2011,13701.009220206417
02/2011,14228.699361652896
03/2011,12659.477082130154
04/2011,12089.94948155105
05/2011,12251.122846740991
06/2011,12522.682574052325
07/2011,13042.484244173496
08/2011,11954.013092396995
09/2011,12701.37566651982
10/2011,12116.268575043132
11/2011,12132.292119671058
12/2011,12608.299010540766
01/2012,13014.357566640536
02/2012,13437.59931242774
03/2012,13670.113161757063
04/2012,13320.020393126922
05/2012,12916.038681512842
06/2012,13501.124381657793
07/2012,13461.03696867296
08/2012,12984.852568276337
09/2012,13032.33160356226
10/2012,12688.418903235812
11/2012,12911.269269867726
12/2012,13439.37504533724
01/2013,13540.395612320968
02/2013,14316.50514029798
03/2013,15342.727717615411
04/2013,16397.863947303704
05/2013,15603.284492914954
06/2013,15732.47942268798
07/2013,15629.993004036482
08/2013,15278.920388086208
09/2013,16382.05314713267
10/2013,16114.471255172672
11/2013,16347.023883657874
12/2013,16290.744003725938
01/2014,15998.818135763284
02/2014,15603.324185122485
03/2014,15438.498698857738
04/2014,14956.314601842003
05/2014,15872.981311072603
06/2014,16699.41341974381
07/2014,17152.120266230228
08/2014,17072.723177392396
09/2014,17713.779117522037
10/2014,17549.48336504233
11/2014,17615.61452126361
12/2014,17901.07688582313
01/2015,19641.335980623797
02/2015,21003.463830268855
03/2015,22284.06666256631
04/2015,22257.76583543319
05/2015,22925.884081133
06/2015,22197.35705191672
07/2015,22706.11750278835
08/2015,21077.447422776157
09/2015,19693.64742056379
10/2015,22042.404250947464
11/2015,22811.694680511995
12/2015,22227.305282215508
01/2016,20389.80986990633
02/2016,19852.42266947577
03/2016,20036.09998898167
04/2016,20843.60602089763
05/2016,21196.62624286479
06/2016,20807.981004067668
07/2016,21944.364260978276
08/2016,22030.231403212096
09/2016,22481.018629120026
10/2016,23288.346468019317
11/2016,23443.329503489636
12/2016,23683.147823859043
01/2017,24018.305346337333
02/2017,24879.603510249526
03/2017,24584.753843690785
04/2017,24445.019282994344
05/2017,24498.871498251534
06/2017,24562.3195766466
07/2017,24295.569251231518
08/2017,24077.95017335559
09/2017,24743.925305855726
10/2017,26254.43893942522
11/2017,26427.406503418268
12/2017,26458.73648034626
01/2018,26622.904135550696
02/2018,26594.768759936185
03/2018,25965.967432308684
04/2018,26690.863050084437
05/2018,27232.201005657425
06/2018,26668.030714464174
07/2018,26643.53986770198
08/2018,26744.117206385024
09/2018,27759.155767926357
10/2018,25750.465707225107
11/2018,25915.734117505566
12/2018,23850.1262745686
01/2019,25232.42223673903
02/2019,25553.811123028976
03/2019,25985.533981935194
04/2019,26313.769791333278
05/2019,25339.275763994992
06/2019,25757.415116457985
07/2019,26326.86589812755
08/2019,26254.533409381256
09/2019,27766.48722473714
10/2019,28394.47685899484
11/2019,29018.813758222943
12/2019,29074.79068240835
01/2020,28829.101724628308
02/2020,26081.84088494124
03/2020,24613.88902204714
04/2020,26356.12168124753
05/2020,27345.3213911809
06/2020,26983.47577480617
07/2020,25136.999014308658
08/2020,26727.518575851234
09/2020,27667.87937025511
10/2020,27190.75068219363
11/2020,29631.30638153998
12/2020,30099.902281308125
01/2021,30037.049539953154
02/2021,30545.1262176261
03/2021,32019.440649082368
04/2021,30706.797375725404
05/2021,30625.532438573795
