Date,UBS CMCI
01/2011,10000
02/2011,10167.394502121448
03/2011,10000.86214841504
04/2011,9682.284125828879
05/2011,9718.944297289301
06/2011,9426.097715991416
07/2011,9896.34311306018
08/2011,9701.569282854682
09/2011,8882.594917629729
10/2011,9247.535748204418
11/2011,9363.321606785548
12/2011,9516.770659812426
01/2012,9720.873005962621
02/2012,9876.053548697973
03/2012,9693.76255035867
04/2012,9694.241117257028
05/2012,9367.69274820054
06/2012,9525.893353384505
07/2012,10223.350704300874
08/2012,10252.873123804406
09/2012,10157.11124434175
10/2012,9693.063009888781
11/2012,9872.073928772219
12/2012,9594.414534766363
01/2013,9587.29510125212
02/2013,9496.723287011791
03/2013,9684.23350432153
04/2013,9168.779237178689
05/2013,9173.420548407721
06/2013,8802.729390006312
07/2013,8841.231822577442
08/2013,9123.580416836741
09/2013,8815.126825407742
10/2013,8693.710888180995
11/2013,8617.341658511825
12/2013,8575.986200709263
01/2014,8566.692008220552
02/2014,8809.086229190081
03/2014,8879.50036783046
04/2014,8975.000705389322
05/2014,9067.054426418586
06/2014,9148.165329173005
07/2014,9007.962343365663
08/2014,9037.692904891002
09/2014,8854.378664275431
10/2014,8824.601819047208
11/2014,8302.19619683067
12/2014,7920.98907427368
01/2015,8052.170337967157
02/2015,8451.053393200751
03/2015,8374.788429609272
04/2015,8576.567788464345
05/2015,8455.810935363319
06/2015,8375.62027398394
07/2015,7647.579244505372
08/2015,7259.140615578812
09/2015,7169.9211072846665
10/2015,7318.736099677816
11/2015,7134.515142116407
12/2015,6698.981571243946
01/2016,6461.134200485113
02/2016,6460.323864917641
03/2016,6445.36233808977
04/2016,6960.794632171812
05/2016,7158.410778964043
06/2016,7439.651018097309
07/2016,7045.27156439094
08/2016,6985.443080140018
09/2016,7260.503887948083
10/2016,7500.789360069788
11/2016,7894.1715325274145
12/2016,8066.088774117099
01/2017,8078.860036255201
02/2017,8235.511497922056
03/2017,7883.340784150415
04/2017,7570.318433332004
05/2017,7249.028109458412
06/2017,7143.274764962621
07/2017,7238.490463938368
08/2017,7238.613655533835
09/2017,7289.1687432957915
10/2017,7632.196026342362
11/2017,7506.612636734622
12/2017,7666.598169868416
01/2018,7500.301885305974
02/2018,7537.180934246981
03/2018,7474.799119994011
04/2018,7831.649628710123
05/2018,8271.549218735807
06/2018,8037.92035916717
07/2018,7784.25935119647
08/2018,7750.617847855929
09/2018,7965.587850682702
10/2018,7964.929857637339
11/2018,7553.101275243845
12/2018,7207.431267723393
01/2019,7643.939471315915
02/2019,7895.95993215766
03/2019,8021.178798453162
04/2019,8026.322563264605
05/2019,7713.931858738817
06/2019,7766.658196625008
07/2019,7875.647499534459
08/2019,7605.835984882395
09/2019,7864.3998145693
10/2019,7794.303805605657
11/2019,7847.495464784016
12/2019,8067.447186923306
01/2020,7633.924670911542
02/2020,7318.866022498789
03/2020,6245.794588962577
04/2020,6156.199863359383
05/2020,6497.04633252318
06/2020,6765.543974495732
07/2020,6713.696807169503
08/2020,6985.659014657965
09/2020,6988.723094071562
10/2020,6890.599988891439
11/2020,7382.054129232489
12/2020,7556.219862634019
01/2021,7874.16230806623
02/2021,8551.107009016127
03/2021,8706.321525043331
04/2021,9147.274542835572
05/2021,9352.700624237073
06/2021,9755.391351708147
07/2021,9920.32823277515
08/2021,9960.06907307279
09/2021,10368.029272130509
10/2021,10657.503736886456
11/2021,10414.365048724207
12/2021,11042.385280658056
01/2022,11878.813855912382
02/2022,12557.934993327026
03/2022,13769.252341933601
04/2022,14762.682894852045
05/2022,14687.90000810679
06/2022,13934.26711817562
07/2022,14208.413661144119
08/2022,14343.884395523337
09/2022,13904.400771933175
10/2022,14105.308690240114
11/2022,14110.01214680637
12/2022,13769.162995416611
01/2023,13906.677496508659
02/2023,13663.21460419318
03/2023,13349.3480122731
04/2023,13129.754486096888
05/2023,12716.089878315543
06/2023,12947.075806668357
07/2023,13712.69405752716
08/2023,13826.329447305034
09/2023,14232.785802927116
10/2023,14089.724251501322
11/2023,13656.117496560119
12/2023,13103.923312284714
01/2024,13583.795897030117
02/2024,13481.617660652506
03/2024,14087.317078527105
04/2024,14608.566029454925
05/2024,14474.62218762823
06/2024,14495.408287829601
07/2024,13790.683080005854
08/2024,13417.722682422616
09/2024,13740.886870652137
