Date,Vanguard LifeStrategy 40% Equity UCITS ETF Accumulating
12/2020,10000
01/2021,9917.355371900825
02/2021,9866.194411648958
03/2021,10086.580086580087
04/2021,10125.934671389217
05/2021,10137.741046831956
06/2021,10369.933097205825
07/2021,10478.158205430933
08/2021,10586.38331365604
09/2021,10432.900432900433
10/2021,10602.125147579693
11/2021,10672.963400236127
12/2021,10773.31759149941
01/2022,10417.15859897678
02/2022,10218.417945690673
03/2022,10243.998425816608
04/2022,9917.355371900825
05/2022,9763.872491145217
06/2022,9399.842581660763
07/2022,9923.258559622196
08/2022,9651.711924439196
09/2022,9171.585989767807
10/2022,9262.101534828807
11/2022,9427.390791027154
12/2022,9155.844155844155
01/2023,9437.229437229436
02/2023,9346.713892168436
03/2023,9472.648563557654
04/2023,9478.551751279025
05/2023,9515.938606847698
06/2023,9630.066902794175
07/2023,9726.485635576544
08/2023,9661.550570641479
09/2023,9496.261314443133
10/2023,9291.617473435654
11/2023,9700.90515545061
12/2023,10001.967729240456
01/2024,10123.96694214876
02/2024,10212.514757969302
03/2024,10413.223140495867
04/2024,10190.86973632428
05/2024,10299.09484454939
06/2024,10560.802833530106
07/2024,10672.963400236127
08/2024,10763.478945297127
09/2024,10875.639512003148
10/2024,10792.994883903975
11/2024,11153.089334907516
12/2024,11013.380558835104
