Date,Vanguard LifeStrategy 60% Equity UCITS ETF Accumulating
12/2020,10000
01/2021,9990.151664368721
02/2021,10029.545006893833
03/2021,10370.297419736064
04/2021,10462.871774670079
05/2021,10456.962773291314
06/2021,10762.26117786094
07/2021,10890.28954106756
08/2021,11045.893244041756
09/2021,10886.350206815048
10/2021,11156.194603112073
11/2021,11219.223951152255
12/2021,11414.220996651566
01/2022,10994.681898759109
02/2022,10803.624187512309
03/2022,10953.318889107739
04/2022,10624.384479023043
05/2022,10391.963758124875
06/2022,9952.727988969864
07/2022,10606.657474886744
08/2022,10372.267086862319
09/2022,9848.335631278313
10/2022,9994.090998621232
11/2022,10167.42170573173
12/2022,9761.670277723064
01/2023,10151.664368721686
02/2023,10076.81701792397
03/2023,10169.391372857986
04/2023,10179.239708489264
05/2023,10293.480401812092
06/2023,10502.265117195193
07/2023,10638.172148906833
08/2023,10577.112467992909
09/2023,10409.690762261178
10/2023,10120.149694701595
11/2023,10620.445144770532
12/2023,10994.681898759109
01/2024,11221.19361827851
02/2024,11359.070317116406
03/2024,11686.035060074846
04/2024,11404.372661020287
05/2024,11552.097695489461
06/2024,11890.880441205434
07/2024,12024.817805790819
08/2024,12070.120149694701
09/2024,12231.632854047664
10/2024,12196.178845775063
11/2024,12726.019302737835
12/2024,12609.808942288751
