Date,WisdomTree Emerging Markets High Dividend
05/2007,10000
06/2007,10307.931660496113
07/2007,10462.777045305318
08/2007,10237.890058008026
09/2007,10694.551489526764
10/2007,11460.047977780852
11/2007,10514.598127836867
12/2007,10751.342238978332
01/2008,9816.704763618021
02/2008,10461.39056636118
03/2008,9695.170072729574
04/2008,10504.061712033461
05/2008,10735.46450541656
06/2008,9737.748039203247
07/2008,10071.3556444174
08/2008,10076.050491007803
09/2008,8863.7615465287
10/2008,7891.602353609782
11/2008,7433.900324114089
12/2008,7162.516592297191
01/2009,7172.403547908863
02/2009,6988.654750869977
03/2009,7354.766624211002
04/2009,8561.661479472694
05/2009,8871.713395162435
06/2009,8853.866273878592
07/2009,9819.743208728252
08/2009,9986.467684276906
09/2009,10506.83618042751
10/2009,10232.551777027027
11/2009,10378.246688078281
12/2009,11355.397519436345
01/2010,11483.873235357296
02/2010,11851.220587324982
03/2010,12791.832807700868
04/2010,13117.634846038301
05/2010,12738.986424798895
06/2010,12683.363638252791
07/2010,13300.022207169175
08/2010,13589.418512618297
09/2010,13939.917180172917
10/2010,14125.625728873496
11/2010,14666.885366210186
12/2010,15292.875452028136
01/2011,14537.98955923167
02/2011,14406.583726326444
03/2011,14838.572829591049
04/2011,14968.372717362048
05/2011,15109.804518943347
06/2011,14856.173124956753
07/2011,14884.060516479663
08/2011,13930.655980276817
09/2011,12955.4990335481
10/2011,13711.058153703307
11/2011,13709.326872857355
12/2011,14317.078943117707
01/2012,15260.30783507893
02/2012,15854.314966153386
03/2012,15729.121490715785
04/2012,15715.789713182992
05/2012,15152.971972103522
06/2012,15172.366061159652
07/2012,15741.795118039727
08/2012,15526.93393783205
09/2012,15824.57765970611
10/2012,15474.713692372818
11/2012,15602.22190012321
12/2012,16252.654541079279
01/2013,16075.674760516606
02/2013,16262.934022393178
03/2013,16454.92584849668
04/2013,16309.004388004898
05/2013,15955.448323850529
06/2013,14748.401506498467
07/2013,14695.773445574388
08/2013,14609.622564412544
09/2013,15347.646605701591
10/2013,15814.64697969357
11/2013,15290.810663066635
12/2013,14851.093587122035
01/2014,14013.450427271384
02/2014,14036.568797871569
03/2014,14497.173504134029
04/2014,14501.731771841154
05/2014,15143.626952303961
06/2014,15643.88477888417
07/2014,16010.27663726736
08/2014,16470.70845048529
09/2014,16056.577276086784
10/2014,16147.5529734909
11/2014,15648.744494512539
12/2014,15076.324234412325
01/2015,15871.725639540027
02/2015,16855.55574021352
03/2015,17058.639074263407
04/2015,18200.85939010254
05/2015,17690.37001868733
06/2015,16922.60312494414
07/2015,15915.529513540623
08/2015,14146.198362906822
09/2015,13348.713131750425
10/2015,14453.06087637288
11/2015,14217.337427923243
12/2015,13296.02979792413
01/2016,12574.5018525641
02/2016,12943.292172575311
03/2016,13983.841082125604
04/2016,14405.805805051301
05/2016,13718.785399408283
06/2016,14598.371116015132
07/2016,15450.709366507694
08/2016,15558.80780632411
09/2016,15714.950608368425
10/2016,16285.682410469579
11/2016,16398.074848142925
12/2016,16968.564608196564
01/2017,17170.48106183171
02/2017,17944.362188355193
03/2017,18092.0325568235
04/2017,17824.209563129003
05/2017,17393.98807191872
06/2017,17227.361042762008
07/2017,17522.7074452119
08/2017,17974.17502325581
09/2017,17831.583439776383
10/2017,18385.78207939508
11/2017,18025.44183559794
12/2017,18734.46069415492
01/2018,19620.68266155575
02/2018,19498.660786392666
03/2018,19085.855501988477
04/2018,19243.754137345808
05/2018,19241.08454184118
06/2018,18464.59446131412
07/2018,19191.072462934564
08/2018,18880.681032958542
09/2018,19515.287178645474
10/2018,18377.644309948755
11/2018,18722.37393608592
12/2018,18273.110030567685
01/2019,19849.738724321032
02/2019,19963.180803696563
03/2019,20335.260234979974
04/2019,20618.533342396153
05/2019,19979.96104071384
06/2019,20723.294376098424
07/2019,20863.641330373957
08/2019,20003.69430409569
09/2019,20688.72242722013
10/2019,21048.11946745562
11/2019,21378.00157940266
12/2019,22440.397959319922
01/2020,21284.820000904816
02/2020,19925.643103306917
03/2020,16354.0456375502
04/2020,17966.50871276205
05/2020,17712.881094198994
06/2020,18152.06514243615
07/2020,17640.83101493923
08/2020,17599.245021356786
09/2020,17295.50450717458
10/2020,17216.090916395962
11/2020,18954.38986560935
12/2020,19602.197356368673
01/2021,19529.16450972314
02/2021,20528.455570084974
03/2021,22165.076746695093
04/2021,22016.042719748388
05/2021,22615.64964265224
06/2021,22925.840972736452
07/2021,22304.878274745603
08/2021,23101.673716832855
09/2021,23262.449152344765
10/2021,22825.039092743664
11/2021,22651.2031268151
12/2021,23949.119447289424
01/2022,25026.969469343854
02/2022,24571.834225823735
03/2022,25229.51940005405
04/2022,24879.172806925995
05/2022,24895.565747689725
06/2022,23165.80178396072
07/2022,23464.67431800353
08/2022,24125.7155755
09/2022,22772.1903687936
10/2022,21953.765337905996
11/2022,24035.07586353122
12/2022,23051.064670448155
01/2023,24389.830756023264
02/2023,23992.04903474903
03/2023,23948.09043632184
04/2023,23891.41804480466
05/2023,24007.207804455673
06/2023,24603.223024572057
07/2023,25907.90529529166
08/2023,25044.05677125506
09/2023,25739.199239663965
10/2023,24974.61591863641
11/2023,25950.505936327874
12/2023,27108.014143891403
01/2024,27157.09701116545
02/2024,28127.351220672455
03/2024,28620.675752011837
04/2024,29104.256349132298
05/2024,29603.93890158496
06/2024,30529.217757589908
