Date,WisdomTree Emerging Markets SmallCap Dividend
07/2007,10000
08/2007,9607.807643986755
09/2007,9896.08277449351
10/2007,10360.069709847232
11/2007,9325.86575442464
12/2007,9389.660953590786
01/2008,8241.005946054633
02/2008,8772.510984980592
03/2008,8152.291076353651
04/2008,8692.796857609226
05/2008,8562.269431509369
06/2008,7374.633027074945
07/2008,7545.432247052052
08/2008,7719.2988401497005
09/2008,6548.284416939441
10/2008,5515.0428194415035
11/2008,5195.378239474573
12/2008,5259.499221078293
01/2009,5388.318445319728
02/2009,5342.625693564021
03/2009,5663.79795916672
04/2009,6763.756477246342
05/2009,7322.879337824975
06/2009,7320.660329633008
07/2009,8294.746178842452
08/2009,8256.139462256366
09/2009,8711.940418145505
10/2009,8561.386010861424
11/2009,8678.258817269305
12/2009,9683.299213412825
01/2010,9631.2328903799
02/2010,9847.810357434655
03/2010,10722.485878878031
04/2010,11092.767135828386
05/2010,10923.957927499187
06/2010,11005.360693130717
07/2010,11325.464466373996
08/2010,11798.917249583928
09/2010,12271.008807448916
10/2010,12586.610326745395
11/2010,13120.059776249087
12/2010,13567.614094928782
01/2011,12794.7313433872
02/2011,12276.18406852617
03/2011,12684.172316357062
04/2011,12754.137265304345
05/2011,12876.880424445912
06/2011,12447.045777573236
07/2011,12770.832986322814
08/2011,11328.101100319363
09/2011,10372.398043168403
10/2011,10944.305124913308
11/2011,10768.332571112398
12/2011,11222.692717019734
01/2012,12155.37577999331
02/2012,12643.289354522083
03/2012,12636.336510800485
04/2012,12656.393077333449
05/2012,12323.146706716703
06/2012,12367.968719351997
07/2012,12850.212605433995
08/2012,12777.059319592134
09/2012,13100.601659919661
10/2012,12859.995086421855
11/2012,13119.320244413735
12/2012,13645.339581713386
01/2013,13652.490061604267
02/2013,14339.755938729642
03/2013,14908.245377696465
04/2013,14885.61182594245
05/2013,14673.91797563031
06/2013,13364.22644679966
07/2013,13176.304691221005
08/2013,12663.993715248036
09/2013,13291.082442025636
10/2013,13664.635578543963
11/2013,13319.267698059717
12/2013,12841.384806382917
01/2014,12471.672579871672
02/2014,12667.14351179408
03/2014,13076.552664085251
04/2014,13169.83257447533
05/2014,13624.037743921283
06/2014,13811.305768678394
07/2014,14214.893066239523
08/2014,14824.393156577526
09/2014,14708.317767909262
10/2014,14593.27247281912
11/2014,14554.558344971054
12/2014,14493.326414453033
01/2015,15759.215779400332
02/2015,16142.051162018412
03/2015,16735.63811317394
04/2015,17077.10181300284
05/2015,16945.33083391567
06/2015,16034.25990279933
07/2015,15064.176593284694
08/2015,13512.729722546173
09/2015,13291.197535789544
10/2015,14273.632567313432
11/2015,14360.396492641408
12/2015,13773.583529449594
01/2016,12788.732335547817
02/2016,13265.96068706885
03/2016,14042.396842238093
04/2016,14359.301476184692
05/2016,13880.818914356118
06/2016,14813.528653051691
07/2016,15863.61489832286
08/2016,15987.96715123351
09/2016,16142.667640879246
10/2016,16416.315311066206
11/2016,16185.151405989693
12/2016,16485.98864941201
01/2017,16932.049887427856
02/2017,18057.835402067878
03/2017,18384.0844004474
04/2017,18140.457578867532
05/2017,17953.165941586
06/2017,17915.51863741258
07/2017,18191.48636515901
08/2017,18534.84573205257
09/2017,18653.359731584933
10/2017,19206.507097015205
11/2017,19043.146323907007
12/2017,19744.640025751036
01/2018,20428.79768350395
02/2018,20197.934706479988
03/2018,19796.773455103375
04/2018,19894.87776055793
05/2018,20258.140047192606
06/2018,19055.721407577556
07/2018,19239.003478424966
08/2018,18885.58580706031
09/2018,18757.35891291861
10/2018,17224.47844646866
11/2018,18121.950843209393
12/2018,17666.004063242155
01/2019,19096.58015266424
02/2019,19498.80193082059
03/2019,20084.624679160366
04/2019,20333.311496285347
05/2019,19294.482599023522
06/2019,20014.867749191213
07/2019,20438.245272356915
08/2019,19612.725062106452
09/2019,20173.145960575934
10/2019,20285.73316762308
11/2019,20596.097468289307
12/2019,21378.74877637273
01/2020,20435.499794344698
02/2020,19236.144136385512
03/2020,15197.690472667391
04/2020,17173.30450166799
05/2020,17002.02215178088
06/2020,18013.165904534668
07/2020,18103.86912117711
08/2020,18416.31337736654
09/2020,18413.782477938774
10/2020,18499.1615780781
11/2020,20041.637481509442
12/2020,20698.482482262945
01/2021,20695.428161693068
02/2021,21822.344595013008
03/2021,23150.139257484137
04/2021,23713.89832385762
05/2021,23716.1906723787
06/2021,24947.450185351827
07/2021,24555.500508556404
08/2021,25481.384395506324
09/2021,25556.387639536504
10/2021,24837.065899254445
11/2021,24887.490524579716
12/2021,26157.773478945473
01/2022,26090.876939219535
02/2022,25986.87217509456
03/2022,27002.268683271464
04/2022,26914.55869764075
05/2022,26389.526618803713
06/2022,24487.43369438437
07/2022,25176.141607180798
08/2022,26010.42126213925
09/2022,24165.05005574392
10/2022,23465.10556057919
11/2022,25360.262873381664
12/2022,24602.14460137347
01/2023,25693.127518340243
02/2023,25385.922032495073
03/2023,25125.710825339906
04/2023,25108.99149227733
05/2023,25558.087626269207
06/2023,26092.190659876484
07/2023,27640.91795944701
08/2023,27118.718878235675
09/2023,27267.743520849956
10/2023,25955.998203447056
11/2023,27324.56593143526
12/2023,28725.111032036184
01/2024,28613.34953684937
02/2024,29440.257496177448
03/2024,29984.82539852968
04/2024,30488.296980505886
05/2024,30289.92553196794
06/2024,31205.53463834181
