Date,WisdomTree Global Developed Quality Dividend Growth
03/2016,10000
04/2016,9965.748875295976
05/2016,10266.827440828403
06/2016,10215.560939470366
07/2016,10677.199887519124
08/2016,10600.987500000001
09/2016,10665.18768479527
10/2016,10544.828396217797
11/2016,10932.024732016927
12/2016,11270.928585997533
01/2017,11328.15439330544
02/2017,11892.98458290082
03/2017,12021.834793284072
04/2017,12095.406292314732
05/2017,12156.772317529632
06/2017,11864.991679810726
07/2017,11755.844992325403
08/2017,11794.412302325582
09/2017,12085.544913603253
10/2017,12538.839130434786
11/2017,12670.402915857878
12/2017,12721.344396731427
01/2018,12770.246592277435
02/2018,12476.604687244146
03/2018,12164.374908692476
04/2018,12412.826376355659
05/2018,13065.345811607831
06/2018,13004.51087879568
07/2018,13412.332266104295
08/2018,13759.961226504163
09/2018,13877.455420697997
10/2018,13185.666809506982
11/2018,13175.198287701383
12/2018,12174.875390829695
01/2019,12984.008780901811
02/2019,13581.933012876667
03/2019,14160.700493991992
04/2019,14734.121329559639
05/2019,13825.015516545602
06/2019,14540.900990773289
07/2019,14923.339769975788
08/2019,14892.995387821677
09/2019,15411.728854807603
10/2019,15562.3375739645
11/2019,16357.768332270987
12/2019,16567.338697258325
01/2020,16694.61602198697
02/2020,15411.50640885488
03/2020,13869.207831325306
04/2020,15382.452921570433
05/2020,15751.115806842676
06/2020,16134.867141453831
07/2020,15878.452325286968
08/2020,16751.49233668342
09/2020,16786.671011274342
10/2020,16236.189570866818
11/2020,17456.545423622705
12/2020,17671.563937331917
01/2021,17646.914170649306
02/2021,17750.25853889943
03/2021,19089.149392324096
04/2021,19191.33416032114
05/2021,19493.735536021642
06/2021,20157.5525286099
07/2021,20615.950531914896
08/2021,21025.79760436032
09/2021,20463.664869591506
10/2021,21257.002425933875
11/2021,21446.071684414328
