Date,World Alternative Energy CW
01/2004,10000
02/2004,10225.824075760336
03/2004,9891.640866873066
04/2004,10513.567656164634
05/2004,10289.56474230559
06/2004,10359.679475505372
07/2004,9660.353305408851
08/2004,9672.190857767257
09/2004,10048.260790384265
10/2004,10486.250227645238
11/2004,9993.625933345475
12/2004,10556.36496084502
01/2005,10941.540702968494
02/2005,11925.878710617375
03/2005,11888.544891640868
04/2005,11914.951739209617
05/2005,13334.54744126753
06/2005,14679.47550537243
07/2005,15813.148788927336
08/2005,17195.410672008744
09/2005,18731.56073574941
10/2005,16710.07102531415
11/2005,17014.205062830086
12/2005,17870.15115643781
01/2006,22380.258604989984
02/2006,24134.948096885815
03/2006,25052.813695137498
04/2006,25900.564560189403
05/2006,22459.47914769623
06/2006,22574.212347477693
07/2006,21843.015844108544
08/2006,22886.541613549445
09/2006,22669.823347295576
10/2006,23645.05554543799
11/2006,25275.906028045894
12/2006,25801.311236568934
01/2007,27139.865234019308
02/2007,26316.700054634857
03/2007,27801.85758513932
04/2007,30028.228009470044
05/2007,31644.509196867602
06/2007,33598.61591695502
07/2007,33693.31633582226
08/2007,33124.20324166818
09/2007,35870.515388818065
10/2007,42975.778546712805
11/2007,42209.06938626844
12/2007,43632.30741212894
01/2008,32200.874157712624
02/2008,32238.20797668913
03/2008,32027.863777089784
04/2008,36150.06374066655
05/2008,37183.57311965034
06/2008,35143.87179020215
07/2008,34647.6051720998
08/2008,36691.85940630122
09/2008,28409.215079220543
10/2008,19205.062830085597
11/2008,18394.6457840102
12/2008,18316.3358222546
01/2009,18839.009287925695
02/2009,15964.305226734657
03/2009,16391.36769258787
04/2009,19431.79748679658
05/2009,22002.367510471682
06/2009,20265.88963758878
07/2009,20742.12347477691
08/2009,20244.035694773265
09/2009,22277.36295756693
10/2009,20132.944818794393
11/2009,20008.195228555818
12/2009,21066.29029320707
01/2010,19151.33855399745
02/2010,18210.708431979605
03/2010,20070.11473319978
04/2010,20648.33363686032
05/2010,18487.525040976143
06/2010,17930.249499180478
07/2010,18493.89910763067
08/2010,17861.045346931343
09/2010,18039.519213258063
10/2010,18018.57585139319
11/2010,17885.631032598798
12/2010,18420.142050628303
01/2011,19033.87361136405
02/2011,18701.511564378074
03/2011,19898.92551447824
04/2011,18525.7694409033
05/2011,17964.851575305045
06/2011,17480.4225095611
07/2011,17098.889091240213
08/2011,15492.624294299761
09/2011,13441.995993443817
10/2011,13533.054088508468
11/2011,13465.671098160627
12/2011,13307.230012748132
01/2012,14333.454744126753
02/2012,14507.375705700239
03/2012,14305.226734656711
04/2012,13909.124021125479
05/2012,13404.66217446731
06/2012,13627.754507375706
07/2012,13359.133126934985
08/2012,13574.94081223821
09/2012,12734.474594791478
10/2012,12457.657985794938
11/2012,12596.06629029321
12/2012,13150.610089236932
01/2013,13554.908031323988
02/2013,14176.834820615553
03/2013,15072.846476051722
04/2013,15496.26661810235
05/2013,16269.349845201237
06/2013,14727.736295756693
07/2013,15481.697322892007
08/2013,14420.870515388819
09/2013,15671.098160626481
10/2013,16231.105445274086
11/2013,16502.458568566748
12/2013,16434.164997268257
01/2014,16724.640320524493
02/2014,17271.89947186305
03/2014,17479.511928610453
04/2014,16952.285558186122
05/2014,17983.973775268623
06/2014,18666.909488253506
07/2014,18356.401384083045
08/2014,18705.15388818066
09/2014,17877.435804042983
10/2014,16700.05463485704
11/2014,17675.286832999456
12/2014,17176.288472045166
01/2015,18797.122564195957
02/2015,20827.71808413768
03/2015,21914.951739209617
04/2015,21737.388453833548
05/2015,23074.121289382627
06/2015,21814.7878346385
07/2015,20663.81351302131
08/2015,18289.018393735205
09/2015,16778.36459661264
10/2015,19040.247678018575
11/2015,20475.32325623748
12/2015,20067.382990347844
01/2016,17555.090147514115
02/2016,18572.20906938627
03/2016,19237.84374430887
04/2016,19572.026953196142
05/2016,19507.375705700237
06/2016,18536.696412311056
07/2016,19790.566381351302
08/2016,20385.175742123476
09/2016,20183.02677107995
10/2016,20020.032780914225
11/2016,20382.443999271538
12/2016,21323.98470224003
01/2017,21747.40484429066
