Date,World Water
12/2003,10000
01/2004,10129.000000000002
02/2004,10495
03/2004,10727
04/2004,10827
05/2004,11156
06/2004,11609
07/2004,11577
08/2004,11854
09/2004,12058
10/2004,12388
11/2004,12918
12/2004,13950
01/2005,14362
02/2005,14418
03/2005,14444
04/2005,14450
05/2005,15624
06/2005,16488.999999999996
07/2005,17229
08/2005,17186.000000000004
09/2005,17827
10/2005,16962
11/2005,17684
12/2005,17966.999999999996
01/2006,19243
02/2006,20055
03/2006,20060
04/2006,19920
05/2006,18805
06/2006,18888.999999999996
07/2006,18691
08/2006,19255
09/2006,19955
10/2006,21670
11/2006,21700
12/2006,22419
01/2007,22911
02/2007,22241
03/2007,22714
04/2007,23473
05/2007,24762
06/2007,24256
07/2007,23168
08/2007,23186
09/2007,22542
10/2007,22686
11/2007,21859
12/2007,21652
01/2008,20219
02/2008,20173
03/2008,18986.000000000004
04/2008,19733.000000000004
05/2008,20424
06/2008,17618
07/2008,17843
08/2008,18922
09/2008,16554
10/2008,15690
11/2008,14556
12/2008,13801
01/2009,13911.000000000002
02/2009,13116
03/2009,12888.999999999998
04/2009,14743
05/2009,14557
06/2009,15101
07/2009,15512
08/2009,15900
09/2009,16082
10/2009,15785
11/2009,16279
12/2009,17735
01/2010,17091.999999999996
02/2010,17049
03/2010,17946
04/2010,18616
05/2010,18558.000000000004
06/2010,18397
07/2010,18572
08/2010,18094
09/2010,18529
10/2010,18648
11/2010,19728
12/2010,20821
01/2011,19741
02/2011,19856
03/2011,19983.000000000004
04/2011,19921
05/2011,20519
06/2011,20062
07/2011,20094
08/2011,19297
09/2011,19143
10/2011,19793
11/2011,20274
12/2011,20144
01/2012,21403
02/2012,21591
03/2012,22308
04/2012,22364
05/2012,22224
06/2012,22506
07/2012,23831
08/2012,23464
09/2012,23485
10/2012,23161
11/2012,23667
12/2012,23981
01/2013,24572
02/2013,26470
03/2013,27321
04/2013,26981
05/2013,27758
06/2013,26158.999999999996
07/2013,26822.000000000004
08/2013,26382
09/2013,27574
10/2013,28649
11/2013,29308.999999999996
12/2013,29358.999999999996
01/2014,28956
02/2014,30455
03/2014,30614
04/2014,30466.000000000004
05/2014,31495
06/2014,32490
07/2014,31537
08/2014,33101
09/2014,32396
10/2014,34223
11/2014,34826
12/2014,35210
01/2015,37488
02/2015,38701
03/2015,40443
04/2015,41110
05/2015,41697.00000000001
06/2015,40379
07/2015,40472.00000000001
08/2015,37469
09/2015,37508.99999999999
10/2015,41161
11/2015,43455
12/2015,40712
01/2016,38945
02/2016,38924
03/2016,39925
04/2016,41321
05/2016,43202
06/2016,43147
07/2016,44367
08/2016,43928
09/2016,44630
10/2016,43481
11/2016,44105
12/2016,43930
01/2017,43892
02/2017,45084
03/2017,46574
04/2017,47180
05/2017,47464
06/2017,46252
07/2017,45615
08/2017,45225
09/2017,46437
10/2017,48308
11/2017,48225
12/2017,48452
01/2018,47540
02/2018,45809
03/2018,45480
04/2018,46290
05/2018,47122
06/2018,45243
07/2018,47376
08/2018,47412
09/2018,47244
10/2018,44370
11/2018,46211
12/2018,43348
01/2019,48258
02/2019,49849
03/2019,50712
04/2019,52424
05/2019,49950
06/2019,52616
07/2019,54061
08/2019,54112
09/2019,55957.00000000001
10/2019,58147
11/2019,58867.99999999999
12/2019,60290
01/2020,60967.99999999999
02/2020,56176
03/2020,47996
04/2020,52462
05/2020,54537
06/2020,54359
07/2020,53192
08/2020,56142
09/2020,58201
10/2020,59787
11/2020,64503
12/2020,66014
01/2021,67421
02/2021,68948
03/2021,73872
04/2021,74849
05/2021,75550
06/2021,77575
07/2021,82036
08/2021,86750
09/2021,82139
10/2021,86896
11/2021,88067
12/2021,92444
01/2022,82676
02/2022,78954
03/2022,80355.99999999999
04/2022,75960
05/2022,74826
06/2022,72362
07/2022,82682.00000000001
08/2022,79058
09/2022,72846
10/2022,79075
11/2022,81234
12/2022,75455.99999999999
