Date,eb.rexx Government Germany 10.5+
08/2008,10000
09/2008,9986.618368312296
10/2008,10165.18535115891
11/2008,11148.82864042622
12/2008,11449.821993178479
01/2009,10924.446685089752
02/2009,11087.273134662782
03/2009,11087.024174073244
04/2009,11032.501804964273
05/2009,10478.31553265118
06/2009,10815.781611770857
07/2009,10889.28722583215
08/2009,11241.690940324146
09/2009,11366.171235093485
10/2009,11293.661463390345
11/2009,11495.444021211442
12/2009,11254.574650832772
01/2010,11566.273308935195
02/2010,11729.77817611472
03/2010,11842.308362586202
04/2010,12129.857843503372
05/2010,12765.018547563921
06/2010,12922.42388029975
07/2010,12797.756865088257
08/2010,14159.446809570045
09/2010,13704.097891303805
10/2010,13394.826598949387
11/2010,13185.575223442129
12/2010,12670.78696442353
01/2011,12440.187218363333
02/2011,12467.448402917818
03/2011,12152.942714168346
04/2011,12396.494634899294
05/2011,12729.230462817735
06/2011,12492.842383050762
07/2011,13281.238329972364
08/2011,13850.424477805163
09/2011,14716.558368810216
10/2011,14334.217143426195
11/2011,14009.8214952573
12/2011,15166.554634401373
01/2012,15076.368660840988
02/2012,15159.83269848383
03/2012,15172.77864913984
04/2012,15448.695446510817
05/2012,16843.161052605374
06/2012,15699.180919660417
07/2012,16430.639579754523
08/2012,16385.90758582916
09/2012,16152.289192620807
10/2012,16066.478701421567
11/2012,16188.948639430377
12/2012,16533.22379067394
01/2013,15948.826150820325
02/2013,16222.085293897975
03/2013,16498.300843976398
04/2013,16830.02215749247
05/2013,16236.051982971096
06/2013,15873.33507605746
07/2013,15903.602459730624
08/2013,15577.408071302312
09/2013,15704.794980954513
10/2013,15735.267757114048
11/2013,15750.952274254985
12/2013,15404.262205292902
01/2014,16149.824482784374
02/2014,16206.3945527423
03/2014,16344.897552717404
04/2014,16626.764508178356
05/2014,16897.24151666791
06/2014,17124.131749943983
07/2014,17422.815993228272
08/2014,18328.96407498693
09/2014,18117.19197351059
10/2014,18471.724301043145
11/2014,18967.230562401972
12/2014,19556.09082082306
01/2015,20883.88478103916
02/2015,20755.209500336096
03/2015,21808.41860233525
04/2015,21089.003410760077
05/2015,20289.061916498616
06/2015,19031.194761869196
07/2015,19815.333482709688
08/2015,19339.134115069584
09/2015,19911.040157343094
10/2015,20087.366494883863
11/2015,20004.443946523264
12/2015,19545.603355988747
01/2016,20750.784225857045
02/2016,21571.750441905046
03/2016,21521.404386685586
04/2016,21004.05183359474
05/2016,21559.54514900291
06/2016,23107.059277516368
07/2016,23175.691488037442
08/2016,22876.37861926457
09/2016,22974.693156073394
10/2016,21814.735977294793
11/2016,21364.658799512035
12/2016,21474.854980456592
01/2017,20791.402146040284
02/2017,21421.571190280578
03/2017,21046.729902656407
04/2017,21107.62566285757
05/2017,21036.49762242637
06/2017,20601.831105136058
07/2017,20572.79607638111
08/2017,21136.256130654518
09/2017,20790.15734309259
10/2017,21000.143152338984
11/2017,21135.901361814424
12/2017,20939.521248786317
01/2018,20611.048870963725
02/2018,20618.430552443548
03/2018,21168.564991161897
04/2018,20949.68506485423
05/2018,21668.77038364827
06/2018,21765.06211566709
07/2018,21544.825354146436
08/2018,21863.9243657729
09/2018,21531.67401100406
10/2018,21771.734259466724
11/2018,21939.59593696318
12/2018,22304.61572933005
01/2019,22761.937660268377
02/2019,22570.15087011726
03/2019,23481.103891254017
04/2019,23191.53782956158
05/2019,24025.810989120422
06/2019,24657.050563895733
07/2019,25246.37139940747
08/2019,26678.641671023477
09/2019,26136.056962182887
10/2019,25354.16511066298
11/2019,25162.596161027708
12/2019,24387.880598501255
01/2020,25568.165409415687
02/2020,26457.241018746732
03/2020,25593.957726491895
04/2020,26451.122812258818
05/2020,25668.384494734484
06/2020,25752.96885503025
07/2020,26223.47324918465
08/2020,25415.340951527374
09/2020,26135.608833121714
10/2020,26694.307516120196
11/2020,26461.647621181564
12/2020,26457.757611970024
01/2021,26122.88072298155
02/2021,24886.262354669256
03/2021,24785.570244230337
04/2021,24366.040530783976
05/2021,24305.30659496602
06/2021,24620.85169417681
07/2021,25790.78596858117
08/2021,25498.17013966689
09/2021,24637.482261557994
10/2021,25156.446834466104
11/2021,26054.746433639553
12/2021,25152.787113799885
01/2022,24645.125351656832
02/2022,23967.85296387582
03/2022,22779.564070007717
04/2022,21219.14133492668
05/2022,20275.89812532676
06/2022,19409.75178629223
07/2022,21287.007991634924
08/2022,19361.16090322902
09/2022,17848.190056514053
10/2022,17549.151044389673
11/2022,18642.598401673014
12/2022,16965.263773744617
01/2023,17646.301690442404
02/2023,16702.118654616974
03/2023,17412.957153882544
04/2023,17341.18181591854
05/2023,17351.513680384396
06/2023,17395.10045559788
