Date,eb.rexx Government Germany
08/2008,10000
09/2008,10160.04771608927
10/2008,10377.674266684657
11/2008,10653.469002293497
12/2008,10823.386564228555
01/2009,10792.072880645872
02/2009,10925.20929043619
03/2009,10975.907635284344
04/2009,10920.9489253229
05/2009,10821.966442524124
06/2009,10918.818742766256
07/2009,10938.345416202168
08/2009,11013.96689696307
09/2009,11086.883045877032
10/2009,11095.836913223464
11/2009,11190.914061335057
12/2009,11135.31629660662
01/2010,11251.695270284665
02/2010,11344.926260180499
03/2010,11369.778390008023
04/2010,11471.885140556547
05/2010,11696.761412453048
06/2010,11743.341404358354
07/2010,11668.216966194002
08/2010,11945.992771580524
09/2010,11844.951112310326
10/2010,11746.53667819332
11/2010,11749.660945943067
12/2010,11678.725866806786
01/2011,11521.795317858741
02/2011,11541.250985209434
03/2011,11444.334779490602
04/2011,11509.660377894386
05/2011,11674.039465182166
06/2011,11709.464401099176
07/2011,11977.093436907544
08/2011,12241.804122613308
09/2011,12386.443518209511
10/2011,12352.076572962304
11/2011,12353.496694666734
12/2011,12564.242755604155
01/2012,12612.029850958228
02/2012,12610.964759679906
03/2012,12624.775443255487
04/2012,12757.933154871373
05/2012,12956.799897751238
06/2012,12788.96281411317
07/2012,12973.408221084548
08/2012,12950.07562148076
09/2012,12918.50631599128
10/2012,12918.435309906059
11/2012,12979.181015813056
12/2012,13035.985883990257
01/2013,12830.03983441381
02/2013,13018.532588242813
03/2013,13103.839299027926
04/2013,13126.90207550787
05/2013,12998.231948477985
06/2013,12891.112168312824
07/2013,12936.712276242075
08/2013,12864.591395482596
09/2013,12954.193974423608
10/2013,13019.441466133649
11/2013,13026.87580325634
12/2013,12875.263610091384
01/2014,13107.27599355265
02/2014,13114.91624832248
03/2014,13150.433492150278
04/2014,13194.528271072832
05/2014,13305.80190722345
06/2014,13368.826908466055
07/2014,13402.547698337748
08/2014,13531.146819282412
09/2014,13550.609587241626
10/2014,13584.245169811053
11/2014,13642.953001072192
12/2014,13725.62538609559
01/2015,13831.190132994398
02/2015,13853.983086350501
03/2015,13892.68140279622
04/2015,13788.011332571201
05/2015,13768.207735402924
06/2015,13661.876122783722
07/2015,13751.74142424006
08/2015,13692.813474114731
09/2015,13792.285898901537
10/2015,13835.777126099707
11/2015,13901.152428763146
12/2015,13801.21136381388
01/2016,14000.986984584579
02/2016,14124.899703904624
03/2016,14072.135081976525
04/2016,14016.87104584863
05/2016,14094.487797604255
06/2016,14253.726044321998
07/2016,14269.894129926935
08/2016,14232.729544922
09/2016,14268.253889358319
10/2016,14118.5446592773
11/2016,14102.937521745615
12/2016,14159.330554628532
01/2017,14040.942108738718
02/2017,14212.095176556631
03/2017,14093.905547705439
04/2017,14090.717374478992
05/2017,14116.109150554203
06/2017,13967.983356173625
07/2017,13996.783424339466
08/2017,14103.61207955522
09/2017,14050.698344848153
10/2017,14108.916234121265
11/2017,14077.524443844837
12/2017,13998.956210547243
01/2018,13896.892063649855
02/2018,13907.876705033621
03/2018,14004.182258419547
04/2018,13969.921822300172
05/2018,14110.961209375644
06/2018,14127.441721755557
07/2018,14067.846314429147
08/2018,14129.24527632018
09/2018,14033.422564313762
10/2018,14098.883074279465
11/2018,14144.121051174086
12/2018,14177.61462157307
01/2019,14221.418275546215
02/2019,14194.088033344458
03/2019,14325.236272748574
04/2019,14286.104819183005
05/2019,14402.895628155335
06/2019,14466.786903637643
07/2019,14533.490020094723
08/2019,14676.155446521767
09/2019,14560.784759253867
10/2019,14448.545440344238
11/2019,14406.829365276604
12/2019,14315.685954286282
01/2020,14454.23302777048
02/2020,14543.84980792854
03/2020,14443.383297948636
04/2020,14508.609487833108
05/2020,14413.38322694255
06/2020,14449.802248052658
07/2020,14475.854380720428
08/2020,14385.88257013626
09/2020,14445.506379896757
10/2020,14512.585828605512
11/2020,14460.40345657623
12/2020,14438.41287198313
01/2021,14432.27794621999
02/2021,14293.177025271067
03/2021,14326.074144554188
04/2021,14275.865741694064
05/2021,14263.972222419461
06/2021,14279.210128307996
07/2021,14407.560727954386
08/2021,14352.019768094126
09/2021,14250.644380223386
10/2021,14153.401546512538
11/2021,14307.378242315366
12/2021,14198.873843488389
01/2022,14079.974153784979
02/2022,13999.084021500643
03/2022,13659.78854387821
04/2022,13432.192738917725
05/2022,13331.619719809987
06/2022,13199.399288519026
07/2022,13584.855822143958
08/2022,13079.1149801538
09/2022,12730.247882243508
10/2022,12698.42295484723
11/2022,12760.6668891524
12/2022,12449.617632231084
01/2023,12596.174192128266
02/2023,12362.30854984272
03/2023,12614.287844468272
04/2023,12636.20742297615
05/2023,12688.063167013413
06/2023,12552.129117465367
