Date,iBoxx $ Liquid Emerging Markets Sovereigns
12/2010,10000
01/2011,9640.914036996734
02/2011,9542.981501632208
03/2011,9390.64200217628
04/2011,9099.56474428727
05/2011,9532.100108813927
06/2011,9621.871599564744
07/2011,9944.232861806311
08/2011,9902.067464635473
09/2011,10194.504896626768
10/2011,10235.310119695321
11/2011,10578.073993471164
12/2011,11139.825897714907
01/2012,11101.741022850925
02/2012,11172.47007616975
03/2012,11188.79216539717
04/2012,11560.119695321
05/2012,11930.087051142544
06/2012,12248.367791077259
07/2012,13166.485310119695
08/2012,12917.573449401523
09/2012,12770.674646354733
10/2012,12812.840043525572
11/2012,13056.311207834602
12/2012,12935.255712731228
01/2013,12325.897714907509
02/2013,12689.06420021763
03/2013,12825.081610446137
04/2013,13039.989118607182
05/2013,12467.355821545158
06/2013,11618.60718171926
07/2013,11511.153427638736
08/2013,11141.186071817192
09/2013,11296.245919477691
10/2013,11507.072905331883
11/2013,11188.79216539717
12/2013,11084.058759521218
01/2014,11181.991294885745
02/2014,11383.29706202394
03/2014,11553.318824809574
04/2014,11726.060935799782
05/2014,12317.736670293798
06/2014,12331.338411316648
07/2014,12570.729053318824
08/2014,12859.085963003265
09/2014,13033.188248095756
10/2014,13414.036996735582
11/2014,13463.003264417846
12/2014,13509.249183895537
01/2015,14625.9521218716
02/2015,14708.922742110992
03/2015,15433.895538628944
04/2015,14933.351468988032
05/2015,15150.979325353646
06/2015,14474.972796517954
07/2015,14810.935799782374
08/2015,14328.073993471162
09/2015,14164.853101196954
10/2015,14983.677910772576
11/2015,15533.188248095756
12/2015,14857.181719260065
01/2016,14917.029379760608
02/2016,15229.86942328618
03/2016,14993.199129488574
04/2016,15205.38628944505
05/2016,15455.658324265507
06/2016,16277.203482045701
07/2016,16434.98367791077
08/2016,16707.01849836779
09/2016,16696.13710554951
10/2016,16591.40369967356
11/2016,16133.025027203483
12/2016,16405.0598476605
01/2017,16353.373231773667
02/2017,16955.93035908596
03/2017,16870.239390642004
04/2017,16866.158868335147
05/2017,16543.79760609358
06/2017,16152.067464635473
07/2017,15795.70184983678
08/2017,15877.312295973885
09/2017,15850.108813928184
10/2017,16041.893362350382
11/2017,15676.006528835691
12/2017,15599.836779107723
01/2018,14896.626768226331
02/2018,14855.82154515778
03/2018,14734.766050054408
04/2018,14772.85092491839
05/2018,15088.411316648531
06/2018,14956.474428726875
07/2018,15199.945593035907
08/2018,14927.910772578889
09/2018,15390.369967355824
10/2018,15482.861806311208
11/2018,15425.734494015234
12/2018,15595.756256800869
01/2019,16175.19042437432
02/2019,16394.17845484222
03/2019,16802.23068552775
04/2019,16826.71381936888
05/2019,16973.61262241567
06/2019,17406.147986942327
07/2019,18071.27312295974
08/2019,18171.926006528836
09/2019,18336.507072905333
10/2019,17853.64526659412
11/2019,18037.268770402614
12/2019,18063.112078346032
01/2020,18714.63547334059
02/2020,18490.206746463544
03/2020,16173.830250272036
04/2020,16655.331882480958
05/2020,16958.650707290533
06/2020,17381.6648531012
07/2020,17052.502720348206
08/2020,16878.400435255713
09/2020,16988.574537540808
10/2020,17044.341675734493
11/2020,17427.91077257889
12/2020,17261.969532100105
01/2021,17206.20239390642
02/2021,16600.92491838955
03/2021,16902.883569096844
04/2021,16745.103373231774
05/2021,16833.514689880307
06/2021,17516.322089227422
07/2021,17615.61479869423
08/2021,17864.526659412404
09/2021,17780.195865070727
10/2021,17704.026115342764
11/2021,17905.331882480954
12/2021,18261.69749727965
01/2022,17929.81501632209
02/2022,17067.46463547334
03/2022,17240.206746463547
04/2022,16932.807399347115
05/2022,16792.709466811753
06/2022,16177.910772578889
07/2022,17287.812840043523
08/2022,17301.41458106638
09/2022,16553.318824809576
10/2022,16258.161044613711
11/2022,16708.378672470077
12/2022,16285.364526659412
01/2023,16452.66594124048
02/2023,16353.373231773667
03/2023,16285.364526659412
04/2023,16173.830250272036
