Date,iBoxx EUR Corporates Yield Plus
06/2016,10000
07/2016,10224.18879056047
08/2016,10297.60734185513
09/2016,10269.419862340215
10/2016,10234.02163225172
11/2016,10111.43887250082
12/2016,10211.078334972139
01/2017,10173.058013765978
02/2017,10308.75122910521
03/2017,10296.951819075714
04/2017,10374.959029826286
05/2017,10435.267125532611
06/2017,10393.969190429367
07/2017,10494.91969845952
08/2017,10549.983611930515
09/2017,10539.495247459849
10/2017,10682.399213372664
11/2017,10675.8439855785
12/2017,10648.312028843002
01/2018,10626.679777122255
02/2018,10603.080957063257
03/2018,10580.793182563093
04/2018,10595.214683710257
05/2018,10515.89642740085
06/2018,10492.95313012127
07/2018,10559.160930842347
08/2018,10533.595542445099
09/2018,10518.518518518518
10/2018,10475.90953785644
11/2018,10372.992461488036
12/2018,10393.31366764995
01/2019,10561.127499180597
02/2019,10666.01114388725
03/2019,10829.891838741396
04/2019,10955.75221238938
05/2019,10907.243526712551
06/2019,11139.298590626024
07/2019,11330.711242215666
08/2019,11406.75188462799
09/2019,11323.500491642084
10/2019,11314.323172730252
11/2019,11290.724352671254
12/2019,11307.767944936086
01/2020,11441.49459193707
02/2020,11367.420517862995
03/2020,10367.748279252703
04/2020,10821.370042608982
05/2020,10882.333661094723
06/2020,11056.047197640117
07/2020,11250.081940347427
08/2020,11315.634218289084
09/2020,11333.33333333333
10/2020,11423.139954113405
11/2020,11613.89708292363
12/2020,11652.57292690921
01/2021,11647.328744673876
02/2021,11591.609308423469
03/2021,11629.62962962963
04/2021,11650.60635857096
05/2021,11636.184857423794
06/2021,11688.626679777122
07/2021,11819.731235660438
08/2021,11788.266142248443
09/2021,11716.158636512619
10/2021,11611.274991805964
11/2021,11624.385447394297
12/2021,11627.007538511962
01/2022,11439.52802359882
02/2022,11053.42510652245
03/2022,10880.367092756473
04/2022,10533.595542445099
05/2022,10396.591281547033
06/2022,9911.504424778761
07/2022,10422.812192723697
08/2022,9988.856112749918
09/2022,9599.475581776465
10/2022,9609.963946247131
11/2022,9930.514585381841
12/2022,9788.921665027861
01/2023,10057.686004588659
02/2023,9931.825630940675
03/2023,9988.856112749918
04/2023,10062.93018682399
05/2023,10095.706325794821
06/2023,10062.274664044575
07/2023,10203.867584398557
08/2023,10216.97803998689
09/2023,10140.937397574566
10/2023,10182.235332677812
11/2023,10443.788921665027
12/2023,10762.372992461487
01/2024,10795.149131432316
02/2024,10709.275647328745
03/2024,10857.423795476892
04/2024,10779.41658472632
05/2024,10827.269747623728
06/2024,10892.16650278597
07/2024,11097.345132743361
08/2024,11139.95411340544
09/2024,11286.791215994755
