Date,iBoxx EUR Eurozone 15-30
07/2007,10000
08/2007,10040.106087069022
09/2007,9990.296914418785
10/2007,10142.958794229899
11/2007,10108.674558509605
12/2007,10071.80283330099
01/2008,10342.195484830843
02/2008,10302.736270133903
03/2008,10230.286564460832
04/2008,10158.483731159842
05/2008,9940.487741768547
06/2008,9791.70709618992
07/2008,10105.4401966492
08/2008,10299.501908273498
09/2008,10211.527265670484
10/2008,10182.41800892684
11/2008,11015.58962416715
12/2008,11174.720227699076
01/2009,10696.034672359143
02/2009,10722.556439614464
03/2009,10884.921405006791
04/2009,11038.877029562067
05/2009,10607.413157384048
06/2009,10835.112232356556
07/2009,11247.816805744227
08/2009,11379.131897276668
09/2009,11502.684520344135
10/2009,11432.822304159388
11/2009,11592.599780063394
12/2009,11395.950578950771
01/2010,11544.084352157319
02/2010,11724.561743967915
03/2010,11843.586260430817
04/2010,11866.226793453652
05/2010,12058.347887961705
06/2010,12016.948056148522
07/2010,12188.369234749982
08/2010,13158.030920499385
09/2010,12801.604243482761
10/2010,12637.298660974191
11/2010,12047.997930008409
12/2010,11806.067662850119
01/2011,11688.98376350346
02/2011,11646.937059318196
03/2011,11509.153244064944
04/2011,11697.393104340515
05/2011,11893.395433081054
06/2011,11691.571252991784
07/2011,11787.30836405977
08/2011,12117.213273821075
09/2011,12480.108674558509
10/2011,12015.65431140436
11/2011,11584.837311598421
12/2011,12454.233779675269
01/2012,12581.020764603143
02/2012,12980.787890549193
03/2012,12982.081635293356
04/2012,12960.734847014684
05/2012,13725.984863186493
06/2012,13053.237596222265
07/2012,13561.032408305839
08/2012,13650.300795653018
09/2012,13804.903292580373
10/2012,13955.624555275244
11/2012,14302.995019082735
12/2012,14607.0250339608
01/2013,14387.088427453264
02/2013,14322.401190245164
03/2013,14519.697263729866
04/2013,15279.772300925028
05/2013,14794.618021864286
06/2013,14406.494598615693
07/2013,14508.700433404489
08/2013,14284.235720292387
09/2013,14418.785173685232
10/2013,14730.577657028269
11/2013,14749.983828190698
12/2013,14614.140630053691
01/2014,15286.887897017918
02/2014,15482.243353386377
03/2014,15759.10472863704
04/2014,16117.472022769907
05/2014,16416.973931043405
06/2014,16715.828966944824
07/2014,17108.48049679798
08/2014,17972.0551135261
09/2014,17854.32434180736
10/2014,18037.38922310628
11/2014,18694.611553140567
12/2014,19308.49343424542
01/2015,20840.934083705284
02/2015,21128.792289281326
03/2015,22131.444466006855
04/2015,21147.551588071674
05/2015,20184.35862604308
06/2015,18627.33682644414
07/2015,19776.82903163206
08/2015,19169.415874248007
09/2015,19790.41335144576
10/2015,20244.51775664661
11/2015,20220.583478879613
12/2015,19699.85121935442
01/2016,20732.259525195677
02/2016,21347.435151044698
03/2016,21639.821463225304
04/2016,20888.80263923928
05/2016,21454.815964810143
06/2016,23089.4624490588
07/2016,23573.969855747462
08/2016,23249.886797334886
09/2016,23305.517821333848
10/2016,22015.007439032277
11/2016,21117.148586583866
12/2016,21524.03130862281
01/2017,20182.418008926838
02/2017,20758.781292451004
03/2017,20520.732259525194
04/2017,20660.456691894688
05/2017,20831.87787049615
06/2017,20636.522414127692
07/2017,20683.097224917525
08/2017,21104.858011514327
09/2017,20809.237337473314
10/2017,21326.735235138105
11/2017,21494.922051879163
12/2017,21165.66401448994
01/2018,21130.086034025488
02/2018,21190.245164629017
03/2018,21941.910860987125
04/2018,21768.54906526942
05/2018,21358.431981370075
06/2018,21572.546736528882
07/2018,21414.06300536904
08/2018,21229.704379325958
09/2018,21186.363930396532
10/2018,21089.97994695646
11/2018,21269.1635940229
12/2018,21690.277508247622
01/2019,22185.781745261662
02/2019,21901.157901546023
03/2019,22805.485477715247
04/2019,22760.204411669576
05/2019,23405.136166634322
06/2019,24662.656057959764
07/2019,25518.46820622291
08/2019,27143.411604890356
09/2019,26945.468659033573
10/2019,26302.47752118507
11/2019,25733.87670612588
12/2019,25132.93227246264
01/2020,26600.685684714408
02/2020,26947.409276149814
03/2020,25585.096060547254
04/2020,25905.944757099423
05/2020,25889.12607542532
06/2020,26365.871013649004
07/2020,27022.44647131121
08/2020,26585.80762015654
09/2020,27409.923022187722
10/2020,28012.16120059512
11/2020,28081.376544407787
12/2020,28197.813571382365
01/2021,27798.046445436314
02/2021,26728.766414386442
03/2021,26639.498027039266
04/2021,25982.275697004985
05/2021,25920.175949285207
06/2021,26253.962093278995
07/2021,27329.0639756776
08/2021,27036.03079112491
09/2021,26358.108545184037
10/2021,26395.627142764733
11/2021,27222.330034284234
12/2021,26291.48069085969
01/2022,25785.62649589236
02/2022,24766.802509864803
03/2022,23876.706125881363
04/2022,21879.81111326735
05/2022,20783.362442590078
06/2022,19902.32227181577
07/2022,21634.646484248657
08/2022,19575.65172391487
09/2022,18050.3266705479
10/2022,17997.283136037262
11/2022,19325.31211591953
12/2022,17254.026780516204
01/2023,18171.938676499125
02/2023,17301.248463678116
03/2023,17995.342518921017
04/2023,17856.911831295685
05/2023,17898.311663108867
06/2023,18111.132673523512
07/2023,17814.218254738338
08/2023,17794.812083575907
09/2023,16592.27634387735
10/2023,16488.129891972312
11/2023,17650.55954460185
12/2023,19085.969338249564
01/2024,18737.952002069993
02/2024,18471.440584772623
03/2024,18855.03590141665
04/2024,18263.147680962546
05/2024,18151.885632964615
06/2024,18034.80173361796
07/2024,18840.80470923087
08/2024,18851.801539556243
09/2024,19170.709618992172
