Date,iBoxx EUR Eurozone 20yr Target Duration
07/2009,10000
08/2009,10040.447488705307
09/2009,10112.29254502348
10/2009,10009.658895670846
11/2009,10229.477603294308
12/2009,9922.81471094527
01/2010,10192.348020725893
02/2010,10370.716594294501
03/2010,10428.127783466585
04/2010,10694.644865390554
05/2010,11253.623627309862
06/2010,11263.693045582171
07/2010,11340.059360854346
08/2010,12957.47276417077
09/2010,12376.335714009589
10/2010,12086.439029208324
11/2010,11779.016534743681
12/2010,11199.812315184961
01/2011,10931.026420930855
02/2011,10925.982319746876
03/2011,10591.259291822445
04/2011,10801.510052221854
05/2011,11061.115613024625
06/2011,10660.118840779862
07/2011,11561.17461604713
08/2011,11915.210494182538
09/2011,12877.402039335495
10/2011,12339.984756955717
11/2011,12073.322658553148
12/2011,13275.646276425123
01/2012,13071.765531428655
02/2012,13240.268606519088
03/2012,13219.29755333754
04/2012,13308.931448224503
05/2012,15123.39723312865
06/2012,13675.506770343385
07/2012,14627.84355432135
08/2012,14583.484164618514
09/2012,14344.389611062528
10/2012,14272.279442308147
11/2012,14418.637976111622
12/2012,14807.450250507472
01/2013,14311.395144550697
02/2013,14370.343528606194
03/2013,14594.695514272831
04/2013,15183.139177703864
05/2013,14465.845309615683
06/2013,14110.956365477969
07/2013,14221.474925783607
08/2013,13756.333648298858
09/2013,13967.770693955885
10/2013,14186.395506469682
11/2013,14158.629218152793
12/2013,13875.00197310192
01/2014,14645.029493949798
02/2014,14685.968107808709
03/2014,14897.94168901734
04/2014,15277.11663879153
05/2014,15640.592684237163
06/2014,15934.409086754056
07/2014,16403.938692302436
08/2014,17480.888146270405
09/2014,17175.639134866437
10/2014,17518.569604262546
11/2014,18226.84704122444
12/2014,18900.900837623278
01/2015,20718.24080964431
02/2015,20646.195997931456
03/2015,21960.3754547545
04/2015,20974.16192682721
05/2015,20014.400083847264
06/2015,18134.83209361347
07/2015,19228.39951109385
08/2015,18484.092969775247
09/2015,19182.317708407263
10/2015,19527.299084064573
11/2015,19328.768753059678
12/2015,18733.76822670264
01/2016,20168.43510292453
02/2016,21041.451105953107
03/2016,21227.83128992263
04/2016,20375.444980727327
05/2016,21099.517919065496
06/2016,23276.390499877903
07/2016,23639.928380175912
08/2016,23085.887061729765
09/2016,23151.85533494131
10/2016,21865.669011631984
11/2016,21017.226833070465
12/2016,21097.73041176102
01/2017,19887.8962581936
02/2017,20584.90343542731
03/2017,20151.035481236006
04/2017,20507.17718415054
05/2017,20606.117588673158
06/2017,20275.34603229306
07/2017,20209.058979321875
08/2017,20807.455382497687
09/2017,20417.840423921676
10/2017,20805.931457393748
11/2017,21059.54890599102
12/2017,20741.613415500695
01/2018,20553.367295229236
02/2018,20647.245654771265
03/2018,21294.20127708736
04/2018,21019.23755205942
05/2018,21486.144221715018
06/2018,21623.642832037178
07/2018,21406.789143127702
08/2018,21608.030444533495
09/2018,21279.6058778134
10/2018,21461.859095149768
11/2018,21535.320917933794
12/2018,21735.941835020803
01/2019,22285.170699710798
02/2019,22095.693043122545
03/2019,23216.075252494487
04/2019,22942.163752966546
05/2019,23788.43356649699
06/2019,24938.337457084475
07/2019,25767.77431856693
08/2019,27399.060503925248
09/2019,26859.53376482886
10/2019,25979.59247413274
11/2019,25783.94733902623
12/2019,24866.557453840316
01/2020,26414.417905462007
02/2020,27299.799000279276
03/2020,25802.98543285648
04/2020,26718.468114047068
05/2020,26215.138831731503
06/2020,26595.62681982607
07/2020,27137.26334611275
08/2020,26461.073943440817
09/2020,27374.467055403165
10/2020,27905.455464172628
11/2020,27777.586261037668
12/2020,27780.589090859186
01/2021,27291.3215286222
02/2021,25856.607133524158
03/2021,25605.78862776001
04/2021,25028.301694442765
05/2021,24898.76410609909
06/2021,25245.354406596372
07/2021,26477.641300026116
08/2021,26135.937700841892
09/2021,25235.85865349079
10/2021,25577.18786779204
11/2021,26495.23194393157
12/2021,25407.358568099262
01/2022,24870.057152855923
02/2022,23907.194260732074
03/2022,22754.286517520308
04/2022,20837.70435191208
05/2022,19648.38627435746
06/2022,18558.143603994507
07/2022,20678.053324192282
08/2022,18484.374431783435
09/2022,16884.611060125182
10/2022,16767.393124359067
11/2022,18193.607619071103
12/2022,16016.594121466835
01/2023,16921.80605651831
02/2023,15829.42065499698
03/2023,16534.5425041739
04/2023,16409.512683055807
05/2023,16386.204406622313
06/2023,16538.149869591653
07/2023,16120.150901607813
08/2023,16114.898017977446
09/2023,14931.479498272553
10/2023,14728.267174523773
11/2023,15967.529289864739
12/2023,17507.64105389751
01/2024,17073.30370349305
02/2024,16710.37173687551
03/2024,17011.22747831881
04/2024,16348.157002469716
05/2024,16167.723156153725
06/2024,16086.993413238775
07/2024,16790.01111391597
08/2024,16809.470656146845
09/2024,16963.616840075865
