Date,iBoxx EUR Inflation-Linked
06/2009,10000
07/2009,10182.682682682682
08/2009,10376.001001001001
09/2009,10465.465465465466
10/2009,10388.513513513513
11/2009,10494.869869869868
12/2009,10509.884884884885
01/2010,10415.415415415415
02/2010,10421.046046046044
03/2010,10635.635635635635
04/2010,10614.364364364365
05/2010,10651.276276276278
06/2010,10461.71171171171
07/2010,10557.432432432432
08/2010,10811.436436436436
09/2010,10688.813813813811
10/2010,10691.316316316315
11/2010,10300.3003003003
12/2010,10411.661661661661
01/2011,10429.804804804806
02/2011,10513.63863863864
03/2011,10536.161161161159
04/2011,10566.816816816818
05/2011,10734.484484484485
06/2011,10691.316316316315
07/2011,10567.442442442441
08/2011,10655.655655655655
09/2011,10495.495495495494
10/2011,10289.039039039038
11/2011,9624.624624624625
12/2011,10322.197197197198
01/2012,10513.63863863864
02/2012,10939.68968968969
03/2012,10880.255255255253
04/2012,10743.868868868867
05/2012,10834.584584584585
06/2012,10683.183183183182
07/2012,11113.613613613612
08/2012,11365.115115115113
09/2012,11586.586586586585
10/2012,11635.385385385385
11/2012,11866.866866866865
12/2012,12007.007007007007
01/2013,11943.193193193194
02/2013,11825.575575575574
03/2013,11908.158158158158
04/2013,12145.895895895896
05/2013,12102.727727727726
06/2013,11661.036036036034
07/2013,11830.58058058058
08/2013,11784.284284284286
09/2013,11796.796796796798
10/2013,11961.961961961959
11/2013,11947.572572572572
12/2013,11874.374374374374
01/2014,12000.125125125125
02/2014,12116.49149149149
03/2014,12179.679679679679
04/2014,12284.159159159157
05/2014,12500.000000000002
06/2014,12611.986986986987
07/2014,12723.348348348349
08/2014,12868.493493493494
09/2014,12824.074074074071
10/2014,12746.496496496497
11/2014,12904.154154154154
12/2014,12802.177177177176
01/2015,13057.432432432432
02/2015,13369.619619619618
03/2015,13520.395395395395
04/2015,13457.832832832832
05/2015,13170.045045045043
06/2015,12924.799799799799
07/2015,13126.876876876875
08/2015,12862.237237237237
09/2015,12924.174174174173
10/2015,13205.080080080079
11/2015,13345.22022022022
12/2015,13026.15115115115
01/2016,13123.74874874875
02/2016,13008.008008008006
03/2016,13183.183183183182
04/2016,13155.655655655653
05/2016,13276.401401401403
06/2016,13461.586586586587
07/2016,13572.322322322321
08/2016,13551.051051051052
09/2016,13629.87987987988
10/2016,13395.27027027027
11/2016,13221.971971971972
12/2016,13502.87787787788
01/2017,13272.647647647647
02/2017,13332.08208208208
03/2017,13133.133133133131
04/2017,13257.007007007007
05/2017,13285.16016016016
06/2017,13271.396396396396
07/2017,13371.496496496497
08/2017,13481.606606606607
09/2017,13438.438438438438
10/2017,13619.86986986987
11/2017,13748.123123123123
12/2017,13661.16116116116
01/2018,13579.204204204205
02/2018,13631.13113113113
03/2018,13783.783783783785
04/2018,13795.670670670668
05/2018,13552.927927927925
06/2018,13710.585585585584
07/2018,13676.176176176175
08/2018,13539.164164164162
09/2018,13522.8978978979
10/2018,13426.551551551553
11/2018,13390.89089089089
12/2018,13416.54154154154
01/2019,13551.676676676678
02/2019,13432.807807807809
03/2019,13607.982982982983
04/2019,13650.525525525525
05/2019,13630.505505505505
06/2019,13934.559559559557
07/2019,14344.969969969969
08/2019,14563.313313313314
09/2019,14471.97197197197
10/2019,14403.153153153153
11/2019,14293.043043043042
12/2019,14288.663663663663
01/2020,14534.534534534532
02/2020,14398.148148148146
03/2020,13522.27227227227
04/2020,13616.116116116113
05/2020,13731.856856856855
06/2020,14020.895895895897
07/2020,14283.033033033033
08/2020,14240.49049049049
09/2020,14258.008008008008
10/2020,14385.01001001001
11/2020,14598.973973973973
12/2020,14684.684684684684
01/2021,14747.872872872873
02/2021,14567.692692692692
03/2021,14846.096096096097
04/2021,14767.267267267265
05/2021,14853.603603603602
06/2021,14908.03303303303
07/2021,15317.817817817819
08/2021,15280.28028028028
09/2021,15323.448448448447
10/2021,15337.212212212215
11/2021,15555.555555555555
12/2021,15567.442442442443
01/2022,15514.88988988989
02/2022,15484.85985985986
03/2022,15798.923923923923
04/2022,15655.655655655655
05/2022,15073.823823823823
06/2022,14630.255255255253
07/2022,15412.287287287285
08/2022,14772.272272272272
09/2022,13900.775775775775
10/2022,14318.693693693693
11/2022,14797.922922922924
12/2022,14062.812812812812
01/2023,14326.201201201202
02/2023,14306.181181181179
03/2023,14515.765765765766
04/2023,14515.765765765766
