Date,iBoxx EUR Liquid High Yield 30 Ex-Financial
09/2013,10000
10/2013,10238.835632765773
11/2013,10358.21327269367
12/2013,10459.179184112425
01/2014,10497.604739274151
02/2014,10652.21465020047
03/2014,10697.992992631041
04/2014,10777.091008400252
05/2014,10838.4905517378
06/2014,10948.241714647771
07/2014,10965.74079282133
08/2014,10985.647482260605
09/2014,10898.804834784994
10/2014,10914.848632477791
11/2014,11002.627738558613
12/2014,11001.329195852877
01/2015,11159.234568099637
02/2015,11367.427965848226
03/2015,11295.460526831373
04/2015,11357.078312640475
05/2015,11341.025586846567
06/2015,11127.911813375702
07/2015,11234.631389953563
08/2015,11100.275372398537
09/2015,10547.72511487738
10/2015,10982.933339523483
11/2015,10962.82824783734
12/2015,10681.184354276576
01/2016,10621.548606913662
02/2016,10527.158737967275
03/2016,10908.608881813863
04/2016,11153.548359704462
05/2016,11160.747385231985
06/2016,11121.726623329665
07/2016,11414.35902533309
08/2016,11620.36107026505
09/2016,11510.55038668102
10/2016,11613.798915949963
11/2016,11553.889373486378
12/2016,11747.180778472879
01/2017,11815.423215304827
02/2017,11925.321195877477
03/2017,11876.110494576129
04/2017,11995.499046627603
05/2017,12127.452412973087
06/2017,12183.75897063359
07/2017,12296.472279089265
08/2017,12324.068047605824
09/2017,12376.342079598782
10/2017,12484.159812613043
11/2017,12399.573990695531
12/2017,12421.793058322026
01/2018,12414.176396064851
02/2018,12310.235442954345
03/2018,12287.297167182958
04/2018,12396.053342824896
05/2018,12287.73067609236
06/2018,12204.03766428574
07/2018,12490.46305199597
08/2018,12514.723678742717
09/2018,12586.248680749059
10/2018,12461.446723391853
11/2018,12280.113021823947
12/2018,12210.5760103312
01/2019,12501.49719295541
02/2019,12763.518112289916
03/2019,12856.663999148457
04/2019,12994.754939000733
05/2019,12870.688061968163
06/2019,13171.347818879778
07/2019,13280.387709734732
08/2019,13359.022456257513
09/2019,13263.722913009244
10/2019,13243.802335412689
11/2019,13377.72881210325
12/2019,13477.884250343555
01/2020,13440.801878393111
02/2020,13160.42180714488
03/2020,11916.28794157768
04/2020,12613.181785761086
05/2020,12863.101160048016
06/2020,12874.358503535179
07/2020,13161.691581524821
08/2020,13330.272978675426
09/2020,13099.059960234237
10/2020,13155.124718760351
11/2020,13630.904350569428
12/2020,13717.650532569165
01/2021,13779.012971745238
02/2021,13853.453556679702
03/2021,13892.798358057724
04/2021,13986.552660359857
05/2021,13989.035852592486
06/2021,14043.445353515603
07/2021,14045.652635501046
08/2021,14075.395760245166
09/2021,14018.282338889687
10/2021,13909.25948168405
11/2021,13818.841924039514
12/2021,13927.535913413689
01/2022,13747.966129512424
02/2022,13364.76597290857
03/2022,13363.658539061085
04/2022,12983.663981986661
05/2022,12860.590211791421
06/2022,12109.037051922165
07/2022,12584.365178644854
08/2022,12401.610009644332
09/2022,11908.115485465993
