Date,iBoxx Global Developed Markets Liquid High Yield Capped
11/2012,9999.999999999998
12/2012,10057.002993477046
01/2013,9936.531445181648
02/2013,10171.945956682142
03/2013,10473.101527316074
04/2013,10548.745617978362
05/2013,10484.563585066566
06/2013,10159.18878124861
07/2013,10272.711314201599
08/2013,10222.45679383608
09/2013,10195.536711092533
10/2013,10349.22645897013
11/2013,10416.339908258551
12/2013,10365.313819858775
01/2014,10566.544032276792
02/2014,10610.48013250471
03/2014,10642.57905751872
04/2014,10678.799766807302
05/2014,10903.455176366328
06/2014,10959.69641179447
07/2014,10973.773990099113
08/2014,11224.045187990454
09/2014,11398.364231083553
10/2014,11563.824223203817
11/2014,11521.344307569878
12/2014,11646.973050918117
01/2015,12371.669967710675
02/2015,12692.406883912065
03/2015,13016.959473463688
04/2015,12733.423876209248
05/2015,12952.112807998017
06/2015,12527.54876817993
07/2015,12743.162996474837
08/2015,12321.840669852347
09/2015,11966.79031997691
10/2015,12546.569524918843
11/2015,12692.739470606208
12/2015,12119.783488268347
01/2016,11904.550479133519
02/2016,12029.302108433896
03/2016,12102.908392131503
04/2016,12452.973877617529
05/2016,12674.169890420075
06/2016,12789.262805281161
07/2016,13087.165104692027
08/2016,13307.796654885678
09/2016,13340.1666077818
10/2016,13532.272532707091
11/2016,13729.958796316643
12/2016,14084.779843015485
01/2017,14037.226684630796
02/2017,14361.162654803127
03/2017,14238.00491507122
04/2017,14142.749883433853
05/2017,14032.08867521779
06/2017,13877.225054627681
07/2017,13776.933560355488
08/2017,13688.74944476949
09/2017,13788.668167358497
10/2017,13994.436954268163
11/2017,13793.800645481684
12/2017,13664.405807526022
01/2018,13384.850181791628
02/2018,13442.069741676964
03/2018,13313.38307470055
04/2018,13594.297194589248
05/2018,13829.530207188309
06/2018,13888.83844979398
07/2018,13978.752262247739
08/2018,14123.66911674546
09/2018,14261.645549288118
10/2018,14254.702338380934
11/2018,14062.942265624819
12/2018,13781.746598737574
01/2019,14286.628831759985
02/2019,14574.607312457118
03/2019,14880.495517432522
04/2019,15067.766224007175
05/2019,14912.381097099122
06/2019,15067.80155245058
07/2019,15348.81701204738
08/2019,15526.524888363121
09/2019,15686.722111393767
10/2019,15489.28020295602
11/2019,15769.27349623496
12/2019,15747.84264957773
01/2020,15909.731501389038
02/2020,15678.896542354863
03/2020,13890.08591932069
04/2020,14646.767046728792
05/2020,14927.116845399525
06/2020,15015.808995919318
07/2020,14988.873464534156
08/2020,15102.201248400863
09/2020,15080.810373233426
10/2020,15107.916044363667
11/2020,15514.293753160297
12/2020,15496.727705481635
01/2021,15689.893572742607
02/2021,15771.356333841903
03/2021,16140.914416039544
04/2021,15964.044779945378
05/2021,15965.1220815695
06/2021,16308.189912119962
07/2021,16349.594441274297
08/2021,16470.586315978027
09/2021,16664.30352875733
10/2021,16505.767253016733
11/2021,16551.727855535326
12/2021,16922.50441577849
01/2022,16707.625411463403
02/2022,16384.97049423279
03/2022,16375.547216923811
04/2022,16267.334029634198
05/2022,16164.61431740563
06/2022,15417.349023698309
07/2022,16386.012409863808
08/2022,16207.99720629593
09/2022,15795.960728541493
10/2022,15994.571163044202
11/2022,16038.986078453738
12/2022,15779.824185971316
01/2023,16185.437058625457
02/2023,16177.481148864903
03/2023,16066.588075097
04/2023,16136.366416241612
05/2023,16271.316404498866
06/2023,16336.53348153529
07/2023,16392.34296771831
08/2023,16528.363701786628
09/2023,16635.53368522522
10/2023,16494.74031049008
11/2023,16900.20582225452
12/2023,17350.940902150032
01/2024,17550.16119451611
02/2024,17558.025245321198
03/2024,17672.42019676155
04/2024,17666.95794944832
05/2024,17760.520587657196
06/2024,17981.275722862487
07/2024,18139.9840486744
08/2024,18171.94554452556
09/2024,18310.032030398186
