Date,iBoxx € Liquid High Yield
12/2005,10000
01/2006,10133.4253314875
02/2006,10174.090294290689
03/2006,10227.358841739564
04/2006,10283.574230413358
05/2006,10302.580130823915
06/2006,10260.691299770988
07/2006,10401.759662813085
08/2006,10518.884141174263
09/2006,10527.989979937789
10/2006,10734.296436268369
11/2006,10838.390112949326
12/2006,10908.211004729816
01/2007,10983.440642534993
02/2007,11046.102614370368
03/2007,11068.38613717599
04/2007,11160.015188547102
05/2007,11242.165795215977
06/2007,11169.654741304123
07/2007,10821.517197555688
08/2007,10703.618154279138
09/2007,10902.552331917883
10/2007,11013.347737717968
11/2007,10674.657310668945
12/2007,10702.983802652228
01/2008,10246.778819760377
02/2008,10045.504777533995
03/2008,10031.76502957473
04/2008,10592.055378168812
05/2008,10745.61781175367
06/2008,10365.19892757034
07/2008,10158.250278479263
08/2008,10255.897755072156
09/2008,9533.209593737547
10/2008,7691.3171519473135
11/2008,7334.094946475647
12/2008,7246.940651136712
01/2009,7751.836127457451
02/2009,7559.934548589999
03/2009,7403.833038446563
04/2009,8157.456193229491
05/2009,8928.62856673984
06/2009,9187.055052846836
07/2009,9801.290903259032
08/2009,10147.49042526878
09/2009,10708.623265124268
10/2009,10889.294904508162
11/2009,10944.940392197603
12/2009,11165.749962940648
01/2010,11390.57432710134
02/2010,11407.98570627726
03/2010,11887.150281084218
04/2010,12016.933577193153
05/2010,11553.939644322516
06/2010,11643.724136154324
07/2010,12006.986223218079
08/2010,12109.015938964263
09/2010,12383.408291892732
10/2010,12551.952862944014
11/2010,12211.665506121999
12/2010,12491.684804764613
01/2011,12732.120333623725
02/2011,12885.025267047495
03/2011,12791.521895874053
04/2011,12945.473860103597
05/2011,13044.163511038465
06/2011,12925.81345456519
07/2011,12899.207948410012
08/2011,12219.943518175816
09/2011,11804.416380412384
10/2011,12611.80969854851
11/2011,12093.74123411998
12/2011,12349.77404348678
01/2012,13051.683114065972
02/2012,13519.531980129594
03/2012,13636.514418526076
04/2012,13620.781855255034
05/2012,13411.651761277895
06/2012,13660.641919751675
07/2012,13874.834384515447
08/2012,14151.967080677554
09/2012,14385.299233916334
10/2012,14667.794740477495
11/2012,14879.483514719408
12/2012,15167.861702689483
01/2013,15172.20209940991
02/2013,15273.28202850206
03/2013,15365.530196358473
04/2013,15660.473129063781
05/2013,15673.02929089207
06/2013,15383.447579511841
07/2013,15649.454566324623
08/2013,15696.650347041867
09/2013,15846.457421871717
10/2013,16140.55161844402
11/2013,16272.002636842779
12/2013,16359.182983622652
01/2014,16416.69937470427
02/2014,16639.616876745426
03/2014,16734.064960929853
04/2014,16852.71268671406
05/2014,16943.30948539179
06/2014,17020.74890021907
07/2014,16974.08293629654
08/2014,17078.614410974522
09/2014,16928.88784090946
10/2014,16957.429646988563
11/2014,17104.99267845851
12/2014,17018.44131693431
01/2015,17133.530575280696
02/2015,17443.668109531274
03/2015,17432.09183019854
04/2015,17521.644718644657
05/2015,17559.840222978688
06/2015,17257.03618576424
07/2015,17412.1925467488
08/2015,17271.486491106916
09/2015,16836.568697620467
10/2015,17319.055933572
11/2015,17376.182485281686
12/2015,16975.483731067223
01/2016,16825.08706118147
02/2016,16746.262084149326
03/2016,17261.0551466114
04/2016,17557.50941376134
05/2016,17568.239623475518
06/2016,17496.167549592174
07/2016,17852.624842954727
08/2016,18113.073286427432
09/2016,18040.842031297983
10/2016,18175.929087493325
11/2016,18061.932765649908
12/2016,18358.906332635026
01/2017,18461.820500470803
02/2017,18591.353233121987
03/2017,18557.516962296588
04/2017,18723.30789642136
05/2017,18864.906838575207
06/2017,18904.560754463073
07/2017,19032.87407191812
08/2017,19081.357604844492
09/2017,19172.04944473128
10/2017,19336.30487341326
11/2017,19260.185463918835
12/2017,19244.85860520795
01/2018,19275.940129929862
02/2018,19159.207269014987
03/2018,19136.62683244127
04/2018,19244.243732787316
05/2018,19021.750545546034
06/2018,18945.02074555822
07/2018,19218.523276694745
08/2018,19221.622703562978
09/2018,19249.029236819835
10/2018,19052.514309606377
11/2018,18686.576585749892
12/2018,18593.323701746485
01/2019,18982.2889294102
02/2019,19299.7616055504
03/2019,19481.188804543996
04/2019,19721.500042143456
05/2019,19436.7067064359
06/2019,19810.35414090616
07/2019,19945.76494104561
08/2019,20072.003604153244
09/2019,20024.983367267683
10/2019,19982.570508644472
11/2019,20175.109310219592
12/2019,20368.672656719933
01/2020,20383.55708588946
02/2020,19974.701762464116
03/2020,17324.80686977363
04/2020,18390.828306772877
05/2020,18921.538607942413
06/2020,19268.354023005253
07/2020,19559.255066008605
08/2020,19839.136116854872
09/2020,19711.582651808287
10/2020,19768.49672294536
11/2020,20565.684774164027
12/2020,20704.874600326595
01/2021,20780.711666086485
02/2021,20907.151659823023
03/2021,20996.568635934545
04/2021,21111.3491210323
05/2021,21159.553359944068
06/2021,21272.72724766314
07/2021,21333.929387175307
08/2021,21410.60915161641
09/2021,21388.093080273004
10/2021,21280.39963706955
11/2021,21175.76816789001
12/2021,21363.08615610155
01/2022,21070.782349048714
02/2022,20507.559812991218
03/2022,20485.76250582073
04/2022,19945.087054505067
05/2022,19718.04436862807
06/2022,18500.070779296075
07/2022,19334.845518672777
08/2022,19171.059194999536
09/2022,18448.62087469926
10/2022,18798.883612691967
11/2022,19457.494410662144
12/2022,19353.705163834322
01/2023,19894.939363194208
02/2023,19893.066720157858
03/2023,19929.47648656427
04/2023,19998.476493087095
05/2023,20139.07758358148
06/2023,20241.973775035898
07/2023,20436.083013144
08/2023,20530.512610276666
09/2023,20580.89435418734
10/2023,20518.47681143794
11/2023,21080.81885062298
12/2023,21637.648530653463
01/2024,21734.300890001105
02/2024,21816.96420809113
03/2024,21814.14903188554
04/2024,21824.98337595366
05/2024,22000.959228926124
06/2024,22078.235902029108
07/2024,22306.081424497872
08/2024,22523.243364870115
09/2024,22685.117514116075
