Date,iBoxx € Sovereigns 1-3
12/1998,10000
01/1999,10071.79
02/1999,10053.68
03/1999,10115.18
04/1999,10177.22
05/1999,10185.91
06/1999,10142.42
07/1999,10130.46
08/1999,10152.05
09/1999,10161.8
10/1999,10145.529999999999
11/1999,10178.619999999999
12/1999,10182.31
01/2000,10195.69
02/2000,10224.84
03/2000,10273.480000000001
04/2000,10280.89
05/2000,10263.95
06/2000,10310.48
07/2000,10329.71
08/2000,10358.38
09/2000,10428.789999999999
10/2000,10468.99
11/2000,10561.75
12/2000,10669.49
01/2001,10722.97
02/2001,10760.19
03/2001,10842.79
04/2001,10797.45
05/2001,10881.24
06/2001,10943.48
07/2001,11014.3
08/2001,11096.11
09/2001,11207.39
10/2001,11308.08
11/2001,11301.79
12/2001,11298.38
01/2002,11290.6
02/2002,11330.16
03/2002,11302.67
04/2002,11385.46
05/2002,11397.78
06/2002,11499.81
07/2002,11601.58
08/2002,11670.68
09/2002,11717.48
10/2002,11814.38
11/2002,11845.7
12/2002,11957
01/2003,12015.22
02/2003,12097.57
03/2003,12104.71
04/2003,12125.34
05/2003,12226.02
06/2003,12257.05
07/2003,12214.76
08/2003,12212.57
09/2003,12319.72
10/2003,12266.16
11/2003,12267.66
12/2003,12355.93
01/2004,12401.02
02/2004,12486.43
03/2004,12538.71
04/2004,12498.93
05/2004,12507.02
06/2004,12517.09
07/2004,12566.12
08/2004,12638.12
09/2004,12649.6
10/2004,12707.37
11/2004,12754.13
12/2004,12763.39
01/2005,12811.25
02/2005,12816.69
03/2005,12851.329999999998
04/2005,12933.62
05/2005,12985.830000000002
06/2005,13041.07
07/2005,13019.33
08/2005,13054.830000000002
09/2005,13044.12
10/2005,13014.87
11/2005,13008.04
12/2005,13026.589999999998
01/2006,13039.590000000002
02/2006,13055.03
03/2006,13031.67
04/2006,13046.89
05/2006,13088.64
06/2006,13088.77
07/2006,13141.88
08/2006,13182.27
09/2006,13205.66
10/2006,13227.14
11/2006,13271.91
12/2006,13256.69
01/2007,13284.43
02/2007,13342.57
03/2007,13355.65
04/2007,13376.71
05/2007,13363.52
06/2007,13391.739999999998
07/2007,13467.55
08/2007,13580.73
09/2007,13623.589999999998
10/2007,13661.770000000002
11/2007,13760.51
12/2007,13765.65
01/2008,13938.820000000002
02/2008,14023.38
